"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-06",102.2216,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-07",102.0966,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-08",101.9844,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-09",101.9051,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-10",101.8678,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-11",101.8198,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1974-12",101.6836,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-01",101.4049,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-02",101.0889,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-03",100.8875,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-04",100.9241,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-05",101.1034,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-06",101.3037,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-07",101.4251,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-08",101.418,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-09",101.1943,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-10",100.6666,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-11",100.0054,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1975-12",99.41591,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-01",99.04969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-02",98.84373,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-03",98.72371,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-04",98.64689,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-05",98.55905,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-06",98.4061,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-07",98.15667,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-08",97.88985,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-09",97.71851,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-10",97.72994,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","1976-11",97.83116,
