"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.35368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.41193,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.55096,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.722,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.88242,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.06463,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.30162,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.63161,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.02773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.43662,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",99.81886,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.1138,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.2267,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.1582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",99.99171,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",99.81907,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.69276,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.60242,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.64887,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",99.92818,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.5421,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.5291,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.6894,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.7182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.3686,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.473,
