,DAA
2014-05-11,100.0
2014-05-12,100.0
2014-05-13,100.0
2014-05-14,100.0
2014-05-15,100.0
2014-05-16,100.0
2014-05-19,100.0
2014-05-20,100.0
2014-05-21,100.0
2014-05-22,100.0
2014-05-23,100.0
2014-05-27,100.0
2014-05-28,100.0
2014-05-29,100.0
2014-05-30,100.00000000000003
2014-06-02,99.95943200000002
2014-06-03,99.777186
2014-06-04,99.790867
2014-06-05,100.69798599999999
2014-06-06,101.11099700000001
2014-06-09,100.95522400000002
2014-06-10,100.85754000000001
2014-06-11,100.61117800000001
2014-06-12,100.350905
2014-06-13,100.52335599999999
2014-06-16,100.40827
2014-06-17,100.38834400000002
2014-06-18,101.18702000000002
2014-06-19,101.03929200000002
2014-06-20,101.12556500000002
2014-06-23,100.89474700000001
2014-06-24,100.21277700000002
2014-06-25,100.43542800000002
2014-06-26,100.47958500000001
2014-06-27,100.77401200000001
2014-06-30,100.76765800000003
2014-07-01,101.49288733600004
2014-07-02,101.53859584800003
2014-07-03,101.74404664400005
2014-07-07,101.42754772800005
2014-07-08,100.82127478400007
2014-07-09,101.16767978800006
2014-07-10,100.77356732800007
2014-07-11,100.88411792000007
2014-07-14,100.97778241200007
2014-07-15,100.64171522800005
2014-07-16,100.84759340800007
2014-07-17,100.14069614400007
2014-07-18,100.85995403200008
2014-07-21,100.84252325600008
2014-07-22,101.3506622200001
2014-07-23,101.4877597120001
2014-07-24,101.2779265200001
2014-07-25,101.24609748000009
2014-07-28,101.3123198200001
2014-07-29,101.0331722280001
2014-07-30,100.9532686800001
2014-07-31,99.37327832400007
2014-08-01,99.36464850040007
2014-08-04,99.78748942000007
2014-08-05,98.90849474120009
2014-08-06,98.70596606680007
2014-08-07,98.75822339680009
2014-08-08,98.96631248080008
2014-08-11,99.71564137520008
2014-08-12,99.61546907040008
2014-08-13,100.3522505820001
2014-08-14,100.7511887908001
2014-08-15,100.9836002628001
2014-08-18,101.3967671268001
2014-08-19,101.73783084840011
