,signal
1854-12-31,up
1857-06-30,down
1858-12-30,up
1860-10-30,down
1861-06-30,up
1865-04-30,down
1867-12-30,up
1869-06-30,down
1870-12-30,up
1873-10-30,down
1879-03-30,up
1882-03-30,down
1885-05-30,up
1887-03-30,down
1888-04-30,up
1890-07-30,down
1891-05-30,up
1893-01-30,down
1894-06-30,up
1895-12-30,down
1897-06-30,up
1899-06-30,down
1900-12-30,up
1902-09-30,down
1904-08-30,up
1907-05-30,down
1908-06-30,up
1910-01-30,down
1912-01-30,up
1913-01-30,down
1914-12-30,up
1918-08-30,down
1919-03-30,up
1920-01-30,down
1921-07-30,up
1923-05-30,down
1924-07-30,up
1926-10-30,down
1927-11-30,up
1929-08-30,down
1933-03-30,up
1937-05-30,down
1938-06-30,up
1945-02-28,down
1945-10-28,up
1948-11-28,down
1949-10-28,up
1953-07-28,down
1954-05-28,up
1957-08-28,down
1958-04-28,up
1960-04-28,down
1961-02-28,up
1969-12-28,down
1970-11-28,up
1973-11-28,down
1975-03-28,up
1980-01-28,down
1980-07-28,up
1981-07-28,down
1982-11-28,up
1990-07-28,down
1991-03-28,up
2001-03-28,down
2001-11-28,up
2007-12-28,down
2009-06-28,up
2020-02-28,down
2020-07-31,up
2022-06-30,down
2023-04-30,down
