"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 01","45.32","44.87","45.36","44.84","11.77M","1.55%"
"2023- 05- 31","44.63","44.62","44.71","44.32","12.50M","-0.98%"
"2023- 05- 30","45.07","45.39","45.40","44.95","8.59M","-0.86%"
"2023- 05- 26","45.46","45.22","45.52","45.22","7.93M","0.93%"
"2023- 05- 25","45.04","45.13","45.14","44.87","11.79M","-0.22%"
"2023- 05- 24","45.14","45.38","45.40","45.11","10.88M","-1.42%"
"2023- 05- 23","45.79","46.08","46.15","45.79","8.72M","-1.40%"
"2023- 05- 22","46.44","46.39","46.54","46.36","9.10M","0.09%"
"2023- 05- 19","46.40","46.35","46.50","46.26","7.73M","0.61%"
"2023- 05- 18","46.12","46.10","46.14","45.87","10.26M","-0.19%"
"2023- 05- 17","46.21","46.06","46.24","45.86","8.32M","0.52%"
"2023- 05- 16","45.97","46.25","46.31","45.97","7.12M","-1.03%"
"2023- 05- 15","46.45","46.23","46.45","46.17","7.86M","0.87%"
"2023- 05- 12","46.05","46.25","46.25","45.89","7.70M","-0.22%"
"2023- 05- 11","46.15","46.07","46.17","45.84","10.11M","-0.45%"
"2023- 05- 10","46.36","46.53","46.53","46.06","14.55M","-0.15%"
"2023- 05- 09","46.43","46.26","46.50","46.21","8.26M","-0.39%"
"2023- 05- 08","46.61","46.72","46.73","46.54","5.57M","0.04%"
"2023- 05- 05","46.59","46.13","46.67","46.10","6.78M","1.61%"
"2023- 05- 04","45.85","45.86","46.04","45.74","10.41M","-0.15%"
"2023- 05- 03","45.92","45.99","46.31","45.92","10.31M","0.20%"
"2023- 05- 02","45.83","45.93","45.93","45.56","8.91M","-1.06%"
"2023- 05- 01","46.32","46.42","46.54","46.29","10.21M","-0.09%"
"2023- 04- 28","46.36","46.01","46.38","45.99","8.60M","0.02%"
"2023- 04- 27","46.35","46.00","46.35","45.90","6.71M","1.27%"
"2023- 04- 26","45.77","46.06","46.06","45.70","9.79M","0.02%"
"2023- 04- 25","45.76","46.23","46.23","45.76","9.78M","-1.57%"
"2023- 04- 24","46.49","46.40","46.50","46.34","8.23M","0.19%"
"2023- 04- 21","46.40","46.28","46.44","46.06","9.02M","0.32%"
"2023- 04- 20","46.25","46.14","46.35","46.12","12.79M","0.04%"
"2023- 04- 19","46.23","46.16","46.31","46.15","8.44M","-0.39%"
"2023- 04- 18","46.41","46.43","46.49","46.31","7.96M","0.39%"
"2023- 04- 17","46.23","46.15","46.23","45.97","10.83M","-0.09%"
"2023- 04- 14","46.27","46.46","46.57","46.08","7.89M","-0.49%"
"2023- 04- 13","46.50","46.25","46.51","46.20","14.72M","1.46%"
"2023- 04- 12","45.83","45.96","46.06","45.70","7.30M","0.57%"
"2023- 04- 11","45.57","45.51","45.66","45.47","7.65M","0.44%"
"2023- 04- 10","45.37","45.08","45.38","45.07","8.28M","0.09%"
"2023- 04- 06","45.33","45.11","45.44","45.04","9.57M","0.33%"
"2023- 04- 05","45.18","45.28","45.38","45.02","7.99M","-0.77%"
"2023- 04- 04","45.53","45.54","45.69","45.38","7.94M","-0.02%"
