,Close,금리,signal
1999-01-01,,,3
1999-02-01,,,3
1999-03-01,,,3
1999-04-01,,,3
1999-06-01,,,3
1999-07-01,,,3
1999-09-01,,,3
1999-10-01,,,3
1999-11-01,,,3
1999-12-01,,,3
2000-02-01,,,3
2000-03-01,,,3
2000-05-01,,,3
2000-06-01,,,3
2000-08-01,,,3
2000-09-01,,,3
2000-11-01,,,3
2000-12-01,,,3
2001-01-01,,,3
2001-02-01,,,3
2001-03-01,,,3
2001-05-01,,,3
2001-06-01,,,3
2001-08-01,,,3
2001-10-01,,,3
2001-11-01,,,3
2002-01-01,,,3
2002-02-01,,,3
2002-03-01,,,3
2002-04-01,,,3
2002-05-01,,,3
2002-07-01,,,3
2002-08-01,,,3
2002-10-01,,,3
2002-11-01,,,3
2003-01-01,,,3
2003-04-01,,,3
2003-05-01,,,3
2003-07-01,,,3
2003-08-01,,,3
2003-09-01,,,3
2003-10-01,,,3
2003-12-01,,,3
2004-01-01,,,3
2004-03-01,,,3
2004-04-01,,,3
2004-06-01,,,3
2004-07-01,,,3
2004-09-01,,,3
2004-10-01,,,3
2004-11-01,,,3
2004-12-01,,,3
2005-02-01,,,3
2005-03-01,,,3
2005-04-01,,,3
2005-06-01,,,3
2005-07-01,,,3
2005-08-01,,,3
2005-09-01,,,3
2005-11-01,,,3
2005-12-01,,,3
2006-02-01,,,3
2006-03-01,,,3
2006-05-01,-0.007463074551282145,0.06695464362850978,1
2006-06-01,0.02573627082294383,0.04831932773109249,0
2006-08-01,0.013565266010643562,0.09147609147609148,0
2006-09-01,0.0005017464671810412,0.10759493670886067,0
2006-11-01,0.0203393613653422,0.10294117647058831,0
2006-12-01,0.06741832748821897,0.05010020040080154,0
2007-01-01,0.12125112771651203,0.005747126436781658,0
2007-02-01,0.03220260090282934,0.011538461538461497,0
2007-03-01,0.02300361462270306,-0.029520295202952074,2
2007-05-01,0.04176960702207766,-0.009433962264150941,2
2007-06-01,0.10021071649773394,-0.08376963350785349,2
2007-08-01,-0.01640884473395099,-0.14188034188034193,3
2007-10-01,0.09065185943267284,-0.24082934609250395,2
2007-11-01,0.01824559295197936,-0.3124042879019908,2
2008-01-01,-0.09167281637695668,-0.39384615384615385,3
2008-02-01,-0.07370641635841257,-0.5429447852760736,3
2008-04-01,0.05372068692461163,-0.6497695852534562,2
2008-05-01,0.06066892917299915,-0.690625,2
2008-07-01,-0.07220298839518391,-0.6638795986622075,3
2008-08-01,0.034590396854056404,-0.6357012750455373,2
2008-09-01,0.005196822908354548,-0.6591337099811676,2
2008-10-01,-0.22859164415834599,-0.7695961995249406,3
2008-12-01,-0.26227968735372187,-0.9596977329974811,3
2009-01-01,-0.271440889130392,-0.9589041095890412,3
2009-04-01,-0.1764234337028685,-0.9397590361445783,3
2009-05-01,-0.19334762031176378,-0.9138755980861244,3
2009-06-01,-0.18658640325457487,-0.8786127167630058,3
2009-07-01,-0.1077498595904055,-0.9080459770114943,3
2009-09-01,-0.07870912021264298,-0.9132947976878613,3
2009-10-01,-0.03782091601698412,-0.9314285714285714,3
2009-12-01,0.04494251951867834,-0.9314285714285714,2
2010-01-01,0.17797986098269258,-0.9364161849710982,2
2010-02-01,0.20568295152519922,-0.9252873563218391,2
2010-03-01,0.32025609738282546,-0.9085714285714286,2
2010-04-01,0.26741137497251555,-0.8507462686567164,2
2010-06-01,0.2045225502323893,-0.8548387096774194,2
2010-07-01,0.20141342332799494,-0.8571428571428572,2
2010-09-01,0.18432104875141708,-0.8492063492063492,2
2010-10-01,0.1948379928332642,-0.8118811881188119,2
2010-11-01,0.1711689739099096,-0.8155339805825242,2
2010-12-01,0.262728848903528,-0.8217821782178218,2
2011-02-01,0.2631649266167686,-0.8415841584158416,2
2011-03-01,0.19237886147854688,-0.8571428571428571,2
2011-04-01,0.20552896613580285,-0.9,2
2011-06-01,0.1726410353794834,-0.91,2
2011-07-01,0.16705497364017785,-0.9299999999999999,2
2011-08-01,0.06841454644517442,-0.9029126213592233,2
2011-09-01,0.0269579149257253,-0.9365079365079365,2
