,Close,금리
1999-01-01,1279.6400146484375,4.63
1999-02-01,1238.3299560546875,4.76
1999-03-01,1286.3699951171875,4.81
1999-04-01,1335.1800537109375,4.74
1999-06-01,1372.7099609375,4.76
1999-07-01,1328.719970703125,4.99
1999-09-01,1282.7099609375,5.22
1999-10-01,1362.9300537109375,5.2
1999-11-01,1388.9100341796875,5.42
1999-12-01,1469.25,5.3
2000-02-01,1366.4200439453125,5.73
2000-03-01,1498.5799560546875,5.85
2000-05-01,1420.5999755859375,6.27
2000-06-01,1454.5999755859375,6.53
2000-08-01,1517.6800537109375,6.5
2000-09-01,1436.510009765625,6.52
2000-11-01,1314.949951171875,6.51
2000-12-01,1320.280029296875,6.4
2001-01-01,1366.010009765625,5.98
2001-02-01,1239.93994140625,5.49
2001-03-01,1160.3299560546875,5.31
2001-05-01,1255.8199462890625,4.21
2001-06-01,1224.3800048828125,3.97
2001-08-01,1133.5799560546875,3.65
2001-10-01,1059.780029296875,2.49
2001-11-01,1139.449951171875,2.09
2002-01-01,1130.199951171875,1.73
2002-02-01,1106.72998046875,1.74
2002-03-01,1147.3900146484375,1.73
2002-04-01,1076.9200439453125,1.75
2002-05-01,1067.1400146484375,1.75
2002-07-01,911.6199951171875,1.73
2002-08-01,916.0700073242188,1.74
2002-10-01,885.760009765625,1.75
2002-11-01,936.3099975585938,1.34
2003-01-01,855.7000122070312,1.24
2003-04-01,916.9199829101562,1.26
2003-05-01,963.5900268554688,1.26
2003-07-01,990.3099975585938,1.01
2003-08-01,1008.010009765625,1.03
2003-09-01,995.969970703125,1.01
2003-10-01,1050.7099609375,1.01
2003-12-01,1111.9200439453125,0.98
2004-01-01,1131.1300048828125,1.0
2004-03-01,1126.2099609375,1.0
2004-04-01,1107.300048828125,1.0
2004-06-01,1140.8399658203125,1.03
2004-07-01,1101.719970703125,1.26
2004-09-01,1114.5799560546875,1.61
2004-10-01,1130.199951171875,1.76
2004-11-01,1173.8199462890625,1.93
2004-12-01,1211.9200439453125,2.16
2005-02-01,1203.5999755859375,2.5
2005-03-01,1180.5899658203125,2.63
2005-04-01,1156.8499755859375,2.79
2005-06-01,1191.3299560546875,3.04
2005-07-01,1234.1800537109375,3.26
2005-08-01,1220.3299560546875,3.5
2005-09-01,1228.81005859375,3.62
2005-11-01,1249.47998046875,4.0
2005-12-01,1248.2900390625,4.16
2006-02-01,1280.6600341796875,4.49
2006-03-01,1294.8699951171875,4.59
2006-05-01,1270.0899658203125,4.94
2006-06-01,1270.199951171875,4.99
2006-08-01,1303.8199462890625,5.25
2006-09-01,1335.8499755859375,5.25
2006-11-01,1400.6300048828125,5.25
2006-12-01,1418.300048828125,5.24
2007-01-01,1438.239990234375,5.25
2007-02-01,1406.8199462890625,5.26
2007-03-01,1420.8599853515625,5.26
2007-05-01,1530.6199951171875,5.25
2007-06-01,1503.3499755859375,5.25
2007-08-01,1473.989990234375,5.02
2007-10-01,1549.3800048828125,4.76
2007-11-01,1481.1400146484375,4.49
2008-01-01,1378.550048828125,3.94
2008-02-01,1330.6300048828125,2.98
2008-04-01,1385.5899658203125,2.28
2008-05-01,1400.3800048828125,1.98
2008-07-01,1267.3800048828125,2.01
2008-08-01,1282.8299560546875,2.0
2008-09-01,1166.3599853515625,1.81
2008-10-01,968.75,0.97
2008-12-01,903.25,0.16
2009-01-01,825.8800048828125,0.15
2009-04-01,872.8099975585938,0.15
2009-05-01,919.1400146484375,0.18
2009-06-01,919.3200073242188,0.21
2009-07-01,987.47998046875,0.16
2009-09-01,1057.0799560546875,0.15
2009-10-01,1036.18994140625,0.12
2009-12-01,1115.0999755859375,0.12
2010-01-01,1073.8699951171875,0.11
2010-02-01,1104.489990234375,0.13
2010-03-01,1169.4300537109375,0.16
2010-04-01,1186.68994140625,0.2
2010-06-01,1030.7099609375,0.18
2010-07-01,1101.5999755859375,0.18
2010-09-01,1141.199951171875,0.19
2010-10-01,1183.260009765625,0.19
2010-11-01,1180.550048828125,0.19
2010-12-01,1257.6400146484375,0.18
2011-02-01,1327.219970703125,0.16
2011-03-01,1325.8299560546875,0.14
2011-04-01,1363.6099853515625,0.1
2011-06-01,1320.6400146484375,0.09
2011-07-01,1292.280029296875,0.07
2011-08-01,1218.8900146484375,0.1
2011-09-01,1131.4200439453125,0.08
2011-11-01,1246.9599609375,0.08
2011-12-01,1257.5999755859375,0.07
2012-02-01,1365.6800537109375,0.1
2012-03-01,1408.469970703125,0.13
2012-05-01,1310.3299560546875,0.16
2012-06-01,1362.1600341796875,0.16
2012-08-01,1406.5799560546875,0.13
2012-10-01,1412.1600341796875,0.16
2012-11-01,1416.1800537109375,0.16
2013-01-01,1498.1099853515625,0.14
2013-02-01,1514.6800537109375,0.15
2013-03-01,1569.18994140625,0.14
2013-04-01,1597.5699462890625,0.15
2013-05-01,1630.739990234375,0.11
2013-07-01,1685.72998046875,0.09
2013-08-01,1632.969970703125,0.08
2013-10-01,1756.5400390625,0.09
2013-11-01,1805.81005859375,0.08
2014-01-01,1782.5899658203125,0.07
2014-04-01,1883.949951171875,0.09
2014-05-01,1923.5699462890625,0.09
2014-07-01,1930.6700439453125,0.09
2014-08-01,2003.3699951171875,0.09
2014-09-01,1972.2900390625,0.09
2014-10-01,2018.050048828125,0.09
2014-12-01,2058.89990234375,0.12
2015-01-01,1994.989990234375,0.11
2015-04-01,2085.510009765625,0.12
2015-05-01,2107.389892578125,0.12
2015-06-01,2063.110107421875,0.13
2015-07-01,2103.840087890625,0.13
2015-09-01,1920.030029296875,0.14
2015-10-01,2079.360107421875,0.12
2015-12-01,2043.93994140625,0.24
2016-01-01,1940.239990234375,0.34
2016-02-01,1932.22998046875,0.38
2016-03-01,2059.739990234375,0.36
2016-04-01,2065.300048828125,0.37
2016-06-01,2098.860107421875,0.38
2016-07-01,2173.60009765625,0.39
2016-08-01,2170.949951171875,0.4
2016-09-01,2168.27001953125,0.4
2016-11-01,2198.81005859375,0.41
2016-12-01,2238.830078125,0.54
2017-02-01,2363.639892578125,0.66
2017-03-01,2362.719970703125,0.79
2017-05-01,2411.800048828125,0.91
2017-06-01,2423.409912109375,1.04
2017-08-01,2471.64990234375,1.16
2017-09-01,2519.360107421875,1.15
2017-11-01,2647.580078125,1.16
2017-12-01,2673.610107421875,1.3
2018-01-01,2823.81005859375,1.41
2018-02-01,2713.830078125,1.42
2018-03-01,2640.8701171875,1.51
2018-05-01,2705.27001953125,1.7
2018-06-01,2718.3701171875,1.82
2018-08-01,2901.52001953125,1.91
2018-10-01,2711.739990234375,2.19
2018-11-01,2760.169921875,2.2
2019-01-01,2704.10009765625,2.4
2019-02-01,2784.489990234375,2.4
2019-03-01,2834.39990234375,2.41
2019-04-01,2945.830078125,2.42
2019-05-01,2752.06005859375,2.39
2019-07-01,2980.3798828125,2.4
2019-08-01,2926.4599609375,2.13
2019-10-01,3037.56005859375,1.83
2019-11-01,3140.97998046875,1.55
2020-01-01,3225.52001953125,1.55
2020-04-01,2912.429931640625,0.05
2020-05-01,3044.31005859375,0.05
2020-06-01,3100.2900390625,0.08
2020-07-01,3271.1201171875,0.09
2020-09-01,3363.0,0.09
2020-10-01,3269.9599609375,0.09
2020-12-01,3756.070068359375,0.09
2021-01-01,3714.239990234375,0.09
2021-02-01,3811.14990234375,0.08
2021-03-01,3972.889892578125,0.07
2021-04-01,4181.169921875,0.07
2021-06-01,4297.5,0.08
2021-07-01,4395.259765625,0.1
2021-09-01,4307.5400390625,0.08
2021-10-01,4605.3798828125,0.08
2021-11-01,4567.0,0.08
2021-12-01,4766.18017578125,0.08
2022-02-01,4373.93994140625,0.08
2022-03-01,4530.41015625,0.2
2022-04-01,4131.93017578125,0.33
2022-06-01,3785.3798828125,1.21
2022-07-01,4130.2900390625,1.68
2022-08-01,3955.0,2.33
2022-09-01,3585.6201171875,2.56
2022-11-01,4080.110107421875,3.78
2022-12-01,3839.5,4.1
2023-02-01,3970.14990234375,4.57
2023-03-01,4109.31005859375,4.65
2023-05-01,4205.52001953125,5.06
