"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 01","92.71","91.77","92.90","91.64","4.22M","1.19%"
"2023- 05- 31","91.62","91.68","91.88","91.17","2.27M","-0.72%"
"2023- 05- 30","92.28","92.87","92.92","92.00","3.85M","-0.41%"
"2023- 05- 26","92.66","91.74","92.79","91.74","2.22M","1.31%"
"2023- 05- 25","91.46","91.59","91.72","91.07","1.76M","0.41%"
"2023- 05- 24","91.09","91.42","91.42","90.90","1.87M","-0.92%"
"2023- 05- 23","91.94","92.63","92.75","91.91","3.81M","-1.26%"
"2023- 05- 22","93.11","93.10","93.38","92.88","1.75M","0.15%"
"2023- 05- 19","92.97","93.14","93.29","92.74","1.91M","0.06%"
"2023- 05- 18","92.91","92.34","92.99","92.18","2.24M","0.50%"
"2023- 05- 17","92.45","91.89","92.54","91.55","2.24M","0.94%"
"2023- 05- 16","91.59","91.97","92.14","91.58","3.55M","-0.80%"
"2023- 05- 15","92.33","91.94","92.38","91.70","2.90M","0.69%"
"2023- 05- 12","91.70","92.08","92.12","91.25","1.27M","-0.28%"
"2023- 05- 11","91.96","91.84","91.99","91.43","3.50M","-0.25%"
"2023- 05- 10","92.19","92.36","92.47","91.44","6.37M","0.25%"
"2023- 05- 09","91.96","91.81","92.15","91.75","1.51M","-0.42%"
"2023- 05- 08","92.35","92.49","92.49","92.08","1.87M","0.04%"
"2023- 05- 05","92.31","91.46","92.50","91.43","3.62M","1.70%"
"2023- 05- 04","90.77","91.02","91.11","90.50","2.71M","-0.36%"
"2023- 05- 03","91.10","91.56","92.14","91.06","3.96M","-0.36%"
"2023- 05- 02","91.43","92.13","92.13","90.84","1.30M","-1.12%"
"2023- 05- 01","92.47","92.56","92.85","92.43","923.04K","-0.13%"
"2023- 04- 28","92.59","91.74","92.59","91.70","1.53M","0.59%"
"2023- 04- 27","92.05","91.09","92.10","90.99","4.94M","1.71%"
"2023- 04- 26","90.50","91.12","91.19","90.40","5.96M","-0.25%"
"2023- 04- 25","90.73","91.66","91.73","90.71","3.99M","-1.61%"
"2023- 04- 24","92.21","92.10","92.31","91.86","2.11M","0.04%"
"2023- 04- 21","92.17","92.05","92.25","91.68","2.88M","0.07%"
"2023- 04- 20","92.11","91.94","92.46","91.81","1.86M","-0.37%"
"2023- 04- 19","92.45","92.14","92.61","92.10","4.39M","-0.21%"
"2023- 04- 18","92.64","92.88","92.92","92.36","1.59M","0.18%"
"2023- 04- 17","92.47","92.22","92.47","91.92","3.20M","0.18%"
"2023- 04- 14","92.30","92.42","92.85","91.83","1.10M","-0.29%"
"2023- 04- 13","92.57","91.78","92.65","91.78","2.47M","1.34%"
"2023- 04- 12","91.35","92.05","92.14","91.25","2.20M","-0.16%"
