"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 31","91.77","91.77","91.78","91.77","9.79M","0.02%"
"2023- 05- 30","91.75","91.76","91.77","91.75","11.50M","0.01%"
"2023- 05- 26","91.74","91.75","91.76","91.74","5.92M","0.02%"
"2023- 05- 25","91.72","91.73","91.73","91.72","5.25M","0.07%"
"2023- 05- 24","91.66","91.67","91.68","91.66","4.75M","0.00%"
"2023- 05- 23","91.66","91.66","91.67","91.66","5.04M","0.00%"
"2023- 05- 22","91.66","91.66","91.66","91.65","8.34M","0.01%"
"2023- 05- 19","91.65","91.66","91.66","91.64","6.45M","0.00%"
"2023- 05- 18","91.65","91.64","91.65","91.63","6.42M","0.05%"
"2023- 05- 17","91.60","91.60","91.61","91.60","5.40M","0.02%"
"2023- 05- 16","91.58","91.59","91.60","91.58","8.50M","-0.01%"
"2023- 05- 15","91.59","91.58","91.59","91.58","4.03M","0.01%"
"2023- 05- 12","91.58","91.58","91.58","91.57","4.33M","0.02%"
"2023- 05- 11","91.56","91.56","91.57","91.55","6.15M","0.07%"
"2023- 05- 10","91.50","91.51","91.52","91.50","4.82M","0.01%"
"2023- 05- 09","91.49","91.50","91.50","91.49","6.84M","0.01%"
"2023- 05- 08","91.48","91.48","91.49","91.48","5.50M","0.01%"
"2023- 05- 05","91.47","91.47","91.49","91.46","7.17M","0.02%"
"2023- 05- 04","91.45","91.46","91.46","91.44","8.03M","0.03%"
"2023- 05- 03","91.42","91.43","91.43","91.42","5.38M","0.01%"
"2023- 05- 02","91.41","91.44","91.44","91.41","5.42M","-0.02%"
"2023- 05- 01","91.43","91.44","91.45","91.43","11.06M","-0.38%"
"2023- 04- 28","91.78","91.77","91.78","91.77","6.54M","0.00%"
"2023- 04- 27","91.78","91.78","91.79","91.77","5.57M","0.03%"
"2023- 04- 26","91.75","91.74","91.75","91.74","7.35M","0.02%"
"2023- 04- 25","91.73","91.74","91.75","91.73","4.20M","-0.01%"
"2023- 04- 24","91.74","91.75","91.75","91.73","8.14M","0.01%"
"2023- 04- 21","91.73","91.73","91.73","91.72","5.88M","-0.01%"
"2023- 04- 20","91.74","91.72","91.74","91.71","5.99M","0.08%"
"2023- 04- 19","91.67","91.68","91.68","91.67","5.88M","0.01%"
"2023- 04- 18","91.66","91.65","91.67","91.65","4.46M","0.01%"
"2023- 04- 17","91.65","91.64","91.65","91.64","5.17M","0.02%"
"2023- 04- 14","91.63","91.63","91.64","91.62","9.39M","0.00%"
"2023- 04- 13","91.63","91.62","91.63","91.62","8.67M","0.05%"
"2023- 04- 12","91.58","91.58","91.59","91.57","8.78M","0.02%"
"2023- 04- 11","91.56","91.56","91.57","91.56","7.71M","0.01%"
"2023- 04- 10","91.55","91.56","91.56","91.55","5.73M","0.01%"
"2023- 04- 06","91.54","91.55","91.55","91.54","4.94M","0.01%"
"2023- 04- 05","91.53","91.53","91.54","91.53","6.87M","0.05%"
"2023- 04- 04","91.48","91.48","91.49","91.48","10.15M","0.01%"
"2023- 04- 03","91.47","91.48","91.48","91.47","12.30M","-0.38%"
"2023- 03- 31","91.82","91.84","91.84","91.82","11.62M","-0.02%"
"2023- 03- 30","91.84","91.84","91.85","91.82","9.27M","0.02%"
"2023- 03- 29","91.82","91.82","91.84","91.82","4.64M","0.00%"
"2023- 03- 28","91.82","91.82","91.83","91.82","6.16M","0.02%"
"2023- 03- 27","91.80","91.80","91.81","91.80","6.18M","-0.01%"
"2023- 03- 24","91.81","91.80","91.81","91.79","7.40M","0.02%"
"2023- 03- 23","91.79","91.77","91.79","91.77","5.69M","0.04%"
"2023- 03- 22","91.75","91.74","91.75","91.74","8.11M","0.02%"
"2023- 03- 21","91.73","91.72","91.74","91.72","7.87M","0.00%"
"2023- 03- 20","91.73","91.72","91.73","91.71","8.16M","0.01%"
"2023- 03- 17","91.72","91.69","91.72","91.69","8.58M","0.02%"
"2023- 03- 16","91.70","91.69","91.70","91.69","9.35M","0.04%"
"2023- 03- 15","91.66","91.65","91.66","91.64","11.41M","0.05%"
"2023- 03- 14","91.61","91.62","91.63","91.61","35.68M","0.01%"
"2023- 03- 13","91.60","91.63","91.63","91.60","21.66M","0.02%"
"2023- 03- 10","91.58","91.58","91.59","91.58","13.48M","0.02%"
"2023- 03- 09","91.56","91.56","91.57","91.56","6.43M","0.02%"
"2023- 03- 08","91.54","91.54","91.54","91.53","8.21M","0.02%"
"2023- 03- 07","91.52","91.53","91.54","91.52","4.33M","0.00%"
"2023- 03- 06","91.52","91.52","91.52","91.51","6.13M","0.01%"
"2023- 03- 03","91.51","91.50","91.51","91.50","7.07M","0.02%"
"2023- 03- 02","91.49","91.50","91.50","91.49","9.58M","0.03%"
"2023- 03- 01","91.46","91.47","91.47","91.46","10.93M","-0.27%"
"2023- 02- 28","91.71","91.71","91.71","91.70","8.09M","0.01%"
"2023- 02- 27","91.70","91.69","91.70","91.69","7.48M","0.01%"
"2023- 02- 24","91.69","91.68","91.69","91.68","7.74M","0.01%"
"2023- 02- 23","91.68","91.68","91.68","91.67","4.85M","0.03%"
"2023- 02- 22","91.65","91.63","91.65","91.63","18.69M","0.03%"
"2023- 02- 21","91.62","91.63","91.64","91.62","17.02M","0.00%"
"2023- 02- 17","91.62","91.62","91.62","91.61","4.40M","0.01%"
"2023- 02- 16","91.61","91.61","91.61","91.60","5.53M","0.05%"
"2023- 02- 15","91.56","91.56","91.56","91.55","4.89M","0.02%"
"2023- 02- 14","91.54","91.54","91.55","91.54","4.05M","0.00%"
"2023- 02- 13","91.54","91.54","91.54","91.53","8.88M","0.02%"
"2023- 02- 10","91.52","91.52","91.53","91.52","4.58M","0.01%"
"2023- 02- 09","91.51","91.51","91.52","91.51","4.89M","0.03%"
"2023- 02- 08","91.48","91.49","91.49","91.48","4.08M","0.00%"
