"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 23","22.82","22.78","22.90","22.75","717.36K","0.40%"
"2023- 05- 22","22.73","22.64","22.78","22.61","546.49K","0.09%"
"2023- 05- 19","22.71","22.92","22.95","22.66","777.85K","-0.13%"
"2023- 05- 18","22.74","22.73","22.80","22.64","993.31K","-0.92%"
"2023- 05- 17","22.95","22.88","23.00","22.73","815.93K","1.19%"
"2023- 05- 16","22.68","22.88","22.97","22.68","971.67K","-1.09%"
"2023- 05- 15","22.93","22.81","23.01","22.80","702.78K","1.15%"
"2023- 05- 12","22.67","22.86","22.92","22.65","769.82K","-0.79%"
"2023- 05- 11","22.85","22.91","22.97","22.76","742.69K","-1.72%"
"2023- 05- 10","23.25","23.24","23.32","23.12","489.76K","-0.30%"
"2023- 05- 09","23.32","23.17","23.36","23.02","787.16K","0.30%"
"2023- 05- 08","23.25","23.37","23.41","23.24","712.64K","0.48%"
"2023- 05- 05","23.14","22.91","23.15","22.88","702.37K","2.25%"
"2023- 05- 04","22.63","22.54","22.79","22.47","765.11K","0.40%"
"2023- 05- 03","22.54","22.58","22.65","22.51","838.56K","-1.27%"
"2023- 05- 02","22.83","23.18","23.20","22.79","1.66M","-2.27%"
"2023- 05- 01","23.36","23.39","23.55","23.22","762.82K","-0.85%"
"2023- 04- 28","23.56","23.29","23.57","23.24","499.59K","0.94%"
"2023- 04- 27","23.34","23.31","23.41","23.21","938.47K","0.13%"
"2023- 04- 26","23.31","23.62","23.67","23.28","1.77M","-1.52%"
"2023- 04- 25","23.67","23.81","23.81","23.53","1.22M","-1.42%"
"2023- 04- 24","24.01","23.76","24.05","23.74","1.02M","0.80%"
"2023- 04- 21","23.82","23.92","23.95","23.73","735.72K","-0.21%"
"2023- 04- 20","23.87","23.87","23.93","23.80","1.07M","-0.87%"
"2023- 04- 19","24.08","24.11","24.23","24.03","397.27K","-1.39%"
"2023- 04- 18","24.42","24.38","24.50","24.27","844.72K","0.21%"
"2023- 04- 17","24.37","24.39","24.47","24.24","937.31K","-0.41%"
"2023- 04- 14","24.47","24.43","24.53","24.28","1.24M","0.12%"
"2023- 04- 13","24.44","24.53","24.59","24.40","888.72K","0.00%"
"2023- 04- 12","24.44","24.35","24.47","24.31","1.15M","0.78%"
"2023- 04- 11","24.25","24.12","24.31","24.11","1.53M","0.54%"
"2023- 04- 10","24.12","24.05","24.18","24.05","864.01K","0.00%"
"2023- 04- 06","24.12","24.13","24.15","24.02","2.42M","-0.29%"
"2023- 04- 05","24.19","24.10","24.20","24.01","1.08M","0.37%"
"2023- 04- 04","24.10","24.16","24.18","23.93","1.31M","-0.12%"
"2023- 04- 03","24.13","24.17","24.31","24.07","1.16M","1.64%"
"2023- 03- 31","23.74","23.53","23.76","23.53","1.03M","0.94%"
"2023- 03- 30","23.52","23.48","23.54","23.36","793.91K","0.73%"
"2023- 03- 29","23.35","23.55","23.62","23.33","513.69K","-0.64%"
"2023- 03- 28","23.50","23.34","23.59","23.34","950.61K","0.47%"
"2023- 03- 27","23.39","23.04","23.42","23.00","2.16M","1.87%"
"2023- 03- 24","22.96","22.83","23.00","22.78","2.18M","0.48%"
"2023- 03- 23","22.85","23.08","23.19","22.85","1.28M","-0.26%"
"2023- 03- 22","22.91","22.93","23.07","22.80","1.36M","0.26%"
"2023- 03- 21","22.85","22.84","22.92","22.70","1.23M","0.35%"
"2023- 03- 20","22.77","22.69","22.80","22.56","931.12K","0.40%"
"2023- 03- 17","22.68","22.83","22.89","22.53","1.92M","-0.31%"
"2023- 03- 16","22.75","22.45","22.83","22.36","1.54M","0.31%"
"2023- 03- 15","22.68","22.75","22.88","22.36","2.17M","-2.33%"
"2023- 03- 14","23.22","23.37","23.58","23.15","1.28M","-1.28%"
"2023- 03- 13","23.52","23.30","23.77","23.25","1.87M","-0.63%"
"2023- 03- 10","23.67","23.46","23.71","23.45","2.42M","1.07%"
"2023- 03- 09","23.42","23.80","23.88","23.39","1.29M","-1.22%"
"2023- 03- 08","23.71","23.71","23.83","23.65","1.52M","-0.55%"
"2023- 03- 07","23.84","24.20","24.27","23.81","1.50M","-2.05%"
"2023- 03- 06","24.34","24.15","24.36","24.12","1.05M","-0.49%"
"2023- 03- 03","24.46","24.02","24.48","24.02","1.51M","1.58%"
"2023- 03- 02","24.08","24.15","24.17","23.95","828.69K","-0.37%"
"2023- 03- 01","24.17","23.89","24.18","23.86","1.24M","1.73%"
"2023- 02- 28","23.76","23.84","23.90","23.74","1.22M","0.30%"
"2023- 02- 27","23.69","23.76","23.77","23.60","1.08M","0.08%"
"2023- 02- 24","23.67","23.46","23.68","23.34","1.64M","-0.34%"
"2023- 02- 23","23.75","23.75","23.83","23.59","2.07M","0.76%"
"2023- 02- 22","23.57","23.82","23.87","23.57","1.21M","-1.30%"
"2023- 02- 21","23.88","23.98","24.08","23.82","1.01M","0.13%"
"2023- 02- 17","23.85","23.63","23.89","23.58","1.21M","-0.75%"
"2023- 02- 16","24.03","24.03","24.16","24.00","831.92K","-0.29%"
"2023- 02- 15","24.10","24.12","24.17","23.93","924.74K","-1.07%"
"2023- 02- 14","24.36","24.12","24.44","24.07","926.17K","0.33%"
"2023- 02- 13","24.28","24.15","24.37","24.12","853.72K","-0.21%"
"2023- 02- 10","24.33","24.13","24.33","24.13","783.07K","1.42%"
"2023- 02- 09","23.99","24.07","24.15","23.89","2.05M","-0.79%"
"2023- 02- 08","24.18","24.16","24.22","23.96","808.22K","0.21%"
"2023- 02- 07","24.13","23.73","24.14","23.72","1.06M","1.90%"
"2023- 02- 06","23.68","23.64","23.72","23.32","1.38M","0.30%"
"2023- 02- 03","23.61","24.04","24.28","23.60","2.63M","-2.52%"
"2023- 02- 02","24.22","24.60","24.60","24.16","3.58M","-0.74%"
"2023- 02- 01","24.40","24.68","24.70","24.18","3.08M","-1.89%"
"2023- 01- 31","24.87","24.47","24.87","24.45","1.57M","1.72%"
"2023- 01- 30","24.45","24.60","24.80","24.45","2.53M","-1.29%"
"2023- 01- 27","24.77","25.12","25.13","24.74","2.38M","-1.12%"
"2023- 01- 26","25.05","25.10","25.13","24.93","1.64M","0.44%"
"2023- 01- 25","24.94","24.98","25.02","24.84","1.15M","-0.28%"
"2023- 01- 24","25.01","25.18","25.20","24.98","902.31K","-0.56%"
"2023- 01- 23","25.15","25.13","25.22","25.05","2.66M","0.24%"
"2023- 01- 20","25.09","25.02","25.13","24.90","1.14M","0.60%"
"2023- 01- 19","24.94","24.83","25.03","24.78","1.23M","1.01%"
"2023- 01- 18","24.69","25.09","25.17","24.68","1.47M","-1.08%"
"2023- 01- 17","24.96","24.87","24.98","24.75","1.15M","0.69%"
"2023- 01- 13","24.79","24.51","24.82","24.51","1.51M","0.98%"
"2023- 01- 12","24.55","24.55","24.66","24.41","2.45M","0.82%"
"2023- 01- 11","24.35","24.20","24.35","24.04","1.92M","1.80%"
"2023- 01- 10","23.92","23.97","24.07","23.81","1.45M","0.00%"
"2023- 01- 09","23.92","24.00","24.18","23.90","1.19M","1.18%"
"2023- 01- 06","23.64","23.70","23.78","23.55","1.67M","0.55%"
"2023- 01- 05","23.51","23.55","23.65","23.42","1.70M","-0.51%"
"2023- 01- 04","23.63","23.75","23.79","23.52","1.97M","-1.79%"
"2023- 01- 03","24.06","24.36","24.53","23.99","3.23M","-2.39%"
"2022- 12- 30","24.65","24.30","24.67","24.30","1.85M","0.90%"
"2022- 12- 29","24.43","24.26","24.45","24.21","1.76M","-0.12%"
"2022- 12- 28","24.46","24.50","24.53","24.24","2.87M","-1.13%"
"2022- 12- 27","24.74","24.01","24.87","23.80","6.15M","0.90%"
"2022- 12- 23","24.52","24.18","24.55","24.18","2.91M","1.83%"
"2022- 12- 22","24.08","24.31","24.37","23.95","2.01M","-1.27%"
"2022- 12- 21","24.39","24.27","24.41","24.26","1.88M","1.29%"
"2022- 12- 20","24.08","23.89","24.13","23.84","2.59M","0.46%"
"2022- 12- 19","23.97","24.03","24.08","23.86","3.12M","-0.79%"
"2022- 12- 16","24.16","24.12","24.31","24.08","3.40M","-1.27%"
"2022- 12- 15","24.47","24.71","24.71","24.36","2.80M","-1.21%"
"2022- 12- 14","24.77","24.63","24.86","24.59","2.34M","0.77%"
"2022- 12- 13","24.58","24.54","24.72","24.53","2.77M","1.65%"
"2022- 12- 12","24.18","23.99","24.25","23.97","2.66M","1.09%"
"2022- 12- 09","23.92","23.93","24.06","23.74","2.96M","0.13%"
"2022- 12- 08","23.89","24.08","24.12","23.78","3.55M","-0.17%"
"2022- 12- 07","23.93","24.10","24.20","23.84","5.66M","-0.50%"
"2022- 12- 06","24.05","24.41","24.49","23.92","3.35M","-1.60%"
"2022- 12- 05","24.44","25.27","25.32","24.39","4.07M","-2.59%"
"2022- 12- 02","25.09","25.22","25.35","25.03","3.96M","-1.06%"
