"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 01- 05","39.25","38.99","39.33","38.98","25.18M","-0.30%"
"2023- 01- 04","39.37","38.90","39.41","38.68","52.98M","3.01%"
"2023- 01- 03","38.22","38.34","38.63","38.11","35.50M","0.84%"
"2022- 12- 30","37.90","38.14","38.31","37.76","38.30M","-1.38%"
"2022- 12- 29","38.43","38.23","38.49","38.18","27.09M","1.67%"
"2022- 12- 28","37.80","38.26","38.30","37.78","31.78M","-1.46%"
"2022- 12- 27","38.36","38.13","38.56","38.08","42.33M","1.48%"
"2022- 12- 23","37.80","37.79","37.91","37.61","19.54M","-0.13%"
"2022- 12- 22","37.85","38.08","38.11","37.57","26.85M","-0.89%"
"2022- 12- 21","38.19","37.79","38.19","37.71","23.60M","0.90%"
"2022- 12- 20","37.85","37.72","38.00","37.69","25.57M","-0.03%"
"2022- 12- 19","37.86","38.11","38.11","37.79","22.99M","0.08%"
"2022- 12- 16","37.83","37.90","38.06","37.77","48.07M","0.29%"
"2022- 12- 15","37.72","38.32","38.45","37.69","47.85M","-2.31%"
"2022- 12- 14","38.61","38.60","38.80","38.31","62.00M","0.05%"
"2022- 12- 13","38.59","39.11","39.21","38.51","56.08M","-0.80%"
"2022- 12- 12","38.90","38.88","38.90","38.56","40.06M","-0.31%"
"2022- 12- 09","39.02","39.35","39.41","39.02","48.74M","-0.66%"
"2022- 12- 08","39.28","39.19","39.40","39.06","41.10M","1.21%"
"2022- 12- 07","38.81","38.75","38.96","38.68","46.26M","-0.59%"
"2022- 12- 06","39.04","39.24","39.29","38.94","31.55M","-0.13%"
"2022- 12- 05","39.09","39.53","39.55","38.99","60.21M","-1.14%"
"2022- 12- 02","39.54","39.01","39.66","39.01","47.59M","0.38%"
"2022- 12- 01","39.39","39.63","39.71","39.25","48.65M","-0.33%"
"2022- 11- 30","39.52","39.24","39.68","38.98","101.71M","2.89%"
"2022- 11- 29","38.41","38.40","38.58","38.31","50.78M","2.15%"
"2022- 11- 28","37.60","37.59","38.00","37.59","45.01M","-0.45%"
"2022- 11- 25","37.77","37.84","37.88","37.74","19.99M","-0.47%"
"2022- 11- 23","37.95","37.69","37.97","37.68","43.49M","0.82%"
"2022- 11- 22","37.64","37.46","37.65","37.39","33.68M","0.24%"
"2022- 11- 21","37.55","37.54","37.63","37.35","29.25M","-1.26%"
"2022- 11- 18","38.03","38.14","38.15","37.85","45.04M","-0.58%"
"2022- 11- 17","38.25","37.49","38.30","37.48","56.47M","0.18%"
"2022- 11- 16","38.18","38.47","38.51","38.12","49.35M","-1.60%"
"2022- 11- 15","38.80","39.12","39.16","38.54","77.04M","2.29%"
"2022- 11- 14","37.93","37.95","38.20","37.78","40.19M","-0.60%"
"2022- 11- 11","38.16","37.84","38.20","37.78","52.27M","2.72%"
"2022- 11- 10","37.15","36.82","37.18","36.67","53.99M","3.63%"
"2022- 11- 09","35.85","36.21","36.38","35.80","34.15M","-1.73%"
"2022- 11- 08","36.48","36.29","36.67","36.16","36.09M","0.72%"
"2022- 11- 07","36.22","36.43","36.51","36.09","38.40M","0.06%"
"2022- 11- 04","36.20","36.03","36.20","35.67","70.53M","4.23%"
"2022- 11- 03","34.73","34.30","34.84","34.28","38.31M","0.58%"
"2022- 11- 02","34.53","34.90","35.32","34.50","47.61M","-0.83%"
"2022- 11- 01","34.82","35.10","35.15","34.69","50.93M","1.84%"
"2022- 10- 31","34.19","33.92","34.27","33.92","44.10M","-0.29%"
"2022- 10- 28","34.29","34.03","34.33","33.95","46.30M","-0.61%"
"2022- 10- 27","34.50","34.53","34.85","34.46","34.22M","-0.78%"
"2022- 10- 26","34.77","34.31","35.08","34.31","37.98M","1.64%"
"2022- 10- 25","34.21","33.98","34.28","33.95","31.72M","0.83%"
"2022- 10- 24","33.93","33.97","34.01","33.49","55.01M","-3.80%"
"2022- 10- 21","35.27","34.65","35.30","34.54","43.88M","1.53%"
"2022- 10- 20","34.74","34.77","35.28","34.70","44.24M","0.64%"
"2022- 10- 19","34.52","34.61","34.81","34.39","31.39M","-1.82%"
"2022- 10- 18","35.16","35.49","35.56","34.90","33.91M","0.03%"
"2022- 10- 17","35.15","34.91","35.27","34.91","51.12M","2.75%"
"2022- 10- 14","34.21","34.95","34.96","34.18","33.38M","-1.50%"
"2022- 10- 13","34.73","33.75","34.92","33.67","51.42M","0.29%"
"2022- 10- 12","34.63","34.62","34.81","34.51","42.47M","0.12%"
"2022- 10- 11","34.59","34.76","35.01","34.47","46.59M","-1.59%"
"2022- 10- 10","35.15","35.42","35.44","35.02","30.77M","-1.40%"
"2022- 10- 07","35.65","36.07","36.12","35.59","35.96M","-2.09%"
"2022- 10- 06","36.41","36.51","36.72","36.38","29.09M","-0.60%"
"2022- 10- 05","36.63","36.51","36.76","36.25","30.04M","0.05%"
"2022- 10- 04","36.61","36.20","36.72","36.17","51.28M","3.27%"
"2022- 10- 03","35.45","35.12","35.54","34.96","41.49M","1.63%"
"2022- 09- 30","34.88","34.93","35.25","34.85","50.08M","-0.37%"
"2022- 09- 29","35.01","35.18","35.20","34.72","43.11M","-2.23%"
"2022- 09- 28","35.81","35.27","35.90","35.19","48.33M","0.87%"
"2022- 09- 27","35.50","35.78","36.03","35.34","35.82M","-0.11%"
"2022- 09- 26","35.54","35.76","35.96","35.47","53.01M","-1.22%"
"2022- 09- 23","35.98","36.21","36.26","35.80","49.81M","-2.47%"
"2022- 09- 22","36.89","37.05","37.15","36.81","41.99M","-0.49%"
"2022- 09- 21","37.07","37.48","37.72","37.02","55.95M","-1.67%"
"2022- 09- 20","37.70","37.73","37.87","37.56","34.80M","-0.55%"
"2022- 09- 19","37.91","37.48","37.94","37.46","32.67M","0.32%"
"2022- 09- 16","37.79","37.78","37.91","37.61","67.12M","-0.92%"
"2022- 09- 15","38.14","38.27","38.52","38.07","46.81M","-1.06%"
"2022- 09- 14","38.55","38.60","38.67","38.39","36.93M","0.50%"
"2022- 09- 13","38.36","38.81","38.97","38.29","43.89M","-3.08%"
"2022- 09- 12","39.58","39.37","39.64","39.27","38.69M","1.49%"
"2022- 09- 09","39.00","38.83","39.09","38.82","26.12M","1.48%"
"2022- 09- 08","38.43","38.24","38.47","38.12","55.41M","-0.54%"
"2022- 09- 07","38.64","38.12","38.65","38.08","36.67M","0.89%"
"2022- 09- 06","38.30","38.62","38.68","38.27","49.93M","-1.19%"
"2022- 09- 02","38.76","39.05","39.22","38.67","35.92M","-0.92%"
"2022- 09- 01","39.12","39.05","39.13","38.72","38.35M","-0.79%"
"2022- 08- 31","39.43","39.67","39.84","39.40","36.63M","0.36%"
"2022- 08- 30","39.29","39.89","39.90","39.14","34.51M","-1.18%"
"2022- 08- 29","39.76","39.83","40.07","39.75","22.66M","-0.62%"
"2022- 08- 26","40.01","40.92","40.96","39.97","41.08M","-1.48%"
"2022- 08- 25","40.61","40.18","40.62","40.10","44.39M","2.16%"
"2022- 08- 24","39.75","39.44","39.99","39.41","23.53M","-0.03%"
"2022- 08- 23","39.76","39.59","39.92","39.51","33.03M","0.53%"
"2022- 08- 22","39.55","39.58","39.69","39.51","25.01M","-0.88%"
"2022- 08- 19","39.90","40.08","40.12","39.78","36.04M","-1.36%"
"2022- 08- 18","40.45","40.53","40.56","40.26","30.61M","-0.57%"
"2022- 08- 17","40.68","40.65","40.88","40.56","34.21M","-0.42%"
"2022- 08- 16","40.85","40.76","40.96","40.72","20.91M","-0.02%"
"2022- 08- 15","40.86","40.69","40.94","40.65","29.70M","-0.46%"
"2022- 08- 12","41.05","40.62","41.06","40.61","24.88M","1.06%"
"2022- 08- 11","40.62","40.79","41.20","40.54","39.04M","0.40%"
"2022- 08- 10","40.46","40.23","40.50","40.08","27.03M","1.25%"
"2022- 08- 09","39.96","40.15","40.21","39.88","22.83M","-0.37%"
"2022- 08- 08","40.11","40.13","40.35","40.02","39.09M","0.12%"
"2022- 08- 05","40.06","39.77","40.12","39.74","28.49M","0.10%"
"2022- 08- 04","40.02","40.00","40.14","39.86","30.19M","0.70%"
"2022- 08- 03","39.74","39.49","39.82","39.33","33.89M","0.79%"
"2022- 08- 02","39.43","39.27","39.85","39.18","41.01M","-0.48%"
"2022- 08- 01","39.62","39.55","39.90","39.31","34.81M","-0.85%"
"2022- 07- 29","39.96","39.63","39.99","39.45","54.05M","-0.47%"
"2022- 07- 28","40.15","40.04","40.21","39.58","37.03M","0.43%"
"2022- 07- 27","39.98","39.57","40.08","39.41","36.91M","1.86%"
"2022- 07- 26","39.25","39.57","39.67","39.18","22.78M","-0.78%"
"2022- 07- 25","39.56","39.49","39.60","39.38","21.65M","0.36%"
"2022- 07- 22","39.42","39.73","39.81","39.24","25.61M","-1.00%"
"2022- 07- 21","39.82","39.50","39.84","39.43","36.19M","1.14%"
"2022- 07- 20","39.37","39.39","39.50","39.19","38.97M","-0.43%"
"2022- 07- 19","39.54","39.35","39.58","39.27","31.52M","1.65%"
"2022- 07- 18","38.90","39.24","39.44","38.84","37.88M","0.70%"
