"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 23","25.13","25.09","25.16","25.06","1.19M","0.12%"
"2023- 05- 22","25.10","25.15","25.20","25.09","1.47M","-0.16%"
"2023- 05- 19","25.14","25.13","25.23","25.11","2.05M","-0.12%"
"2023- 05- 18","25.17","25.20","25.20","25.11","977.14K","-0.67%"
"2023- 05- 17","25.34","25.33","25.36","25.26","3.36M","-0.12%"
"2023- 05- 16","25.37","25.42","25.45","25.36","668.04K","-0.39%"
"2023- 05- 15","25.47","25.38","25.49","25.34","1.26M","1.11%"
"2023- 05- 12","25.19","25.29","25.30","25.16","979.80K","-0.43%"
"2023- 05- 11","25.30","25.28","25.33","25.24","2.48M","-0.43%"
"2023- 05- 10","25.41","25.34","25.42","25.30","3.61M","0.67%"
"2023- 05- 09","25.24","25.19","25.26","25.18","858.48K","-0.08%"
"2023- 05- 08","25.26","25.30","25.39","25.25","1.44M","-0.36%"
"2023- 05- 05","25.35","25.21","25.35","25.18","1.18M","0.56%"
"2023- 05- 04","25.21","25.21","25.26","25.17","1.19M","0.08%"
"2023- 05- 03","25.19","25.14","25.26","25.11","1.03M","0.56%"
"2023- 05- 02","25.05","25.01","25.08","24.99","1.77M","0.89%"
"2023- 05- 01","24.83","24.98","25.00","24.82","935.50K","-1.23%"
"2023- 04- 28","25.14","25.08","25.16","25.05","1.53M","0.48%"
"2023- 04- 27","25.02","24.98","25.04","24.97","609.45K","0.24%"
"2023- 04- 26","24.96","25.05","25.05","24.96","2.93M","0.16%"
"2023- 04- 25","24.92","24.95","24.98","24.89","632.74K","-0.20%"
"2023- 04- 24","24.97","24.89","24.98","24.88","712.02K","-0.04%"
"2023- 04- 21","24.98","25.04","25.04","24.92","586.06K","-0.08%"
"2023- 04- 20","25.00","24.90","25.02","24.86","794.50K","0.52%"
"2023- 04- 19","24.87","24.94","24.97","24.87","950.84K","-0.60%"
"2023- 04- 18","25.02","25.02","25.07","24.99","1.88M","0.04%"
"2023- 04- 17","25.01","25.06","25.09","24.97","1.15M","-0.52%"
"2023- 04- 14","25.14","25.18","25.28","25.07","4.58M","-0.63%"
"2023- 04- 13","25.30","25.30","25.36","25.30","931.72K","0.60%"
