"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 06","74.64","74.45","74.66","74.32","22.99M","0.16%"
"2023- 06- 05","74.52","74.52","74.55","74.34","23.88M","-0.08%"
"2023- 06- 02","74.58","74.46","74.76","74.30","49.95M","0.51%"
"2023- 06- 01","74.20","73.80","74.31","73.78","42.40M","0.12%"
"2023- 05- 31","74.11","74.14","74.25","73.95","43.19M","-0.31%"
"2023- 05- 30","74.34","74.35","74.35","74.09","27.38M","0.43%"
"2023- 05- 26","74.02","73.65","74.11","73.62","23.55M","0.61%"
"2023- 05- 25","73.57","73.89","73.90","73.55","21.31M","-0.07%"
"2023- 05- 24","73.62","73.93","74.02","73.47","38.06M","-0.70%"
"2023- 05- 23","74.14","74.39","74.48","74.07","32.41M","-0.52%"
"2023- 05- 22","74.53","74.22","74.67","74.22","34.81M","0.44%"
"2023- 05- 19","74.20","74.19","74.36","74.07","36.04M","0.11%"
"2023- 05- 18","74.12","73.86","74.18","73.81","28.59M","0.05%"
"2023- 05- 17","74.08","73.96","74.34","73.93","38.49M","0.27%"
"2023- 05- 16","73.88","74.26","74.28","73.81","40.91M","-0.70%"
"2023- 05- 15","74.40","74.43","74.49","74.30","19.75M","-0.03%"
"2023- 05- 12","74.42","74.68","74.79","74.28","27.55M","-0.36%"
"2023- 05- 11","74.69","74.74","74.77","74.61","25.26M","-0.16%"
"2023- 05- 10","74.81","74.77","74.92","74.53","35.32M","0.61%"
"2023- 05- 09","74.36","74.35","74.48","74.27","21.69M","-0.25%"
"2023- 05- 08","74.55","74.70","74.70","74.38","18.34M","-0.28%"
"2023- 05- 05","74.76","74.58","74.86","74.48","31.59M","0.54%"
"2023- 05- 04","74.36","74.38","74.41","74.09","45.18M","-0.29%"
"2023- 05- 03","74.58","74.70","75.04","74.56","33.16M","-0.05%"
"2023- 05- 02","74.62","74.69","74.74","74.37","38.77M","-0.09%"
"2023- 05- 01","74.69","74.93","75.00","74.53","37.64M","-0.89%"
"2023- 04- 28","75.36","75.06","75.48","75.06","33.82M","0.43%"
"2023- 04- 27","75.04","74.93","75.25","74.80","39.66M","0.33%"
"2023- 04- 26","74.79","75.06","75.11","74.68","33.65M","-0.39%"
