"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 23","37.42","37.30","37.49","37.23","3.73M","0.08%"
"2023- 05- 22","37.39","37.37","37.51","37.32","2.75M","-0.16%"
"2023- 05- 19","37.45","37.19","37.61","37.10","3.71M","0.97%"
"2023- 05- 18","37.09","37.15","37.19","37.00","4.30M","-1.33%"
"2023- 05- 17","37.59","37.61","37.63","37.43","4.93M","-0.34%"
"2023- 05- 16","37.72","38.07","38.12","37.63","4.52M","-1.23%"
"2023- 05- 15","38.19","38.21","38.33","38.17","2.24M","0.21%"
"2023- 05- 12","38.11","38.24","38.33","38.07","4.19M","-0.21%"
"2023- 05- 11","38.19","38.45","38.52","38.13","4.43M","-0.83%"
"2023- 05- 10","38.51","38.56","38.68","38.32","3.55M","-0.10%"
"2023- 05- 09","38.55","38.38","38.63","38.37","5.76M","0.68%"
"2023- 05- 08","38.29","38.32","38.47","38.25","2.82M","0.13%"
"2023- 05- 05","38.24","38.07","38.27","37.90","4.26M","-1.60%"
"2023- 05- 04","38.86","38.53","39.04","38.52","13.31M","0.75%"
"2023- 05- 03","38.57","38.28","38.60","38.14","6.67M","0.84%"
"2023- 05- 02","38.25","37.67","38.28","37.64","5.66M","1.95%"
"2023- 05- 01","37.52","37.95","37.99","37.52","6.08M","-0.50%"
"2023- 04- 28","37.71","37.69","37.81","37.57","2.99M","0.05%"
"2023- 04- 27","37.69","37.53","37.74","37.41","2.90M","0.03%"
"2023- 04- 26","37.68","38.07","38.07","37.60","3.32M","-0.55%"
"2023- 04- 25","37.89","37.71","37.99","37.60","3.74M","0.48%"
"2023- 04- 24","37.71","37.56","37.74","37.42","2.86M","0.32%"
"2023- 04- 21","37.59","37.73","37.88","37.38","4.11M","-1.03%"
"2023- 04- 20","37.98","37.97","38.15","37.90","3.00M","0.48%"
"2023- 04- 19","37.80","37.61","37.86","37.59","3.24M","-0.50%"
"2023- 04- 18","37.99","37.79","38.14","37.75","2.72M","0.34%"
"2023- 04- 17","37.86","37.92","37.93","37.56","4.73M","-0.39%"
"2023- 04- 14","38.01","38.37","38.45","37.78","9.00M","-1.78%"
"2023- 04- 13","38.70","38.71","38.84","38.56","7.47M","1.34%"
"2023- 04- 12","38.19","38.25","38.28","37.94","3.65M","0.53%"
"2023- 04- 11","37.99","37.91","38.04","37.88","3.36M","0.58%"
"2023- 04- 10","37.77","37.77","37.81","37.58","3.09M","-0.74%"
"2023- 04- 06","38.05","38.14","38.20","37.93","5.10M","-0.70%"
"2023- 04- 05","38.32","38.43","38.52","38.10","10.35M","-0.08%"
"2023- 04- 04","38.35","37.69","38.40","37.67","9.92M","1.86%"
"2023- 04- 03","37.65","37.51","37.75","37.40","6.36M","0.75%"
"2023- 03- 31","37.37","37.56","37.62","37.29","4.54M","-0.53%"
"2023- 03- 30","37.57","37.27","37.62","37.24","5.24M","0.89%"
"2023- 03- 29","37.24","37.23","37.39","37.18","4.41M","-0.51%"
"2023- 03- 28","37.43","37.19","37.46","37.15","3.85M","0.84%"
"2023- 03- 27","37.12","36.96","37.15","36.85","3.85M","-0.91%"
"2023- 03- 24","37.46","37.86","37.94","37.46","5.89M","-1.16%"
"2023- 03- 23","37.90","37.51","37.99","37.46","4.99M","1.28%"
"2023- 03- 22","37.42","36.80","37.52","36.78","10.37M","1.68%"
"2023- 03- 21","36.80","37.27","37.28","36.70","7.12M","-1.87%"
"2023- 03- 20","37.50","37.58","37.64","37.27","6.97M","0.03%"
"2023- 03- 17","37.49","36.92","37.69","36.88","10.01M","2.91%"
"2023- 03- 16","36.43","36.61","36.64","36.28","4.49M","0.25%"
"2023- 03- 15","36.34","36.47","36.74","36.20","7.12M","0.75%"
"2023- 03- 14","36.07","36.18","36.23","35.94","5.61M","-0.61%"
"2023- 03- 13","36.29","36.03","36.31","35.96","7.06M","2.34%"
"2023- 03- 10","35.46","35.08","35.47","35.06","4.74M","2.19%"
"2023- 03- 09","34.70","34.63","34.80","34.61","3.74M","0.90%"
"2023- 03- 08","34.39","34.38","34.59","34.38","2.42M","0.03%"
"2023- 03- 07","34.38","34.76","34.77","34.37","5.80M","-1.83%"
"2023- 03- 06","35.02","35.13","35.16","34.99","2.40M","-0.48%"
"2023- 03- 03","35.19","34.98","35.20","34.88","3.33M","1.03%"
"2023- 03- 02","34.83","34.78","34.87","34.74","5.50M","-0.03%"
"2023- 03- 01","34.84","34.86","34.98","34.76","6.70M","0.64%"
"2023- 02- 28","34.62","34.42","34.72","34.39","3.88M","0.49%"
"2023- 02- 27","34.45","34.44","34.52","34.38","3.30M","0.35%"
"2023- 02- 24","34.33","34.34","34.44","34.30","3.82M","-0.72%"
"2023- 02- 23","34.58","34.64","34.70","34.48","2.37M","-0.09%"
"2023- 02- 22","34.61","34.85","34.86","34.58","2.44M","-0.52%"
"2023- 02- 21","34.79","34.91","34.97","34.74","3.07M","-0.40%"
"2023- 02- 17","34.93","34.65","34.97","34.58","3.33M","0.26%"
"2023- 02- 16","34.84","34.73","35.00","34.67","8.04M","0.00%"
"2023- 02- 15","34.84","34.80","34.87","34.71","11.80M","-1.02%"
"2023- 02- 14","35.20","35.07","35.38","34.96","5.41M","0.06%"
"2023- 02- 13","35.18","35.21","35.27","35.10","3.74M","-0.48%"
"2023- 02- 10","35.35","35.42","35.43","35.22","3.75M","0.17%"
"2023- 02- 09","35.29","35.80","35.80","35.26","4.42M","-0.82%"
"2023- 02- 08","35.58","35.69","35.69","35.45","4.55M","0.28%"
"2023- 02- 07","35.48","35.43","35.74","35.37","4.74M","0.08%"
"2023- 02- 06","35.45","35.51","35.58","35.33","6.65M","0.23%"
"2023- 02- 03","35.37","35.67","35.77","35.30","15.54M","-2.45%"
"2023- 02- 02","36.26","36.93","36.93","36.25","6.71M","-2.19%"
"2023- 02- 01","37.07","36.66","37.07","36.43","9.91M","1.31%"
"2023- 01- 31","36.59","36.47","36.63","36.41","9.14M","0.41%"
"2023- 01- 30","36.44","36.55","36.59","36.43","3.55M","-0.30%"
"2023- 01- 27","36.55","36.57","36.65","36.35","5.25M","-0.11%"
"2023- 01- 26","36.59","36.74","36.76","36.39","4.21M","-0.95%"
"2023- 01- 25","36.94","36.57","36.96","36.56","3.61M","0.52%"
"2023- 01- 24","36.75","36.62","36.77","36.37","2.69M","0.36%"
"2023- 01- 23","36.62","36.38","36.64","36.26","4.38M","0.19%"
"2023- 01- 20","36.55","36.50","36.64","36.43","3.43M","-0.38%"
"2023- 01- 19","36.69","36.38","36.71","36.32","7.95M","1.61%"
"2023- 01- 18","36.11","36.48","36.53","36.07","4.00M","-0.28%"
"2023- 01- 17","36.21","36.34","36.36","36.11","4.34M","-0.66%"
"2023- 01- 13","36.45","36.09","36.47","36.08","3.62M","1.19%"
