"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 23","177.42","177.91","180.53","177.38","32.62M","-0.47%"
"2023- 05- 22","178.26","176.62","179.02","176.04","27.77M","1.22%"
"2023- 05- 19","176.11","178.51","178.89","175.25","34.32M","-0.61%"
"2023- 05- 18","177.19","175.56","177.57","175.02","29.57M","0.61%"
"2023- 05- 17","176.12","173.43","176.50","172.16","37.76M","2.23%"
"2023- 05- 16","172.28","173.61","174.81","172.23","24.03M","-1.46%"
"2023- 05- 15","174.83","173.31","175.71","172.82","23.95M","1.22%"
"2023- 05- 12","172.72","173.65","174.21","171.65","20.41M","-0.20%"
"2023- 05- 11","173.07","173.22","173.78","172.11","25.63M","-0.77%"
"2023- 05- 10","174.41","175.96","176.02","172.72","27.14M","0.51%"
"2023- 05- 09","173.53","172.98","174.27","172.16","21.29M","-0.30%"
"2023- 05- 08","174.05","175.26","175.55","173.13","21.86M","-0.23%"
"2023- 05- 05","174.45","173.29","175.10","173.10","35.46M","2.38%"
"2023- 05- 04","170.40","171.32","171.56","168.78","42.04M","-1.12%"
"2023- 05- 03","172.33","172.22","175.70","172.19","38.92M","0.37%"
"2023- 05- 02","171.70","174.40","174.45","169.92","40.43M","-2.05%"
"2023- 05- 01","175.30","175.00","177.34","174.76","26.60M","0.06%"
"2023- 04- 28","175.20","173.29","175.82","173.18","31.91M","0.88%"
"2023- 04- 27","173.68","172.03","173.85","170.94","32.83M","1.34%"
"2023- 04- 26","171.39","172.23","173.40","171.00","30.08M","-0.96%"
"2023- 04- 25","173.06","175.63","175.94","173.01","28.29M","-2.47%"
"2023- 04- 24","177.44","177.38","178.45","176.49","17.37M","-0.07%"
"2023- 04- 21","177.56","177.81","177.96","175.86","25.97M","0.13%"
"2023- 04- 20","177.33","177.15","178.43","176.52","19.94M","-0.52%"
"2023- 04- 19","178.25","177.08","178.79","176.58","18.90M","0.13%"
"2023- 04- 18","178.02","179.59","179.63","176.94","22.87M","-0.43%"
"2023- 04- 17","178.78","176.97","178.86","176.75","22.18M","1.29%"
"2023- 04- 14","176.51","178.33","179.22","175.34","29.60M","-0.93%"
"2023- 04- 13","178.17","176.54","178.68","175.93","23.21M","1.33%"
"2023- 04- 12","175.84","178.82","178.98","175.58","26.89M","-0.73%"
"2023- 04- 11","177.14","176.57","177.97","176.12","21.82M","0.79%"
"2023- 04- 10","175.75","173.07","175.88","173.03","22.03M","1.07%"
"2023- 04- 06","173.89","173.72","174.46","172.68","26.37M","0.15%"
"2023- 04- 05","173.63","174.25","174.83","172.53","28.25M","-0.98%"
"2023- 04- 04","175.35","178.92","179.10","174.32","33.22M","-1.75%"
"2023- 04- 03","178.48","178.95","179.78","176.49","27.02M","0.04%"
"2023- 03- 31","178.40","176.40","178.64","176.37","39.60M","1.84%"
"2023- 03- 30","175.18","176.88","177.30","174.45","25.91M","-0.14%"
"2023- 03- 29","175.42","175.34","175.55","173.57","25.02M","1.14%"
"2023- 03- 28","173.45","173.10","174.51","172.69","28.27M","-0.14%"
"2023- 03- 27","173.70","173.84","174.73","172.36","33.27M","1.11%"
"2023- 03- 24","171.79","168.75","172.10","167.46","47.54M","0.90%"
"2023- 03- 23","170.25","172.28","174.39","168.71","45.92M","-0.81%"
"2023- 03- 22","171.64","176.52","177.35","171.53","55.28M","-2.84%"
"2023- 03- 21","176.65","176.55","178.18","175.96","33.37M","1.84%"
"2023- 03- 20","173.45","173.05","175.37","172.52","45.63M","1.30%"
"2023- 03- 17","171.23","174.04","174.76","170.86","70.24M","-2.70%"
"2023- 03- 16","175.98","171.47","177.38","170.49","51.40M","1.37%"
"2023- 03- 15","173.61","171.93","173.91","170.38","53.41M","-1.65%"
"2023- 03- 14","176.52","178.60","179.26","174.61","47.62M","1.85%"
"2023- 03- 13","173.31","172.52","176.40","171.07","73.39M","-1.63%"
"2023- 03- 10","176.18","180.39","180.39","174.26","69.27M","-2.88%"
"2023- 03- 09","181.41","186.73","187.27","181.28","31.76M","-2.78%"
"2023- 03- 08","186.60","186.79","187.61","185.12","22.51M","0.05%"
"2023- 03- 07","186.51","188.65","189.07","186.22","25.87M","-1.16%"
"2023- 03- 06","188.70","191.56","191.74","187.90","23.27M","-1.46%"
"2023- 03- 03","191.50","189.57","191.90","188.43","22.77M","1.39%"
"2023- 03- 02","188.87","186.86","189.30","186.12","17.99M","0.24%"
"2023- 03- 01","188.42","188.19","189.49","187.19","22.32M","0.13%"
"2023- 02- 28","188.18","188.12","190.02","188.07","19.54M","0.01%"
"2023- 02- 27","188.17","189.13","190.20","187.60","17.56M","0.35%"
"2023- 02- 24","187.51","186.56","187.75","185.80","24.28M","-0.94%"
"2023- 02- 23","189.28","189.35","190.30","186.70","21.13M","0.71%"
"2023- 02- 22","187.94","187.83","189.15","186.75","24.43M","0.27%"
"2023- 02- 21","187.43","190.75","191.34","187.24","25.85M","-2.95%"
"2023- 02- 17","193.13","191.88","193.37","190.97","23.89M","0.28%"
"2023- 02- 16","192.60","191.80","194.87","191.25","21.14M","-0.96%"
"2023- 02- 15","194.46","190.98","194.55","190.53","18.64M","1.01%"
"2023- 02- 14","192.51","191.28","193.95","190.08","21.51M","-0.05%"
"2023- 02- 13","192.60","190.51","192.85","189.31","15.61M","1.20%"
"2023- 02- 10","190.31","189.28","190.63","188.53","15.25M","0.20%"
"2023- 02- 09","189.93","194.23","195.12","189.43","19.84M","-1.45%"
"2023- 02- 08","192.72","194.36","195.37","192.20","17.67M","-1.46%"
"2023- 02- 07","195.58","193.41","196.10","191.65","26.71M","0.74%"
"2023- 02- 06","194.14","195.65","196.38","193.37","17.95M","-1.45%"
"2023- 02- 03","196.99","196.11","199.13","195.70","24.98M","-0.67%"
"2023- 02- 02","198.32","196.01","199.26","194.35","30.74M","1.97%"
"2023- 02- 01","194.49","191.19","196.19","190.13","25.94M","1.57%"
"2023- 01- 31","191.48","187.42","191.58","187.38","20.92M","2.43%"
"2023- 01- 30","186.94","187.84","189.61","186.83","18.40M","-1.39%"
"2023- 01- 27","189.58","187.98","190.30","187.79","20.02M","0.54%"
"2023- 01- 26","188.56","188.98","189.85","186.29","18.27M","0.59%"
"2023- 01- 25","187.45","185.41","187.51","183.87","18.17M","0.28%"
"2023- 01- 24","186.93","186.59","187.83","185.88","17.51M","-0.21%"
"2023- 01- 23","187.33","185.43","188.12","184.58","20.26M","1.24%"
"2023- 01- 20","185.04","182.71","185.15","181.27","36.07M","1.65%"
