"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 04- 06","112.63","109.09","113.34","109.02","48.71M","7.66%"
"2020- 04- 03","104.62","106.59","108.00","102.60","42.19M","-2.83%"
"2020- 04- 02","107.67","105.72","110.39","104.56","43.77M","0.95%"
"2020- 04- 01","106.66","108.70","110.38","105.53","54.22M","-6.81%"
"2020- 03- 31","114.46","114.60","116.17","111.95","52.95M","-0.50%"
"2020- 03- 30","115.04","113.24","115.26","110.80","41.55M","2.20%"
"2020- 03- 28","112.56","112.56","112.56","112.56","","0.00%"
"2020- 03- 27","112.56","112.25","116.02","110.87","39.93M","-3.64%"
"2020- 03- 26","116.81","111.54","117.60","111.20","51.66M","6.22%"
"2020- 03- 25","109.97","109.48","114.00","106.02","56.04M","0.85%"
"2020- 03- 24","109.04","105.37","109.33","99.93","73.39M","9.15%"
"2020- 03- 23","99.90","101.90","102.18","95.91","63.53M","-1.48%"
"2020- 03- 21","101.40","101.40","101.40","101.40","","0.00%"
"2020- 03- 20","101.40","106.12","108.76","100.45","76.20M","-2.38%"
"2020- 03- 19","103.87","99.66","106.80","95.69","62.65M","3.90%"
"2020- 03- 18","99.97","103.05","106.78","96.25","62.30M","-7.75%"
"2020- 03- 17","108.37","104.96","110.50","100.61","59.34M","4.58%"
"2020- 03- 16","103.62","108.62","111.30","101.43","59.10M","-13.27%"
"2020- 03- 14","119.47","119.47","119.47","119.47","","0.00%"
"2020- 03- 13","119.47","118.31","119.96","109.55","57.92M","6.70%"
"2020- 03- 12","111.97","116.77","119.90","111.60","70.11M","-11.05%"
"2020- 03- 11","125.88","130.92","132.27","124.17","51.52M","-6.36%"
"2020- 03- 10","134.43","134.71","134.80","128.02","54.43M","3.12%"
"2020- 03- 09","130.36","134.13","136.17","130.26","56.32M","-9.72%"
"2020- 03- 06","144.40","142.71","145.98","140.99","39.69M","-1.98%"
"2020- 03- 05","147.32","148.84","152.48","145.49","32.73M","-3.18%"
"2020- 03- 04","152.16","150.28","152.45","148.52","36.20M","2.85%"
"2020- 03- 03","147.95","151.09","154.20","146.31","42.94M","-2.04%"
"2020- 03- 02","151.03","147.97","151.23","145.39","33.57M","3.21%"
"2020- 02- 28","146.33","144.85","149.13","143.91","72.76M","-1.83%"
"2020- 02- 27","149.06","151.35","155.01","148.81","50.53M","-3.52%"
"2020- 02- 26","154.50","157.05","158.49","154.22","39.59M","-1.16%"
"2020- 02- 25","156.31","162.52","162.76","155.96","45.05M","-3.55%"
"2020- 02- 24","162.07","161.86","167.06","161.09","28.24M","-3.01%"
"2020- 02- 21","167.10","168.15","168.63","166.33","18.73M","-1.01%"
"2020- 02- 20","168.81","167.90","169.10","166.59","20.38M","0.24%"
"2020- 02- 19","168.40","168.17","169.14","167.53","11.08M","0.51%"
