"날짜","종가","시가","고가","저가","거래량","변동 %"
"2005- 12- 30","65.93","66.00","66.25","65.71","1.92M","-0.71%"
"2005- 12- 29","66.40","66.80","66.96","66.40","580.40K","-0.42%"
"2005- 12- 28","66.68","66.60","66.84","66.26","1.34M","0.29%"
"2005- 12- 27","66.49","67.40","67.50","66.26","982.40K","-1.01%"
"2005- 12- 23","67.17","67.35","67.35","67.10","574.80K","0.12%"
"2005- 12- 22","67.09","66.80","67.09","66.51","1.86M","0.30%"
"2005- 12- 21","66.89","66.65","67.17","66.57","972.10K","0.74%"
"2005- 12- 20","66.40","66.40","66.90","66.00","1.11M","-0.08%"
"2005- 12- 19","66.45","67.30","67.30","66.21","1.02M","-1.16%"
"2005- 12- 16","67.23","67.84","67.85","67.23","830.20K","-0.36%"
"2005- 12- 15","67.47","68.07","68.15","67.10","1.87M","-1.06%"
"2005- 12- 14","68.19","68.30","68.56","67.85","719.60K","-0.09%"
"2005- 12- 13","68.25","68.05","68.34","67.66","1.50M","0.25%"
"2005- 12- 12","68.08","68.25","68.27","67.65","965.50K","0.22%"
"2005- 12- 09","67.93","67.75","68.07","67.09","1.94M","0.46%"
"2005- 12- 08","67.62","67.50","68.14","67.08","1.32M","0.19%"
"2005- 12- 07","67.49","67.85","67.92","67.13","962.40K","-0.46%"
"2005- 12- 06","67.80","68.05","68.37","67.72","581.20K","0.12%"
"2005- 12- 05","67.72","68.02","68.04","67.28","1.09M","-0.70%"
"2005- 12- 02","68.20","68.10","68.20","67.54","1.24M","0.07%"
"2005- 12- 01","68.15","67.15","68.37","67.15","2.18M","1.79%"
"2005- 11- 30","66.95","66.70","67.30","66.63","486.20K","0.37%"
"2005- 11- 29","66.70","66.75","67.13","66.43","606.40K","0.23%"
"2005- 11- 28","66.55","67.50","67.50","66.36","550.50K","-1.33%"
"2005- 11- 25","67.45","67.40","67.55","67.22","130.20K","-0.10%"
"2005- 11- 23","67.52","67.15","67.74","67.15","824.20K","0.33%"
"2005- 11- 22","67.30","66.95","67.48","66.74","959.40K","0.33%"
"2005- 11- 21","67.08","66.55","67.15","66.10","518.30K","1.02%"
"2005- 11- 18","66.40","66.30","66.54","65.94","674.00K","0.64%"
"2005- 11- 17","65.98","65.05","66.00","65.05","518.20K","1.62%"
"2005- 11- 16","64.93","65.10","65.18","64.36","514.40K","-0.15%"
"2005- 11- 15","65.03","65.95","66.15","64.87","1.51M","-1.44%"
"2005- 11- 14","65.98","66.25","66.27","65.56","412.50K","-0.33%"
"2005- 11- 11","66.20","66.05","66.34","65.76","392.30K","0.55%"
"2005- 11- 10","65.84","65.50","66.05","64.60","2.11M","0.69%"
"2005- 11- 09","65.39","65.10","65.92","64.95","985.60K","0.23%"
"2005- 11- 08","65.24","65.30","65.31","64.86","579.70K","-0.37%"
"2005- 11- 07","65.48","65.50","65.85","65.12","514.80K","0.32%"
"2005- 11- 04","65.27","65.45","65.51","64.78","1.73M","-0.15%"
"2005- 11- 03","65.37","66.32","66.32","65.10","1.68M","0.08%"
"2005- 11- 02","65.32","64.05","65.32","63.90","761.00K","1.78%"
"2005- 11- 01","64.18","64.10","64.37","63.70","642.20K","0.67%"
"2005- 10- 31","63.75","63.80","64.59","63.75","1.88M","0.95%"
"2005- 10- 28","63.15","62.50","63.37","62.11","1.34M","1.54%"
"2005- 10- 27","62.19","63.15","63.18","61.96","1.42M","-1.63%"
"2005- 10- 26","63.22","63.55","64.27","63.11","568.80K","-0.89%"
"2005- 10- 25","63.79","64.20","64.23","63.08","931.00K","-0.72%"
"2005- 10- 24","64.25","62.91","64.25","62.91","925.20K","2.07%"
"2005- 10- 21","62.95","62.40","63.27","62.40","1.03M","1.04%"
"2005- 10- 20","62.30","63.40","63.42","61.73","1.24M","-1.61%"
"2005- 10- 19","63.32","61.85","63.34","61.35","1.27M","2.03%"
"2005- 10- 18","62.06","62.76","63.05","61.95","869.40K","-1.24%"
"2005- 10- 17","62.84","62.75","63.11","62.03","2.66M","-0.02%"
"2005- 10- 14","62.85","62.47","62.90","61.59","1.58M","1.52%"
"2005- 10- 13","61.91","61.69","62.08","61.06","4.42M","0.55%"
"2005- 10- 12","61.57","62.40","62.66","61.13","1.75M","-1.31%"
"2005- 10- 11","62.39","63.40","63.66","62.39","1.99M","-1.44%"
"2005- 10- 10","63.30","64.00","64.00","63.12","1.00M","-0.81%"
"2005- 10- 07","63.82","63.75","64.06","63.42","1.23M","0.63%"
"2005- 10- 06","63.42","63.70","64.21","62.65","1.30M","-0.50%"
"2005- 10- 05","63.74","65.30","65.30","63.65","2.06M","-2.39%"
"2005- 10- 04","65.30","66.54","66.64","65.30","2.25M","-1.52%"
"2005- 10- 03","66.31","66.15","66.63","66.05","1.59M","0.58%"
"2005- 09- 30","65.93","65.85","66.08","65.54","1.12M","0.23%"
"2005- 09- 29","65.78","64.95","65.84","64.54","756.60K","1.34%"
"2005- 09- 28","64.91","65.40","65.40","64.47","622.60K","-0.44%"
"2005- 09- 27","65.20","65.40","65.62","64.75","551.80K","-0.38%"
"2005- 09- 26","65.45","65.35","65.72","65.08","500.50K","0.51%"
"2005- 09- 23","65.12","64.50","65.17","64.14","589.30K","0.34%"
"2005- 09- 22","64.90","64.66","65.11","63.99","1.29M","0.53%"
"2005- 09- 21","64.56","65.60","65.60","64.56","919.40K","-1.59%"
"2005- 09- 20","65.60","66.72","66.84","65.54","1.25M","-1.38%"
"2005- 09- 19","66.52","68.81","68.81","64.93","272.20K","-0.54%"
"2005- 09- 16","66.88","66.70","67.03","66.36","898.60K","0.92%"
"2005- 09- 15","66.27","66.50","66.56","66.07","411.30K","-0.12%"
"2005- 09- 14","66.35","67.15","67.25","66.20","419.80K","-0.98%"
"2005- 09- 13","67.01","67.50","67.50","66.84","807.60K","-0.86%"
"2005- 09- 12","67.59","67.30","67.93","67.07","799.50K","0.51%"
"2005- 09- 09","67.25","67.05","67.39","66.96","471.30K","0.60%"
"2005- 09- 08","66.85","67.20","67.25","66.59","702.70K","-0.76%"
"2005- 09- 07","67.36","67.15","67.40","66.88","1.20M","0.31%"
"2005- 09- 06","67.15","66.40","67.25","66.35","580.40K","1.44%"
"2005- 09- 02","66.20","66.70","66.79","66.01","552.30K","-0.57%"
"2005- 09- 01","66.58","66.50","66.94","66.24","760.40K","0.00%"
"2005- 08- 31","66.58","65.25","66.58","64.98","1.02M","2.16%"
"2005- 08- 30","65.17","65.20","65.35","64.80","714.00K","-0.43%"
"2005- 08- 29","65.45","64.60","65.51","64.30","553.30K","1.16%"
"2005- 08- 26","64.70","65.75","65.75","64.67","515.70K","-1.64%"
"2005- 08- 25","65.78","65.55","65.87","65.39","483.40K","0.70%"
"2005- 08- 24","65.32","65.46","66.10","65.00","546.90K","-0.44%"
"2005- 08- 23","65.61","65.78","65.80","64.98","628.00K","-0.09%"
"2005- 08- 22","65.67","65.30","65.67","65.05","1.27M","0.80%"
"2005- 08- 19","65.15","65.05","65.27","64.86","576.90K","0.29%"
"2005- 08- 18","64.96","64.88","65.30","64.71","752.10K","-0.34%"
"2005- 08- 17","65.18","65.33","65.75","65.05","1.01M","-0.11%"
"2005- 08- 16","65.25","66.15","66.15","65.17","484.90K","-1.58%"
"2005- 08- 15","66.30","65.70","66.58","65.39","583.30K","0.81%"
"2005- 08- 12","65.77","66.10","66.17","65.26","915.90K","-1.01%"
"2005- 08- 11","66.44","65.83","66.51","65.68","1.18M","0.83%"
