"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 06","139.67","135.19","140.37","135.19","2.14M","3.02%"
"2023- 06- 05","135.58","137.50","137.50","134.89","1.54M","-1.61%"
"2023- 06- 02","137.80","134.22","138.01","134.15","2.49M","4.09%"
"2023- 06- 01","132.39","131.35","133.08","130.46","1.55M","0.96%"
"2023- 05- 31","131.13","132.02","133.17","130.10","2.33M","-1.28%"
"2023- 05- 30","132.83","133.69","134.10","132.17","1.38M","-0.23%"
"2023- 05- 26","133.13","131.91","133.26","131.50","534.40K","0.97%"
"2023- 05- 25","131.85","132.62","132.89","130.54","1.13M","-0.85%"
"2023- 05- 24","132.98","134.19","134.44","132.60","727.99K","-1.34%"
"2023- 05- 23","134.78","134.67","137.11","134.45","1.78M","0.03%"
"2023- 05- 22","134.74","133.64","135.34","132.87","863.20K","1.28%"
"2023- 05- 19","133.04","135.67","135.67","132.35","1.41M","-0.81%"
"2023- 05- 18","134.13","133.19","134.48","132.44","1.91M","0.46%"
"2023- 05- 17","133.52","130.87","133.84","130.19","2.77M","2.82%"
"2023- 05- 16","129.86","131.01","131.32","129.81","669.59K","-1.58%"
"2023- 05- 15","131.95","130.91","132.66","130.64","1.27M","1.17%"
"2023- 05- 12","130.43","131.23","131.42","129.48","871.97K","-0.18%"
"2023- 05- 11","130.66","130.94","131.03","129.80","947.39K","-0.64%"
"2023- 05- 10","131.50","133.01","133.03","130.23","1.31M","0.25%"
"2023- 05- 09","131.17","131.03","131.82","129.92","1.21M","-0.36%"
"2023- 05- 08","131.64","132.72","132.95","131.01","1.67M","-0.36%"
"2023- 05- 05","132.11","131.30","132.56","131.09","2.30M","2.47%"
"2023- 05- 04","128.93","129.23","129.64","127.21","2.79M","-1.14%"
"2023- 05- 03","130.42","130.61","133.12","130.14","2.36M","0.15%"
"2023- 05- 02","130.22","132.56","132.56","128.72","1.95M","-2.31%"
"2023- 05- 01","133.30","133.49","135.10","132.91","1.88M","-0.19%"
"2023- 04- 28","133.56","132.22","134.28","132.13","2.41M","0.86%"
"2023- 04- 27","132.42","131.07","133.83","130.34","1.97M","1.53%"
"2023- 04- 26","130.43","131.19","132.06","129.99","2.15M","-0.96%"
"2023- 04- 25","131.70","133.82","133.82","131.61","1.82M","-2.42%"
"2023- 04- 24","134.96","135.21","135.93","134.43","2.07M","-0.16%"
"2023- 04- 21","135.17","135.60","135.60","134.04","1.37M","-0.13%"
"2023- 04- 20","135.34","135.52","136.20","134.83","1.43M","-0.71%"
"2023- 04- 19","136.31","135.01","136.76","134.69","1.74M","0.46%"
"2023- 04- 18","135.68","137.05","137.05","134.79","1.97M","-0.67%"
"2023- 04- 17","136.59","135.12","136.69","134.79","2.00M","1.22%"
"2023- 04- 14","134.94","136.67","137.26","134.03","1.34M","-1.05%"
"2023- 04- 13","136.37","135.26","136.77","134.69","1.18M","1.15%"
"2023- 04- 12","134.82","137.20","137.32","134.60","1.31M","-0.71%"
"2023- 04- 11","135.79","135.45","136.57","135.14","1.16M","0.70%"
"2023- 04- 10","134.85","133.29","135.08","133.17","1.36M","0.88%"
"2023- 04- 06","133.68","133.39","134.18","132.85","1.48M","0.22%"
"2023- 04- 05","133.38","133.48","134.03","132.60","960.19K","-0.62%"
"2023- 04- 04","134.21","137.08","137.34","133.33","1.87M","-1.93%"
"2023- 04- 03","136.85","137.42","138.12","135.62","1.85M","-0.12%"
"2023- 03- 31","137.02","135.60","137.16","135.60","2.71M","1.79%"
"2023- 03- 30","134.61","136.28","136.49","134.12","1.57M","-0.30%"
"2023- 03- 29","135.01","135.09","135.19","133.95","1.59M","0.99%"
"2023- 03- 28","133.69","133.13","134.39","132.80","1.05M","0.00%"
"2023- 03- 27","133.69","134.08","134.53","132.91","1.70M","1.07%"
"2023- 03- 24","132.27","129.32","132.61","128.65","1.68M","1.14%"
"2023- 03- 23","130.78","132.71","134.11","129.65","1.83M","-1.34%"
"2023- 03- 22","132.55","136.70","137.00","132.50","1.98M","-3.06%"
"2023- 03- 21","136.73","136.52","137.82","136.17","1.28M","2.06%"
"2023- 03- 20","133.97","133.81","135.96","133.64","1.62M","1.00%"
"2023- 03- 17","132.64","135.19","135.51","132.07","2.42M","-3.01%"
"2023- 03- 16","136.75","133.68","138.06","132.22","2.85M","1.30%"
"2023- 03- 15","135.00","133.95","135.19","132.41","2.18M","-1.56%"
"2023- 03- 14","137.14","139.31","139.90","135.87","1.36M","1.66%"
"2023- 03- 13","134.90","134.87","137.59","133.13","3.33M","-2.27%"
"2023- 03- 10","138.04","140.81","141.14","136.31","3.13M","-2.64%"
"2023- 03- 09","141.79","146.26","146.35","141.62","1.87M","-3.08%"
"2023- 03- 08","146.30","146.56","147.05","145.16","863.80K","0.10%"
"2023- 03- 07","146.16","147.79","148.15","145.87","858.76K","-1.28%"
"2023- 03- 06","148.06","150.54","150.75","147.44","858.12K","-1.58%"
