"날짜","종가","시가","고가","저가","거래량","변동 %"
"2003- 12- 31","49.63","50.15","50.24","49.55","99.00K","-0.70%"
"2003- 12- 30","49.98","49.93","50.10","49.80","251.40K","0.40%"
"2003- 12- 29","49.78","49.67","49.85","49.53","95.00K","0.50%"
"2003- 12- 26","49.53","49.50","49.62","49.45","9.00K","0.14%"
"2003- 12- 24","49.46","49.29","49.46","49.23","46.00K","0.49%"
"2003- 12- 23","49.22","49.42","49.42","49.18","223.40K","-0.24%"
"2003- 12- 22","49.34","49.05","49.34","48.92","117.00K","0.43%"
"2003- 12- 19","49.13","49.05","49.13","48.95","43.40K","0.31%"
"2003- 12- 18","48.98","48.92","49.14","48.83","69.20K","0.27%"
"2003- 12- 17","48.85","48.83","48.92","48.65","167.80K","0.04%"
"2003- 12- 16","48.83","48.58","48.84","48.30","107.00K","0.68%"
"2003- 12- 15","48.50","49.10","49.10","48.47","392.40K","-0.47%"
"2003- 12- 12","48.73","48.75","48.82","48.60","106.60K","-1.40%"
"2003- 12- 11","49.42","48.98","49.42","48.98","108.40K","0.96%"
"2003- 12- 10","48.95","49.24","49.24","48.83","188.80K","-0.41%"
"2003- 12- 09","49.15","49.27","49.27","49.02","118.20K","-0.08%"
"2003- 12- 08","49.19","48.88","49.19","48.80","301.20K","0.80%"
"2003- 12- 05","48.80","48.88","48.95","48.75","285.80K","0.00%"
"2003- 12- 04","48.80","49.15","49.15","48.80","40.20K","-0.43%"
"2003- 12- 03","49.01","49.23","49.30","49.01","53.80K","-0.22%"
"2003- 12- 02","49.12","49.12","49.23","49.00","54.80K","-0.06%"
"2003- 12- 01","49.15","48.60","49.16","48.60","205.40K","1.30%"
"2003- 11- 28","48.52","48.50","48.70","48.50","62.40K","0.29%"
"2003- 11- 26","48.38","48.40","48.49","48.15","41.20K","0.37%"
"2003- 11- 25","48.20","47.83","48.25","47.80","414.40K","1.13%"
"2003- 11- 24","47.66","47.70","47.84","47.46","231.60K","1.19%"
"2003- 11- 21","47.10","47.80","47.83","47.00","178.60K","-0.76%"
"2003- 11- 20","47.46","48.08","48.08","47.28","222.20K","-1.29%"
"2003- 11- 19","48.08","48.30","48.40","47.92","170.20K","-0.19%"
"2003- 11- 18","48.17","48.30","48.47","48.05","59.80K","0.15%"
"2003- 11- 17","48.10","47.75","48.25","47.70","241.40K","-0.72%"
"2003- 11- 14","48.45","48.40","48.65","48.33","517.00K","0.52%"
"2003- 11- 13","48.20","48.09","48.23","47.90","79.60K","0.23%"
"2003- 11- 12","48.09","47.50","48.09","47.38","318.80K","1.50%"
"2003- 11- 11","47.38","47.70","47.70","47.25","77.80K","-0.59%"
"2003- 11- 10","47.66","47.91","47.91","47.58","42.80K","-0.23%"
"2003- 11- 07","47.77","47.60","47.99","47.60","72.00K","0.46%"
"2003- 11- 06","47.55","47.23","47.55","47.14","163.60K","0.74%"
"2003- 11- 05","47.20","47.27","47.27","46.91","32.80K","-0.15%"
"2003- 11- 04","47.27","47.07","47.35","46.90","160.10K","0.28%"
"2003- 11- 03","47.14","46.80","47.20","46.80","304.56K","1.38%"
"2003- 10- 31","46.50","46.80","46.96","46.38","248.00K","-0.36%"
"2003- 10- 30","46.67","46.73","46.80","46.45","88.40K","0.24%"
"2003- 10- 29","46.56","46.20","46.69","46.16","121.40K","1.00%"
"2003- 10- 28","46.10","46.55","46.55","45.63","149.00K","-0.67%"
"2003- 10- 27","46.41","46.10","46.75","46.09","231.20K","1.16%"
"2003- 10- 24","45.88","46.25","46.25","45.66","230.40K","-0.80%"
"2003- 10- 23","46.25","46.55","46.55","45.97","168.80K","-1.01%"
"2003- 10- 22","46.72","47.10","47.10","46.55","148.40K","-0.70%"
"2003- 10- 21","47.05","47.20","47.25","47.01","65.80K","0.09%"
"2003- 10- 20","47.01","47.37","47.38","47.01","54.80K","-0.21%"
"2003- 10- 17","47.11","47.66","47.67","47.11","325.80K","-0.88%"
"2003- 10- 16","47.53","47.48","47.66","47.48","149.40K","0.11%"
"2003- 10- 15","47.48","47.67","47.81","47.39","32.80K","-0.23%"
"2003- 10- 14","47.59","47.58","47.60","47.36","73.80K","0.08%"
"2003- 10- 13","47.55","47.55","47.72","47.45","91.20K","0.36%"
"2003- 10- 10","47.38","47.59","47.59","47.25","115.80K","0.17%"
"2003- 10- 09","47.30","47.53","47.62","47.25","56.60K","0.15%"
"2003- 10- 08","47.23","47.20","47.34","47.09","63.00K","0.06%"
"2003- 10- 07","47.20","47.40","47.48","47.19","341.20K","-0.46%"
"2003- 10- 06","47.42","46.85","47.42","46.85","74.60K","1.17%"
"2003- 10- 03","46.87","46.83","47.24","46.76","371.80K","1.06%"
"2003- 10- 02","46.38","46.10","46.48","46.10","343.40K","0.78%"
"2003- 10- 01","46.02","45.83","46.13","45.83","43.20K","0.70%"
"2003- 09- 30","45.70","45.55","45.87","45.15","78.20K","0.62%"
"2003- 09- 29","45.42","45.23","45.42","45.16","26.80K","0.49%"
"2003- 09- 26","45.20","45.05","45.21","44.60","54.00K","0.09%"
"2003- 09- 25","45.16","45.30","45.34","44.96","138.80K","-0.09%"
"2003- 09- 24","45.20","45.50","45.59","45.20","39.40K","-0.55%"
"2003- 09- 23","45.45","45.15","45.59","45.15","65.80K","0.66%"
"2003- 09- 22","45.15","45.05","45.26","44.90","229.40K","-0.35%"
"2003- 09- 19","45.31","45.05","45.42","45.00","61.00K","0.76%"
"2003- 09- 18","44.97","44.80","45.06","44.73","402.80K","0.56%"
"2003- 09- 17","44.72","44.90","44.90","44.55","38.20K","-0.36%"
"2003- 09- 16","44.88","44.92","44.99","44.66","45.60K","-0.04%"
"2003- 09- 15","44.90","45.00","45.00","44.80","52.20K","-0.20%"
"2003- 09- 12","44.99","44.69","44.99","44.53","45.40K","-1.01%"
"2003- 09- 11","45.45","45.30","45.52","45.16","54.20K","0.89%"
"2003- 09- 10","45.05","45.80","45.80","44.95","129.00K","-1.74%"
"2003- 09- 09","45.85","45.87","45.88","45.53","39.80K","-0.37%"
"2003- 09- 08","46.02","45.58","46.05","45.58","35.80K","0.28%"
"2003- 09- 05","45.89","45.98","46.02","45.65","87.40K","-0.43%"
"2003- 09- 04","46.09","46.05","46.18","45.86","92.80K","0.46%"
"2003- 09- 03","45.88","45.65","46.00","45.12","99.40K","0.75%"
"2003- 09- 02","45.54","45.12","45.54","44.91","62.20K","1.20%"
"2003- 08- 29","45.00","44.79","45.00","44.66","33.20K","0.58%"
"2003- 08- 28","44.74","44.83","44.83","44.59","57.60K","-0.07%"
"2003- 08- 27","44.77","44.23","44.80","44.23","214.60K","0.88%"
"2003- 08- 26","44.38","43.92","44.38","43.65","158.20K","1.05%"
"2003- 08- 25","43.92","44.33","44.33","43.75","112.00K","-1.08%"
"2003- 08- 22","44.40","44.80","44.80","44.30","37.40K","-0.74%"
"2003- 08- 21","44.73","44.73","44.85","44.56","57.60K","0.18%"
"2003- 08- 20","44.65","44.33","44.65","44.33","79.80K","0.29%"
"2003- 08- 19","44.52","44.48","44.55","44.31","74.60K","0.32%"
"2003- 08- 18","44.38","44.15","44.49","44.14","74.80K","0.57%"
"2003- 08- 15","44.13","44.09","44.40","44.09","5.80K","-0.36%"
"2003- 08- 14","44.29","44.10","44.34","43.92","102.00K","0.61%"
"2003- 08- 13","44.02","44.35","44.35","43.88","72.00K","-0.61%"
"2003- 08- 12","44.29","44.40","44.40","44.05","27.00K","-0.02%"
"2003- 08- 11","44.30","44.27","44.41","44.24","46.00K","-0.16%"
"2003- 08- 08","44.37","44.42","44.45","44.23","29.20K","0.32%"
"2003- 08- 07","44.23","44.09","44.40","44.03","251.80K","0.29%"
"2003- 08- 06","44.10","44.05","44.12","43.66","45.80K","0.25%"
"2003- 08- 05","43.99","44.20","44.21","43.87","42.60K","-0.32%"
"2003- 08- 04","44.13","44.33","44.33","43.79","97.20K","-0.72%"
"2003- 08- 01","44.45","44.64","44.64","44.25","132.20K","-0.38%"
"2003- 07- 31","44.62","44.84","44.99","44.50","72.60K","-0.27%"
"2003- 07- 30","44.74","44.35","44.74","44.30","53.20K","1.24%"
"2003- 07- 29","44.19","43.85","44.24","43.85","39.20K","0.66%"
"2003- 07- 28","43.90","44.20","44.30","43.85","60.00K","-0.45%"
"2003- 07- 25","44.10","43.76","44.12","43.76","49.20K","0.78%"
"2003- 07- 24","43.76","43.70","43.97","43.66","30.00K","0.25%"
"2003- 07- 23","43.65","43.83","43.83","43.37","31.60K","-0.16%"
"2003- 07- 22","43.72","43.70","43.84","43.55","96.80K","0.39%"
"2003- 07- 21","43.55","43.67","43.88","43.30","88.00K","-0.05%"
"2003- 07- 18","43.57","43.70","43.84","43.45","82.00K","0.28%"
"2003- 07- 17","43.45","43.85","44.05","43.26","111.60K","-1.23%"
"2003- 07- 16","43.99","44.20","44.20","43.84","79.00K","0.07%"
"2003- 07- 15","43.96","44.02","44.09","43.86","54.20K","-0.20%"
"2003- 07- 14","44.05","43.85","44.15","43.69","94.60K","0.96%"
"2003- 07- 11","43.63","43.45","43.79","43.35","243.20K","0.86%"
"2003- 07- 10","43.26","43.85","43.85","43.07","250.80K","-1.35%"
"2003- 07- 09","43.85","44.05","44.05","43.62","34.40K","-0.61%"
"2003- 07- 08","44.12","43.92","44.12","43.80","72.80K","0.39%"
"2003- 07- 07","43.95","43.80","43.98","43.72","341.00K","0.80%"
"2003- 07- 03","43.60","43.44","43.60","43.21","12.80K","0.51%"
"2003- 07- 02","43.38","43.00","43.40","42.83","161.60K","1.36%"
"2003- 07- 01","42.80","42.45","42.80","42.14","52.20K","1.18%"
"2003- 06- 30","42.30","42.75","42.75","42.11","58.20K","-0.38%"
"2003- 06- 27","42.46","42.55","42.75","42.41","34.00K","-0.05%"
"2003- 06- 26","42.48","42.05","42.49","41.96","65.40K","1.22%"
"2003- 06- 25","41.97","41.80","42.15","41.70","74.80K","0.55%"
"2003- 06- 24","41.74","41.55","41.74","41.27","43.20K","0.72%"
"2003- 06- 23","41.44","41.85","41.85","41.43","90.80K","-1.33%"
"2003- 06- 20","42.00","42.17","42.17","41.91","48.40K","-0.02%"
"2003- 06- 19","42.01","42.15","42.27","41.86","62.40K","0.14%"
"2003- 06- 18","41.95","42.30","42.41","41.81","51.60K","-1.25%"
"2003- 06- 17","42.48","42.80","42.95","42.31","31.60K","-0.70%"
"2003- 06- 16","42.78","42.55","42.90","42.55","81.60K","1.04%"
"2003- 06- 13","42.34","43.00","43.00","42.17","103.20K","-2.93%"
"2003- 06- 12","43.62","44.15","44.15","43.41","127.60K","-0.98%"
"2003- 06- 11","44.05","43.70","44.10","43.45","41.20K","0.99%"
"2003- 06- 10","43.62","43.25","43.70","43.19","60.20K","0.93%"
"2003- 06- 09","43.22","43.42","43.42","43.05","41.20K","-0.64%"
"2003- 06- 06","43.50","43.25","43.65","43.10","200.40K","0.97%"
"2003- 06- 05","43.08","42.75","43.08","42.75","97.40K","0.00%"
"2003- 06- 04","43.08","42.66","43.17","42.61","79.60K","1.68%"
"2003- 06- 03","42.37","42.33","42.55","42.13","24.60K","-0.05%"
"2003- 06- 02","42.39","42.40","42.55","42.25","191.80K","0.52%"
"2003- 05- 30","42.17","41.40","42.17","41.40","162.00K","2.06%"
"2003- 05- 29","41.32","42.25","42.25","40.75","281.00K","-1.90%"
"2003- 05- 28","42.12","42.85","42.90","42.12","337.80K","-1.57%"
"2003- 05- 27","42.79","42.75","42.83","42.55","104.00K","-0.12%"
"2003- 05- 23","42.84","42.62","42.90","42.49","52.40K","0.45%"
"2003- 05- 22","42.65","42.35","42.65","42.16","63.40K","0.99%"
"2003- 05- 21","42.23","42.00","42.27","41.80","53.40K","0.26%"
"2003- 05- 20","42.12","41.88","42.16","41.78","59.00K","0.93%"
"2003- 05- 19","41.73","41.92","41.92","41.66","31.80K","-0.50%"
"2003- 05- 16","41.94","41.65","41.94","41.45","70.00K","0.67%"
"2003- 05- 15","41.66","41.80","41.80","41.41","43.80K","0.00%"
"2003- 05- 14","41.66","41.92","41.92","41.53","41.00K","-0.43%"
"2003- 05- 13","41.84","41.80","41.92","41.63","49.40K","0.17%"
"2003- 05- 12","41.77","41.58","41.85","41.50","106.80K","0.77%"
"2003- 05- 09","41.45","41.38","41.59","41.20","49.20K","0.73%"
"2003- 05- 08","41.15","40.75","41.26","40.72","80.40K","0.39%"
"2003- 05- 07","40.99","41.20","41.20","40.70","33.40K","-0.27%"
"2003- 05- 06","41.10","40.98","41.70","40.83","113.40K","0.54%"
"2003- 05- 05","40.88","40.65","40.88","40.45","78.80K","1.16%"
"2003- 05- 02","40.41","40.10","40.62","40.10","84.40K","0.90%"
"2003- 05- 01","40.05","39.75","40.25","39.50","116.00K","0.88%"
"2003- 04- 30","39.70","40.19","40.19","39.70","103.20K","-1.00%"
"2003- 04- 29","40.10","40.10","40.60","40.10","75.60K","0.22%"
"2003- 04- 28","40.01","40.20","40.30","40.01","55.80K","-0.35%"
"2003- 04- 25","40.15","40.38","40.38","40.00","151.40K","-0.82%"
"2003- 04- 24","40.48","40.70","40.77","40.42","78.40K","-0.81%"
"2003- 04- 23","40.81","40.65","40.92","40.58","40.00K","0.02%"
"2003- 04- 22","40.80","40.27","40.80","40.27","78.40K","1.39%"
"2003- 04- 21","40.24","40.17","40.24","40.02","58.20K","0.30%"
"2003- 04- 17","40.12","39.85","40.12","39.70","31.20K","0.93%"
"2003- 04- 16","39.75","39.75","39.75","39.55","85.60K","0.25%"
"2003- 04- 15","39.65","39.50","39.65","39.36","46.40K","0.43%"
"2003- 04- 14","39.48","38.98","39.48","38.98","42.80K","1.33%"
"2003- 04- 11","38.96","39.30","39.45","38.88","68.00K","-0.54%"
"2003- 04- 10","39.17","39.25","39.27","38.94","197.80K","0.31%"
"2003- 04- 09","39.05","39.25","39.50","39.05","43.60K","-0.51%"
"2003- 04- 08","39.25","39.45","39.45","39.06","58.00K","-0.25%"
"2003- 04- 07","39.35","39.45","39.66","39.15","49.60K","0.85%"
"2003- 04- 04","39.02","39.27","39.38","39.02","61.00K","-0.20%"
"2003- 04- 03","39.10","39.23","39.37","39.07","64.80K","-0.74%"
"2003- 04- 02","39.39","39.35","39.60","39.26","396.20K","1.05%"
"2003- 04- 01","38.98","38.50","39.00","38.49","72.40K","1.70%"
"2003- 03- 31","38.33","38.20","38.59","38.08","74.60K","-0.52%"
"2003- 03- 28","38.53","38.65","38.78","38.50","36.60K","-0.36%"
"2003- 03- 27","38.67","38.85","38.87","38.35","44.40K","-0.57%"
"2003- 03- 26","38.89","38.75","38.90","38.56","137.00K","0.59%"
"2003- 03- 25","38.66","38.27","38.66","38.27","78.40K","1.10%"
"2003- 03- 24","38.24","38.95","38.95","38.10","140.00K","-2.45%"
"2003- 03- 21","39.20","38.67","39.30","38.65","98.20K","1.66%"
"2003- 03- 20","38.56","38.15","38.57","37.78","47.40K","0.84%"
"2003- 03- 19","38.24","37.95","38.25","37.76","72.40K","1.27%"
"2003- 03- 18","37.76","37.85","37.85","37.54","77.20K","0.37%"
"2003- 03- 17","37.62","36.88","37.62","36.73","83.40K","1.98%"
"2003- 03- 14","36.89","37.05","37.10","36.85","30.40K","-0.46%"
"2003- 03- 13","37.06","36.92","37.06","36.71","63.40K","1.53%"
"2003- 03- 12","36.50","36.73","36.79","36.43","25.40K","-0.44%"
"2003- 03- 11","36.66","36.98","37.20","36.60","74.20K","-0.11%"
"2003- 03- 10","36.70","37.01","37.10","36.70","74.60K","-1.48%"
"2003- 03- 07","37.25","37.10","37.26","36.95","28.80K","-0.61%"
"2003- 03- 06","37.48","37.60","37.65","37.38","64.60K","-0.58%"
"2003- 03- 05","37.70","37.55","37.70","37.41","49.60K","0.08%"
"2003- 03- 04","37.67","37.75","37.90","37.62","49.40K","-0.63%"
"2003- 03- 03","37.91","38.00","38.10","37.86","106.40K","-0.11%"
"2003- 02- 28","37.95","37.90","38.08","37.88","39.00K","0.18%"
"2003- 02- 27","37.88","37.73","37.88","37.58","55.80K","0.80%"
"2003- 02- 26","37.58","37.70","37.73","37.53","53.60K","-0.45%"
"2003- 02- 25","37.75","37.25","37.77","37.09","52.80K","0.88%"
"2003- 02- 24","37.42","37.60","37.60","37.30","80.20K","-0.98%"
"2003- 02- 21","37.79","37.45","37.80","37.30","46.40K","1.23%"
"2003- 02- 20","37.33","37.35","37.41","37.20","30.60K","0.08%"
"2003- 02- 19","37.30","37.05","37.33","37.00","59.60K","0.67%"
"2003- 02- 18","37.05","36.90","37.22","36.78","102.00K","1.20%"
"2003- 02- 14","36.61","36.75","36.86","36.48","24.00K","-0.22%"
"2003- 02- 13","36.69","36.85","36.85","36.45","28.80K","-0.03%"
"2003- 02- 12","36.70","36.90","37.14","36.70","53.40K","-0.78%"
"2003- 02- 11","36.99","37.45","37.45","36.90","35.40K","-0.83%"
"2003- 02- 10","37.30","37.05","37.30","36.12","61.60K","0.67%"
"2003- 02- 07","37.05","37.50","37.50","37.03","176.20K","-0.78%"
"2003- 02- 06","37.34","37.40","37.42","37.24","73.60K","0.00%"
"2003- 02- 05","37.34","37.40","37.55","37.23","38.20K","0.48%"
"2003- 02- 04","37.16","37.10","37.27","36.95","39.00K","-0.24%"
"2003- 02- 03","37.25","37.45","37.49","37.15","69.60K","0.05%"
"2003- 01- 31","37.23","36.77","37.29","36.77","124.00K","1.09%"
"2003- 01- 30","36.83","37.05","37.10","36.75","199.00K","-0.22%"
"2003- 01- 29","36.91","36.52","36.98","36.52","90.80K","0.60%"
"2003- 01- 28","36.69","36.50","36.72","36.43","38.60K","0.38%"
"2003- 01- 27","36.55","36.80","36.80","36.41","210.20K","-0.89%"
"2003- 01- 24","36.88","37.15","37.15","36.77","177.40K","-0.91%"
"2003- 01- 23","37.22","37.30","37.30","37.02","49.40K","0.27%"
"2003- 01- 22","37.12","37.02","37.23","37.00","88.20K","0.08%"
"2003- 01- 21","37.09","37.25","37.29","37.06","57.40K","-0.19%"
"2003- 01- 17","37.16","37.30","37.45","37.12","135.20K","-1.33%"
"2003- 01- 16","37.66","37.80","38.05","37.55","40.00K","-0.89%"
"2003- 01- 15","38.00","37.92","38.17","37.77","56.40K","-0.03%"
"2003- 01- 14","38.01","38.00","38.16","37.95","26.80K","-0.24%"
"2003- 01- 13","38.10","38.40","38.40","38.05","27.20K","-0.65%"
"2003- 01- 10","38.35","38.50","38.55","38.20","150.40K","-0.57%"
"2003- 01- 09","38.57","38.60","38.72","38.38","51.60K","0.42%"
"2003- 01- 08","38.41","38.83","38.85","38.41","78.80K","-1.51%"
"2003- 01- 07","39.00","39.00","39.15","38.67","126.80K","-1.14%"
"2003- 01- 06","39.45","39.15","39.50","39.10","148.40K","0.79%"
"2003- 01- 03","39.14","38.80","39.15","38.75","158.60K","1.27%"
"2003- 01- 02","38.65","38.67","38.75","38.55","82.20K","0.00%"
"2002- 12- 31","38.65","38.40","38.83","38.40","128.40K","0.73%"
"2002- 12- 30","38.37","38.30","38.37","38.12","31.80K","0.26%"
"2002- 12- 27","38.27","38.27","38.35","38.03","168.00K","-0.08%"
"2002- 12- 26","38.30","38.40","38.48","38.30","17.20K","-0.26%"
"2002- 12- 24","38.40","38.20","38.40","38.20","34.40K","0.84%"
"2002- 12- 23","38.08","38.00","38.15","37.95","60.40K","-0.05%"
"2002- 12- 20","38.10","37.90","38.10","37.77","96.20K","0.69%"
"2002- 12- 19","37.84","37.75","38.02","37.75","61.00K","-0.55%"
"2002- 12- 18","38.05","38.15","38.15","37.76","179.20K","-0.39%"
"2002- 12- 17","38.20","38.40","38.40","38.10","31.40K","-0.37%"
"2002- 12- 16","38.34","38.20","38.34","38.02","48.40K","0.31%"
"2002- 12- 13","38.22","38.27","38.45","38.12","25.00K","-2.50%"
"2002- 12- 12","39.20","39.10","39.20","38.90","22.20K","0.13%"
"2002- 12- 11","39.15","39.13","39.26","39.08","77.40K","-0.05%"
"2002- 12- 10","39.17","39.42","39.42","39.06","24.20K","-0.38%"
"2002- 12- 09","39.32","39.00","39.40","38.98","51.60K","0.25%"
"2002- 12- 06","39.22","39.00","39.23","38.92","55.60K","0.13%"
"2002- 12- 05","39.17","39.25","39.30","39.10","109.20K","0.05%"
"2002- 12- 04","39.15","39.33","39.41","39.10","28.60K","-0.89%"
"2002- 12- 03","39.50","39.50","39.57","39.41","147.80K","0.25%"
"2002- 12- 02","39.40","39.15","39.55","39.15","128.80K","0.23%"
"2002- 11- 29","39.31","39.17","39.31","39.17","7.80K","0.15%"
"2002- 11- 27","39.25","39.08","39.25","38.95","235.40K","0.77%"
"2002- 11- 26","38.95","39.00","39.05","38.77","57.00K","-0.15%"
"2002- 11- 25","39.01","38.92","39.01","38.69","25.20K","0.13%"
"2002- 11- 22","38.96","38.75","38.96","38.50","33.80K","0.49%"
"2002- 11- 21","38.77","38.65","38.82","38.53","46.20K","0.39%"
"2002- 11- 20","38.62","38.60","38.63","38.35","47.00K","0.31%"
"2002- 11- 19","38.50","38.42","38.67","38.32","207.00K","0.39%"
"2002- 11- 18","38.35","38.52","38.60","38.31","18.00K","-0.83%"
"2002- 11- 15","38.67","38.65","38.77","38.52","59.00K","0.08%"
"2002- 11- 14","38.64","38.20","38.64","38.12","163.00K","2.03%"
"2002- 11- 13","37.87","38.30","38.46","37.86","95.40K","-0.94%"
"2002- 11- 12","38.23","37.85","38.40","37.85","111.00K","0.66%"
"2002- 11- 11","37.98","38.02","38.12","37.69","65.00K","-0.63%"
"2002- 11- 08","38.22","38.48","38.48","38.10","142.40K","-0.86%"
"2002- 11- 07","38.55","38.65","38.66","38.41","59.00K","-0.46%"
"2002- 11- 06","38.73","38.48","38.73","38.40","66.40K","1.07%"
"2002- 11- 05","38.32","38.25","38.47","38.17","73.40K","0.05%"
"2002- 11- 04","38.30","37.95","38.35","37.77","88.20K","1.54%"
"2002- 11- 01","37.72","37.17","37.82","37.17","100.80K","0.61%"
"2002- 10- 31","37.49","37.52","37.58","37.33","104.60K","0.70%"
"2002- 10- 30","37.23","37.25","37.49","37.05","127.80K","-0.05%"
"2002- 10- 29","37.25","37.48","37.48","36.73","116.80K","-0.61%"
"2002- 10- 28","37.48","38.02","38.05","37.38","81.60K","-0.66%"
"2002- 10- 25","37.73","37.05","37.80","37.05","119.40K","1.51%"
"2002- 10- 24","37.17","36.95","37.23","36.80","90.00K","1.20%"
"2002- 10- 23","36.73","36.67","36.90","36.25","107.40K","0.05%"
"2002- 10- 22","36.71","37.30","37.30","36.71","147.00K","-1.98%"
"2002- 10- 21","37.45","37.45","37.49","37.12","164.40K","-0.45%"
"2002- 10- 18","37.62","37.70","37.87","37.20","62.80K","0.32%"
"2002- 10- 17","37.50","37.67","37.75","37.50","102.80K","0.94%"
"2002- 10- 16","37.15","37.25","37.49","36.73","229.60K","-0.54%"
"2002- 10- 15","37.35","37.20","37.74","37.12","105.60K","1.97%"
"2002- 10- 14","36.63","37.10","37.12","36.45","125.40K","-1.27%"
"2002- 10- 11","37.10","37.05","37.32","36.91","78.80K","2.20%"
"2002- 10- 10","36.30","35.25","36.45","34.73","351.00K","2.43%"
"2002- 10- 09","35.44","36.10","36.10","35.38","179.20K","-2.37%"
"2002- 10- 08","36.30","36.90","36.90","35.83","231.80K","-1.22%"
"2002- 10- 07","36.75","37.95","37.95","36.75","96.40K","-2.96%"
"2002- 10- 04","37.87","38.70","38.70","37.77","180.80K","-2.14%"
"2002- 10- 03","38.70","38.50","38.70","38.40","12.20K","0.47%"
"2002- 10- 02","38.52","38.98","39.02","38.45","124.00K","-1.15%"
"2002- 10- 01","38.97","39.15","39.15","38.65","95.00K","-0.28%"
"2002- 09- 30","39.08","39.25","39.25","38.90","134.00K","-1.11%"
"2002- 09- 27","39.52","39.60","39.83","39.35","100.20K","-0.70%"
"2002- 09- 26","39.80","39.50","39.80","39.40","35.60K","1.17%"
"2002- 09- 25","39.34","39.50","39.60","39.10","42.00K","-0.28%"
"2002- 09- 24","39.45","39.55","39.68","39.40","282.20K","-1.08%"
"2002- 09- 23","39.88","39.85","39.99","39.67","52.20K","-0.30%"
"2002- 09- 20","40.00","40.02","40.08","39.86","58.40K","0.43%"
"2002- 09- 19","39.83","39.90","40.08","39.67","36.40K","-0.72%"
"2002- 09- 18","40.12","40.33","40.33","39.92","70.00K","-0.02%"
"2002- 09- 17","40.13","40.65","40.65","40.13","21.60K","-0.96%"
"2002- 09- 16","40.52","40.60","40.66","40.30","142.80K","-0.15%"
"2002- 09- 13","40.58","40.27","40.65","40.25","22.20K","-1.02%"
"2002- 09- 12","41.00","41.05","41.23","40.87","46.40K","-0.73%"
"2002- 09- 11","41.30","41.25","41.42","41.23","29.00K","0.17%"
"2002- 09- 10","41.23","41.23","41.50","41.15","15.20K","-0.17%"
"2002- 09- 09","41.30","41.15","41.31","41.06","8.60K","0.17%"
"2002- 09- 06","41.23","41.42","41.42","41.17","17.00K","0.00%"
"2002- 09- 05","41.23","41.35","41.37","41.10","35.80K","-0.34%"
"2002- 09- 04","41.37","41.25","41.45","41.20","22.00K","0.27%"
"2002- 09- 03","41.26","41.65","41.65","41.12","46.60K","-1.06%"
"2002- 08- 30","41.70","41.55","41.82","41.55","15.80K","0.48%"
"2002- 08- 29","41.50","41.30","41.57","41.30","44.00K","-0.48%"
"2002- 08- 28","41.70","41.20","41.70","41.08","63.40K","0.85%"
"2002- 08- 27","41.35","41.45","41.45","41.19","40.80K","0.46%"
"2002- 08- 26","41.16","41.05","41.23","40.56","23.00K","0.68%"
"2002- 08- 23","40.88","40.90","41.07","40.75","21.20K","-0.05%"
"2002- 08- 22","40.90","40.77","40.95","40.73","26.80K","0.32%"
"2002- 08- 21","40.77","40.75","40.83","40.55","34.80K","0.47%"
"2002- 08- 20","40.58","40.77","40.77","40.38","21.20K","-0.39%"
"2002- 08- 19","40.74","40.80","40.83","40.58","76.40K","-0.15%"
"2002- 08- 16","40.80","40.00","40.85","40.00","112.20K","1.12%"
"2002- 08- 15","40.35","40.11","40.35","40.05","79.00K","0.60%"
"2002- 08- 14","40.11","39.65","40.11","39.45","96.60K","0.73%"
"2002- 08- 13","39.82","40.45","40.58","39.78","174.80K","-1.12%"
"2002- 08- 12","40.27","39.45","40.27","39.45","426.00K","1.18%"
"2002- 08- 09","39.80","40.05","40.05","39.45","104.00K","-1.27%"
"2002- 08- 08","40.31","40.27","40.56","40.12","87.80K","0.02%"
"2002- 08- 07","40.30","39.98","40.30","39.55","232.20K","2.08%"
"2002- 08- 06","39.48","39.40","39.74","39.40","359.20K","0.25%"
"2002- 08- 05","39.38","39.88","39.97","39.30","395.60K","-1.72%"
"2002- 08- 02","40.07","40.60","40.65","39.88","405.60K","-2.20%"
"2002- 08- 01","40.97","41.30","41.33","40.58","313.00K","-1.40%"
