"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 06","84.28","84.10","84.43","83.38","5.34M","0.86%"
"2023- 06- 05","83.56","84.12","84.51","83.42","5.60M","-0.67%"
"2023- 06- 02","84.12","83.22","84.38","82.93","6.74M","2.24%"
"2023- 06- 01","82.28","82.09","82.67","81.36","6.10M","0.06%"
"2023- 05- 31","82.23","81.87","82.39","81.33","6.57M","0.53%"
"2023- 05- 30","81.80","82.05","82.70","81.57","5.19M","0.43%"
"2023- 05- 26","81.45","80.71","81.65","80.32","5.79M","1.15%"
"2023- 05- 25","80.52","80.99","81.11","79.94","6.28M","0.01%"
"2023- 05- 24","80.51","81.93","82.03","80.43","5.64M","-2.04%"
"2023- 05- 23","82.19","82.90","83.68","82.12","5.89M","-1.07%"
"2023- 05- 22","83.08","82.75","83.59","82.23","5.85M","0.63%"
"2023- 05- 19","82.56","83.14","83.41","82.16","5.05M","-0.13%"
"2023- 05- 18","82.67","82.66","83.06","82.00","5.18M","-0.45%"
"2023- 05- 17","83.04","82.50","83.18","81.73","5.57M","1.29%"
"2023- 05- 16","81.98","83.95","83.98","81.97","7.45M","-2.44%"
"2023- 05- 15","84.03","84.39","84.54","83.83","6.69M","-0.17%"
"2023- 05- 12","84.17","84.32","84.42","83.50","5.35M","0.02%"
"2023- 05- 11","84.15","84.48","84.55","83.66","5.52M","-1.09%"
"2023- 05- 10","85.08","85.20","85.39","84.24","6.05M","0.96%"
"2023- 05- 09","84.27","84.21","84.61","83.40","3.58M","-0.46%"
"2023- 05- 08","84.66","84.88","85.19","84.31","3.51M","-0.56%"
"2023- 05- 05","85.14","84.40","85.30","84.24","6.02M","1.66%"
"2023- 05- 04","83.75","83.08","84.27","82.56","6.75M","0.82%"
"2023- 05- 03","83.07","83.91","84.72","83.00","6.50M","-0.48%"
"2023- 05- 02","83.47","84.70","84.89","82.91","5.96M","-1.71%"
"2023- 05- 01","84.92","85.36","85.89","84.80","4.39M","-0.89%"
"2023- 04- 28","85.68","84.89","86.05","84.64","5.24M","1.19%"
"2023- 04- 27","84.67","82.88","84.89","82.80","6.34M","2.46%"
"2023- 04- 26","82.64","83.22","83.96","82.50","4.93M","-0.78%"
"2023- 04- 25","83.29","83.68","83.99","83.22","3.88M","-1.06%"
"2023- 04- 24","84.18","84.48","84.78","83.45","4.26M","-0.28%"
"2023- 04- 21","84.42","84.26","84.79","83.70","5.03M","0.20%"
"2023- 04- 20","84.25","84.69","84.73","83.93","4.44M","-1.02%"
"2023- 04- 19","85.12","84.25","85.36","83.94","5.03M","0.50%"
"2023- 04- 18","84.70","84.97","84.97","84.22","4.15M","-0.19%"
"2023- 04- 17","84.86","83.17","84.86","83.15","6.17M","2.17%"
"2023- 04- 14","83.06","84.57","84.95","82.51","7.37M","-1.61%"
"2023- 04- 13","84.42","84.83","84.83","83.63","4.80M","-0.28%"
"2023- 04- 12","84.66","85.89","85.93","84.58","6.57M","-0.49%"
"2023- 04- 11","85.08","84.88","85.72","84.51","6.48M","0.53%"
"2023- 04- 10","84.63","83.78","84.68","83.38","7.11M","0.49%"
"2023- 04- 06","84.22","84.03","84.30","83.34","13.91M","0.61%"
"2023- 04- 05","83.71","83.88","84.51","83.64","13.26M","-0.55%"
"2023- 04- 04","84.17","84.41","84.57","83.60","14.17M","-0.07%"
"2023- 04- 03","84.23","84.80","85.41","83.78","16.26M","-0.79%"
"2023- 03- 31","84.90","83.62","85.11","83.47","9.88M","2.10%"
"2023- 03- 30","83.15","83.00","83.40","82.78","7.24M","1.25%"
"2023- 03- 29","82.12","81.40","82.25","81.18","6.06M","2.24%"
"2023- 03- 28","80.32","80.01","80.76","79.75","5.16M","-0.32%"
"2023- 03- 27","80.58","81.29","81.48","80.50","5.94M","-0.14%"
"2023- 03- 24","80.69","78.34","80.73","78.11","10.34M","2.49%"
"2023- 03- 23","78.73","79.58","80.61","78.41","9.97M","-1.16%"
"2023- 03- 22","79.65","82.14","82.14","79.59","11.56M","-3.48%"
"2023- 03- 21","82.52","83.56","83.67","81.84","8.05M","-0.57%"
"2023- 03- 20","82.99","82.36","83.27","81.91","9.88M","1.13%"
"2023- 03- 17","82.06","83.44","83.67","81.91","11.82M","-2.24%"
"2023- 03- 16","83.94","83.36","84.28","82.45","11.69M","0.02%"
"2023- 03- 15","83.92","83.07","84.28","82.68","15.71M","-0.18%"
"2023- 03- 14","84.07","84.56","85.00","83.18","9.90M","1.00%"
"2023- 03- 13","83.24","81.61","84.35","81.41","20.37M","1.39%"
"2023- 03- 10","82.10","84.73","84.99","81.72","15.67M","-3.29%"
"2023- 03- 09","84.89","86.96","87.13","84.72","8.02M","-2.32%"
"2023- 03- 08","86.91","86.14","87.43","85.85","6.87M","1.18%"
