"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","12,370","12,385","12,385","12,340","12.36K","0.12%"
"2023- 05- 24","12,355","12,365","12,385","12,355","10.12K","0.08%"
"2023- 05- 23","12,345","12,365","12,365","12,330","22.83K","-0.40%"
"2023- 05- 22","12,395","12,325","12,425","12,320","48.89K","-0.24%"
"2023- 05- 19","12,425","12,430","12,450","12,410","31.73K","-0.04%"
"2023- 05- 18","12,430","12,425","12,445","12,395","16.34K","-0.08%"
"2023- 05- 17","12,440","12,435","12,450","12,420","19.90K","0.12%"
"2023- 05- 16","12,425","12,450","12,450","12,400","20.11K","0.24%"
"2023- 05- 15","12,395","12,390","12,425","12,385","15.43K","-0.48%"
"2023- 05- 12","12,455","12,430","12,465","12,400","20.30K","0.40%"
"2023- 05- 11","12,405","12,380","12,420","12,365","24.02K","0.16%"
"2023- 05- 10","12,385","12,405","12,425","12,350","13.38K","-0.16%"
"2023- 05- 09","12,405","12,460","12,460","12,380","16.36K","-0.40%"
"2023- 05- 08","12,455","12,420","12,495","12,390","21.45K","-0.08%"
"2023- 05- 04","12,465","12,695","12,695","12,445","31.93K","-0.32%"
"2023- 05- 03","12,505","12,530","12,530","12,460","39.14K","0.12%"
"2023- 05- 02","12,490","12,415","12,495","12,400","45.59K","0.60%"
"2023- 04- 28","12,415","12,435","12,460","12,400","26.86K","-0.20%"
"2023- 04- 27","12,440","12,430","12,460","12,375","36.19K","-0.08%"
"2023- 04- 26","12,450","12,460","12,470","12,430","38.84K","0.12%"
"2023- 04- 25","12,435","12,485","12,485","12,415","42.06K","-0.20%"
"2023- 04- 24","12,460","12,395","12,460","12,395","29.14K","-0.20%"
"2023- 04- 21","12,485","12,405","12,595","12,375","61.22K","0.81%"
"2023- 04- 20","12,385","12,410","12,435","12,340","34.05K","-0.20%"
"2023- 04- 19","12,410","12,375","12,410","12,350","18.63K","0.20%"
"2023- 04- 18","12,385","12,390","12,400","12,360","30.89K","0.12%"
"2023- 04- 17","12,370","12,340","12,385","12,315","21.46K","-0.04%"
"2023- 04- 14","12,375","12,405","12,420","12,345","31.87K","-0.40%"
"2023- 04- 13","12,425","12,480","12,495","12,415","25.93K","-0.48%"
"2023- 04- 12","12,485","12,430","12,485","12,430","41.37K","0.08%"
"2023- 04- 11","12,475","12,405","12,475","12,380","35.18K","0.44%"
"2023- 04- 10","12,420","12,355","12,425","12,320","36.59K","0.24%"
"2023- 04- 07","12,390","12,300","12,410","12,300","23.71K","0.73%"
"2023- 04- 06","12,300","12,335","12,335","12,295","45.15K","0.04%"
"2023- 04- 05","12,295","12,260","12,320","12,250","36.93K","0.29%"
"2023- 04- 04","12,260","12,185","12,270","12,185","39.82K","0.62%"
"2023- 04- 03","12,185","12,130","12,225","12,130","44.07K","0.49%"
"2023- 03- 31","12,125","12,060","12,130","12,020","45.33K","0.62%"
"2023- 03- 30","12,050","12,070","12,085","12,030","16.40K","0.21%"
"2023- 03- 29","12,025","11,990","12,025","11,965","30.82K","0.00%"
"2023- 03- 28","12,025","11,990","12,025","11,945","29.27K","-0.54%"
"2023- 03- 27","12,090","12,100","12,110","12,050","20.49K","0.00%"
"2023- 03- 24","12,090","11,980","12,090","11,975","27.75K","1.26%"
"2023- 03- 23","11,940","12,005","12,005","11,890","27.80K","-0.42%"
"2023- 03- 22","11,990","11,965","11,990","11,940","28.59K","-0.46%"
"2023- 03- 21","12,045","12,005","12,060","12,000","16.03K","0.00%"
"2023- 03- 20","12,045","12,010","12,045","11,945","14.78K","0.71%"
"2023- 03- 17","11,960","11,900","11,975","11,900","11.75K","-0.21%"
"2023- 03- 16","11,985","11,920","11,990","11,920","20.96K","1.31%"
"2023- 03- 15","11,830","11,880","11,910","11,820","15.78K","-0.21%"
"2023- 03- 14","11,855","11,895","11,910","11,855","41.36K","-0.25%"
"2023- 03- 13","11,885","11,910","11,935","11,870","19.69K","-0.04%"
"2023- 03- 10","11,890","11,845","11,925","11,825","29.53K","0.30%"
"2023- 03- 09","11,855","11,880","11,880","11,835","14.93K","-0.08%"
"2023- 03- 08","11,865","11,825","11,880","11,820","12.47K","0.17%"
"2023- 03- 07","11,845","11,855","11,875","11,835","19.82K","0.00%"
"2023- 03- 06","11,845","11,825","11,845","11,740","15.23K","0.59%"
"2023- 03- 03","11,775","11,845","11,845","11,740","27.13K","-0.55%"
"2023- 03- 02","11,840","11,885","11,885","11,805","20.82K","-0.80%"
"2023- 02- 28","11,935","11,915","11,940","11,890","9.49K","0.25%"
"2023- 02- 27","11,905","11,860","11,905","11,800","17.86K","0.17%"
"2023- 02- 24","11,885","11,870","11,900","11,830","21.38K","0.17%"
"2023- 02- 23","11,865","11,825","11,900","11,825","15.95K","0.38%"
"2023- 02- 22","11,820","11,875","11,875","11,810","17.45K","-0.63%"
"2023- 02- 21","11,895","11,950","11,950","11,865","22.90K","-0.25%"
"2023- 02- 20","11,925","11,920","11,925","11,850","28.48K","-0.04%"
"2023- 02- 17","11,930","11,880","11,950","11,870","29.66K","0.68%"
"2023- 02- 16","11,850","11,865","11,885","11,820","22.58K","0.17%"
"2023- 02- 15","11,830","11,830","11,850","11,800","10.63K","0.00%"
"2023- 02- 14","11,830","11,875","11,885","11,830","19.81K","-0.25%"
"2023- 02- 13","11,860","11,815","11,860","11,790","12.52K","0.08%"
"2023- 02- 10","11,850","11,840","11,860","11,805","18.49K","-0.08%"
"2023- 02- 09","11,860","11,875","11,895","11,845","11.41K","-0.17%"
"2023- 02- 08","11,880","11,805","11,885","11,770","13.52K","0.81%"
"2023- 02- 07","11,785","11,790","11,800","11,750","37.06K","-0.17%"
"2023- 02- 06","11,805","11,830","11,830","11,770","24.68K","-0.38%"
