"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","12,700","12,715","12,715","12,685","104.82K","-1.01%"
"2023- 05- 24","12,830","12,810","12,850","12,800","192.03K","0.75%"
"2023- 05- 23","12,735","12,790","12,790","12,710","230.88K","-0.62%"
"2023- 05- 22","12,815","12,850","12,860","12,790","166.37K","0.27%"
"2023- 05- 19","12,780","12,715","12,780","12,685","157.89K","-0.58%"
"2023- 05- 18","12,855","12,865","12,890","12,835","257.18K","-0.43%"
"2023- 05- 17","12,910","12,930","12,945","12,905","60.37K","-0.96%"
"2023- 05- 16","13,035","13,090","13,110","13,035","246.61K","-0.46%"
"2023- 05- 15","13,095","13,050","13,115","13,050","79.11K","0.31%"
"2023- 05- 12","13,055","13,100","13,110","13,040","425.15K","-1.21%"
"2023- 05- 11","13,215","13,210","13,235","13,190","164.38K","0.19%"
"2023- 05- 10","13,190","13,235","13,255","13,185","312.66K","0.04%"
"2023- 05- 09","13,185","13,150","13,195","13,130","354.22K","0.27%"
"2023- 05- 08","13,150","13,110","13,170","13,110","252.37K","-0.90%"
"2023- 05- 04","13,270","13,350","13,385","13,265","514.65K","1.14%"
"2023- 05- 03","13,120","13,125","13,145","13,110","526.99K","1.59%"
"2023- 05- 02","12,915","12,925","12,925","12,880","136.94K","-0.15%"
"2023- 05- 01","12,935","12,935","12,935","12,935","","0.00%"
"2023- 04- 28","12,935","12,940","12,955","12,905","149.44K","-0.73%"
"2023- 04- 27","13,030","12,960","13,035","12,950","335.14K","0.19%"
"2023- 04- 26","13,005","13,020","13,035","12,980","351.75K","0.08%"
"2023- 04- 25","12,995","12,990","13,030","12,960","335.50K","0.74%"
"2023- 04- 24","12,900","12,915","12,920","12,870","301.28K","-0.39%"
"2023- 04- 21","12,950","13,060","13,070","12,950","348.22K","-0.50%"
"2023- 04- 20","13,015","12,985","13,020","12,970","221.12K","0.35%"
"2023- 04- 19","12,970","13,070","13,085","12,965","180.65K","-0.50%"
"2023- 04- 18","13,035","12,995","13,050","12,990","138.17K","-0.69%"
"2023- 04- 17","13,125","13,060","13,125","13,010","143.40K","-1.54%"
"2023- 04- 14","13,330","13,300","13,355","13,300","308.90K","1.14%"
"2023- 04- 13","13,180","13,155","13,180","13,140","170.87K","0.23%"
"2023- 04- 12","13,150","13,080","13,190","13,075","168.89K","0.73%"
"2023- 04- 11","13,055","13,005","13,055","12,975","179.26K","0.31%"
"2023- 04- 10","13,015","13,090","13,090","12,975","185.02K","-1.14%"
"2023- 04- 09","13,165","13,165","13,165","13,165","","0.00%"
"2023- 04- 07","13,165","13,115","13,165","13,055","62.81K","0.11%"
"2023- 04- 06","13,150","13,190","13,190","13,105","413.25K","-0.57%"
"2023- 04- 05","13,225","13,195","13,225","13,185","192.46K","2.32%"
"2023- 04- 04","12,925","12,955","12,960","12,910","195.30K","1.25%"
"2023- 04- 03","12,765","12,780","12,830","12,730","176.53K","-1.39%"
"2023- 03- 31","12,945","12,915","12,955","12,910","153.61K","0.78%"
"2023- 03- 30","12,845","12,815","12,850","12,770","566.11K","0.31%"
"2023- 03- 29","12,805","12,880","12,890","12,805","319.39K","0.23%"
"2023- 03- 28","12,775","12,795","12,830","12,765","1.11M","-0.70%"
"2023- 03- 27","12,865","12,920","12,940","12,860","260.85K","-1.04%"
"2023- 03- 24","13,000","13,025","13,050","13,000","173.78K","0.27%"
"2023- 03- 23","12,965","12,880","12,965","12,855","389.44K","2.09%"
"2023- 03- 22","12,700","12,710","12,735","12,675","238.87K","-1.82%"
"2023- 03- 21","12,935","12,930","12,980","12,915","207.59K","-0.61%"
"2023- 03- 20","13,015","12,925","13,040","12,880","308.41K","2.97%"
"2023- 03- 17","12,640","12,565","12,640","12,545","104.90K","0.80%"
"2023- 03- 16","12,540","12,575","12,595","12,485","218.34K","0.88%"
"2023- 03- 15","12,430","12,440","12,470","12,425","130.40K","-0.52%"
"2023- 03- 14","12,495","12,515","12,535","12,445","185.84K","1.67%"
"2023- 03- 13","12,290","12,275","12,360","12,250","202.89K","2.46%"
"2023- 03- 10","11,995","11,985","12,015","11,960","93.27K","1.01%"
"2023- 03- 09","11,875","11,875","11,885","11,855","118.09K","0.08%"
"2023- 03- 08","11,865","11,875","11,880","11,845","60.74K","-2.02%"
"2023- 03- 07","12,110","12,100","12,130","12,085","122.31K","-0.33%"
"2023- 03- 06","12,150","12,135","12,165","12,130","140.24K","0.66%"
"2023- 03- 03","12,070","12,055","12,070","12,040","185.31K","0.46%"
"2023- 03- 02","12,015","12,035","12,045","12,000","103.52K","1.05%"
"2023- 02- 28","11,890","11,905","11,925","11,875","96.83K","0.21%"
"2023- 02- 27","11,865","11,875","11,895","11,845","130.71K","-0.88%"
"2023- 02- 24","11,970","11,950","11,980","11,950","73.21K","-0.29%"
"2023- 02- 23","12,005","11,960","12,005","11,955","60.50K","-0.37%"
"2023- 02- 22","12,050","12,040","12,065","12,035","38.46K","-0.12%"
"2023- 02- 21","12,065","12,075","12,100","12,050","48.01K","-0.25%"
"2023- 02- 20","12,095","12,055","12,105","12,050","83.48K","1.04%"
"2023- 02- 17","11,970","12,025","12,030","11,965","124.33K","-0.62%"
"2023- 02- 16","12,045","12,055","12,090","12,040","87.54K","-0.62%"
"2023- 02- 15","12,120","12,180","12,210","12,110","151.80K","-0.78%"
"2023- 02- 14","12,215","12,170","12,215","12,170","70.63K","-0.16%"
"2023- 02- 13","12,235","12,225","12,240","12,195","99.44K","0.20%"
"2023- 02- 10","12,210","12,215","12,250","12,165","168.55K","-1.13%"
"2023- 02- 09","12,350","12,315","12,355","12,295","67.80K","0.08%"
"2023- 02- 08","12,340","12,305","12,345","12,300","65.02K","0.20%"
"2023- 02- 07","12,315","12,270","12,320","12,270","122.24K","-0.28%"
"2023- 02- 06","12,350","12,260","12,350","12,250","177.74K","-1.98%"
"2023- 02- 05","12,600","12,600","12,600","12,600","","0.00%"
"2023- 02- 03","12,600","12,600","12,620","12,590","237.06K","-1.87%"
"2023- 02- 02","12,840","12,860","12,880","12,835","360.05K","1.26%"
"2023- 02- 01","12,680","12,675","12,690","12,665","210.77K","0.67%"
"2023- 01- 31","12,595","12,645","12,675","12,575","161.21K","-0.83%"
"2023- 01- 30","12,700","12,690","12,725","12,660","296.19K","0.24%"
"2023- 01- 27","12,670","12,710","12,740","12,640","235.21K","-1.21%"
"2023- 01- 26","12,825","12,830","12,835","12,785","176.62K","0.90%"
"2023- 01- 25","12,710","12,755","12,775","12,680","217.57K","0.08%"
"2023- 01- 24","12,700","12,700","12,700","12,700","","0.00%"
"2023- 01- 20","12,700","12,715","12,745","12,665","251.57K","1.03%"
"2023- 01- 19","12,570","12,550","12,580","12,510","117.34K","0.32%"
"2023- 01- 18","12,530","12,580","12,585","12,490","238.10K","-0.44%"
"2023- 01- 17","12,585","12,635","12,645","12,565","128.08K","-0.40%"
"2023- 01- 16","12,635","12,630","12,710","12,630","135.91K","1.20%"
"2023- 01- 13","12,485","12,505","12,530","12,465","109.21K","0.52%"
"2023- 01- 12","12,420","12,375","12,425","12,360","76.05K","0.00%"
"2023- 01- 11","12,420","12,380","12,430","12,340","147.30K","0.57%"
"2023- 01- 10","12,350","12,330","12,370","12,315","170.22K","-0.32%"
"2023- 01- 09","12,390","12,325","12,400","12,310","171.44K","2.19%"
"2023- 01- 06","12,125","12,090","12,140","12,075","144.43K","-0.86%"
"2023- 01- 05","12,230","12,235","12,260","12,200","168.43K","0.25%"
"2023- 01- 04","12,200","12,120","12,200","12,115","252.21K","0.33%"
"2023- 01- 03","12,160","12,075","12,170","12,055","315.15K","-0.49%"
"2023- 01- 02","12,220","12,005","12,230","11,970","80.50K","2.39%"
"2022- 12- 29","11,935","11,910","11,940","11,900","58.05K","-0.13%"
"2022- 12- 28","11,950","11,960","11,975","11,940","117.27K","0.21%"
"2022- 12- 27","11,925","11,895","11,935","11,885","183.08K","0.34%"
"2022- 12- 26","11,885","11,865","11,900","11,830","55.09K","0.30%"
"2022- 12- 23","11,850","11,845","11,855","11,820","92.95K","-1.33%"
"2022- 12- 22","12,010","11,990","12,020","11,985","91.49K","0.08%"
"2022- 12- 21","12,000","12,005","12,025","11,980","102.37K","1.39%"
"2022- 12- 20","11,835","11,800","11,865","11,790","114.86K","-0.08%"
"2022- 12- 19","11,845","11,825","11,870","11,825","76.70K","0.59%"
"2022- 12- 16","11,775","11,730","11,795","11,730","110.09K","-0.63%"
"2022- 12- 15","11,850","11,955","11,955","11,825","144.89K","-1.09%"
"2022- 12- 14","11,980","11,965","11,990","11,960","150.89K","1.48%"
"2022- 12- 13","11,805","11,785","11,810","11,770","88.35K","-0.13%"
"2022- 12- 12","11,820","11,865","11,865","11,805","148.47K","-0.46%"
"2022- 12- 09","11,875","11,830","11,895","11,825","83.93K","0.55%"
"2022- 12- 08","11,810","11,820","11,830","11,780","189.61K","0.77%"
"2022- 12- 07","11,720","11,710","11,735","11,695","86.33K","0.09%"
"2022- 12- 06","11,710","11,700","11,750","11,695","254.05K","-2.01%"
"2022- 12- 05","11,950","11,905","11,975","11,900","145.01K","0.17%"
"2022- 12- 02","11,930","11,940","11,945","11,900","147.36K","1.10%"
"2022- 12- 01","11,800","11,740","11,800","11,735","136.16K","1.59%"
"2022- 11- 30","11,615","11,575","11,625","11,565","49.42K","0.00%"
"2022- 11- 29","11,615","11,530","11,625","11,530","154.37K","0.04%"
"2022- 11- 28","11,610","11,600","11,630","11,570","57.89K","-0.26%"
"2022- 11- 25","11,640","11,625","11,675","11,610","146.55K","0.13%"
"2022- 11- 24","11,625","11,610","11,645","11,605","88.79K","1.00%"
"2022- 11- 23","11,510","11,530","11,545","11,485","108.42K","-0.30%"
"2022- 11- 22","11,545","11,525","11,565","11,515","83.46K","-0.30%"
"2022- 11- 21","11,580","11,625","11,625","11,560","107.34K","-1.03%"
"2022- 11- 18","11,700","11,665","11,710","11,665","119.82K","-0.09%"
