"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","110,310","111,055","111,055","110,240","9.13K","-0.67%"
"2023- 05- 24","111,050","111,160","111,610","111,050","9.20K","-0.16%"
"2023- 05- 23","111,225","111,885","111,885","111,225","11.55K","-0.59%"
"2023- 05- 22","111,885","112,200","112,200","111,580","17.04K","0.21%"
"2023- 05- 19","111,655","111,095","111,700","111,010","10.63K","-0.28%"
"2023- 05- 18","111,970","112,450","112,450","111,900","18.70K","-0.43%"
"2023- 05- 17","112,450","112,595","112,595","112,190","8.70K","-0.09%"
"2023- 05- 16","112,550","111,900","112,550","111,900","13.05K","0.28%"
"2023- 05- 15","112,240","112,875","112,875","112,205","10.16K","-0.56%"
"2023- 05- 12","112,875","112,760","113,100","112,685","12.94K","0.17%"
"2023- 05- 11","112,680","112,750","112,760","112,510","10.04K","0.40%"
"2023- 05- 10","112,230","112,700","112,700","112,120","40.32K","-0.24%"
"2023- 05- 09","112,495","112,475","112,495","112,015","9.45K","0.04%"
"2023- 05- 08","112,450","112,595","112,595","112,005","22.13K","-0.25%"
"2023- 05- 04","112,730","112,615","112,870","112,550","15.28K","0.41%"
"2023- 05- 03","112,275","111,840","112,450","111,840","30.71K","0.40%"
"2023- 05- 02","111,830","111,960","112,995","111,445","36.12K","-0.14%"
"2023- 04- 28","111,990","112,040","112,040","111,420","22.12K","-0.05%"
"2023- 04- 27","112,050","112,380","112,460","112,015","24.06K","-0.29%"
"2023- 04- 26","112,380","112,595","112,785","112,300","15.96K","0.12%"
"2023- 04- 25","112,240","112,990","112,990","112,155","31.49K","-0.13%"
"2023- 04- 24","112,390","112,950","112,950","111,955","20.16K","0.29%"
"2023- 04- 21","112,060","110,800","112,145","110,800","27.45K","0.61%"
"2023- 04- 20","111,385","111,250","111,690","111,020","19.00K","-0.27%"
"2023- 04- 19","111,690","112,990","112,990","111,505","12.37K","-0.15%"
"2023- 04- 18","111,860","112,505","112,505","111,400","12.18K","-0.02%"
"2023- 04- 17","111,885","112,475","112,475","111,805","26.78K","-0.52%"
"2023- 04- 14","112,475","112,195","112,555","112,065","16.52K","0.02%"
"2023- 04- 13","112,455","112,480","112,670","112,135","11.67K","-0.02%"
"2023- 04- 12","112,480","112,550","112,715","112,350","9.84K","-0.06%"
"2023- 04- 11","112,550","112,695","113,000","112,410","21.31K","-0.13%"
"2023- 04- 10","112,700","112,310","112,815","111,940","14.00K","0.41%"
"2023- 04- 07","112,245","113,300","113,300","112,000","25.34K","-0.11%"
"2023- 04- 06","112,370","112,120","112,650","112,070","14.54K","0.37%"
"2023- 04- 05","111,955","111,960","112,505","111,955","15.72K","0.00%"
"2023- 04- 04","111,955","111,680","112,115","111,400","26.67K","0.61%"
"2023- 04- 03","111,275","112,000","112,000","111,210","28.50K","-0.46%"
"2023- 03- 31","111,790","111,870","111,975","111,600","11.16K","-0.07%"
"2023- 03- 30","111,870","112,005","112,230","111,650","11.12K","-0.14%"
"2023- 03- 29","112,025","113,090","113,090","111,650","12.13K","-0.16%"
"2023- 03- 28","112,205","112,930","112,930","112,070","13.50K","-0.12%"
"2023- 03- 27","112,340","113,000","113,250","112,290","21.05K","-0.36%"
"2023- 03- 24","112,750","112,210","112,870","112,210","12.61K","0.49%"
"2023- 03- 23","112,205","112,630","112,630","111,795","14.88K","0.14%"
"2023- 03- 22","112,045","111,500","112,050","111,500","11.49K","0.10%"
"2023- 03- 21","111,935","111,135","112,550","111,135","19.29K","0.09%"
"2023- 03- 20","111,835","111,000","111,865","111,000","19.23K","0.77%"
