"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","349.98","352.71","353.93","348.53","71.48M","0.45%"
"05/26/2023","348.40","340.76","349.24","340.66","63.01M","2.56%"
"05/25/2023","339.72","339.14","341.01","336.67","66.41M","2.43%"
"05/24/2023","331.65","331.37","332.90","329.56","59.58M","-0.51%"
"05/23/2023","333.36","335.89","337.06","333.00","47.55M","-1.27%"
"05/22/2023","337.64","336.25","338.67","336.24","42.29M","0.34%"
"05/19/2023","336.51","337.49","338.20","335.43","61.55M","-0.23%"
"05/18/2023","337.27","331.52","337.49","331.50","63.14M","1.86%"
"05/17/2023","331.12","328.24","331.71","327.04","47.11M","1.21%"
"05/16/2023","327.16","326.06","328.90","326.02","39.60M","0.11%"
"05/15/2023","326.79","325.51","327.03","323.96","33.15M","0.54%"
"05/12/2023","325.03","326.74","327.17","322.94","48.43M","-0.36%"
"05/11/2023","326.20","325.70","326.75","324.12","43.74M","0.33%"
"05/10/2023","325.14","324.12","326.01","321.60","60.07M","1.09%"
"05/09/2023","321.64","322.00","322.88","321.32","31.39M","-0.63%"
"05/08/2023","323.69","322.42","324.04","321.32","36.47M","0.25%"
"05/05/2023","322.89","318.47","323.76","316.21","51.81M","2.13%"
"05/04/2023","316.17","317.06","318.23","315.11","48.69M","-0.35%"
"05/03/2023","317.29","319.75","322.47","317.18","58.00M","-0.65%"
"05/02/2023","319.38","322.12","322.45","317.61","55.70M","-0.87%"
"05/01/2023","322.19","322.09","323.63","321.09","40.30M","-0.11%"
"04/28/2023","322.56","320.11","322.65","318.96","59.71M","0.69%"
"04/27/2023","320.35","315.70","320.86","315.05","62.64M","2.72%"
"04/26/2023","311.87","313.44","314.93","311.34","53.43M","0.61%"
"04/25/2023","309.99","314.29","314.97","309.89","54.77M","-1.89%"
"04/24/2023","315.95","316.38","317.74","313.74","44.04M","-0.21%"
"04/21/2023","316.61","315.88","317.39","314.12","59.00M","0.10%"
"04/20/2023","316.28","315.69","319.27","314.97","62.08M","-0.76%"
"04/19/2023","318.71","316.41","319.79","316.28","38.96M","-0.05%"
"04/18/2023","318.86","320.99","321.42","317.64","46.10M","0.01%"
"04/17/2023","318.84","318.15","319.20","316.04","42.55M","0.08%"
"04/14/2023","318.57","317.69","320.33","315.66","56.28M","-0.19%"
"04/13/2023","319.17","314.83","319.65","314.64","53.55M","1.96%"
"04/12/2023","313.04","317.82","318.42","312.57","62.44M","-0.88%"
"04/11/2023","315.83","317.83","317.89","315.31","39.73M","-0.64%"
"04/10/2023","317.87","315.07","317.92","313.25","42.29M","-0.06%"
"04/06/2023","318.05","314.10","318.52","312.92","46.92M","0.67%"
"04/05/2023","315.92","318.10","319.06","314.07","62.24M","-0.99%"
"04/04/2023","319.07","320.60","321.63","317.83","45.40M","-0.34%"
"04/03/2023","320.15","318.77","320.42","317.42","46.57M","-0.24%"
"03/31/2023","320.93","315.91","321.17","315.60","62.14M","1.66%"
"03/30/2023","315.68","315.24","316.32","312.81","57.04M","0.95%"
"03/29/2023","312.72","310.88","313.35","310.05","52.91M","1.82%"
"03/28/2023","307.12","308.17","308.20","304.77","47.93M","-0.53%"
"03/27/2023","308.76","311.60","312.70","307.89","49.54M","-0.69%"
"03/24/2023","310.89","309.32","310.99","306.95","57.25M","0.37%"
"03/23/2023","309.75","309.92","314.15","307.01","73.52M","1.19%"
"03/22/2023","306.12","310.27","315.25","305.95","74.96M","-1.36%"
"03/21/2023","310.34","307.94","310.80","306.39","48.78M","1.43%"
"03/20/2023","305.97","304.26","306.30","302.01","55.88M","0.20%"
"03/17/2023","305.36","306.72","309.15","303.37","89.92M","-0.47%"
"03/16/2023","306.81","298.00","307.18","297.19","98.56M","2.64%"
"03/15/2023","298.93","294.71","299.27","293.24","82.93M","0.52%"
"03/14/2023","297.37","294.31","297.93","293.45","73.13M","2.30%"
"03/13/2023","290.69","286.73","294.47","285.19","96.27M","0.74%"
"03/10/2023","288.55","292.83","294.35","287.38","98.59M","-1.40%"
"03/09/2023","292.66","298.33","300.98","291.83","70.02M","-1.73%"
"03/08/2023","297.82","296.77","298.43","294.88","50.88M","0.50%"
"03/07/2023","296.34","300.07","301.01","295.72","65.96M","-1.23%"
"03/06/2023","300.02","300.94","304.00","299.82","56.74M","0.11%"
"03/03/2023","299.68","295.42","299.90","294.89","60.51M","2.07%"
"03/02/2023","293.61","288.66","294.43","288.37","52.90M","0.83%"
"03/01/2023","291.20","293.26","293.93","290.20","57.62M","-0.80%"
"02/28/2023","293.56","293.30","296.12","292.96","48.24M","-0.13%"
"02/27/2023","293.94","295.07","296.49","293.34","49.00M","0.72%"
"02/24/2023","291.85","291.48","292.85","290.08","74.33M","-1.67%"
"02/23/2023","296.82","297.97","298.13","292.55","68.51M","0.87%"
"02/22/2023","294.25","294.62","296.36","292.56","50.28M","0.07%"
"02/21/2023","294.03","297.26","298.73","293.89","46.21M","-2.37%"
"02/17/2023","301.16","301.07","301.93","298.10","58.23M","-0.71%"
"02/16/2023","303.30","304.38","308.43","303.15","58.54M","-1.88%"
"02/15/2023","309.10","304.90","309.27","304.20","42.71M","0.77%"
"02/14/2023","306.75","302.89","307.72","300.91","63.30M","0.74%"
