"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 30","110.39","110.40","110.41","110.38","2.98M","0.01%"
"2023- 05- 26","110.38","110.38","110.39","110.38","1.51M","0.02%"
"2023- 05- 25","110.36","110.37","110.38","110.36","2.08M","0.05%"
"2023- 05- 24","110.31","110.32","110.33","110.31","2.86M","0.00%"
"2023- 05- 23","110.31","110.29","110.32","110.29","5.27M","0.02%"
"2023- 05- 22","110.29","110.29","110.30","110.28","1.99M","0.00%"
"2023- 05- 19","110.29","110.29","110.30","110.28","2.01M","0.00%"
"2023- 05- 18","110.29","110.29","110.30","110.28","1.69M","0.03%"
"2023- 05- 17","110.26","110.26","110.27","110.25","2.63M","0.02%"
"2023- 05- 16","110.24","110.25","110.26","110.24","3.75M","0.00%"
"2023- 05- 15","110.24","110.24","110.26","110.24","3.07M","0.01%"
"2023- 05- 12","110.23","110.25","110.25","110.23","14.74M","0.00%"
"2023- 05- 11","110.23","110.24","110.25","110.23","17.22M","0.04%"
"2023- 05- 10","110.19","110.18","110.19","110.17","1.79M","0.04%"
"2023- 05- 09","110.15","110.17","110.17","110.15","1.49M","0.00%"
"2023- 05- 08","110.15","110.14","110.16","110.14","1.91M","0.01%"
"2023- 05- 05","110.14","110.14","110.15","110.13","2.29M","-0.01%"
"2023- 05- 04","110.15","110.13","110.16","110.13","3.22M","0.05%"
"2023- 05- 03","110.09","110.10","110.10","110.08","2.22M","0.02%"
"2023- 05- 02","110.07","110.06","110.08","110.05","1.90M","0.03%"
"2023- 05- 01","110.04","110.07","110.07","110.04","2.05M","-0.37%"
"2023- 04- 28","110.45","110.44","110.45","110.43","2.05M","0.01%"
"2023- 04- 27","110.44","110.44","110.44","110.43","2.13M","0.02%"
"2023- 04- 26","110.42","110.42","110.42","110.40","1.93M","0.01%"
"2023- 04- 25","110.41","110.40","110.41","110.39","1.89M","0.03%"
"2023- 04- 24","110.38","110.38","110.39","110.37","2.17M","0.01%"
"2023- 04- 21","110.37","110.37","110.38","110.36","1.73M","0.01%"
"2023- 04- 20","110.36","110.34","110.36","110.34","1.30M","0.05%"
"2023- 04- 19","110.30","110.29","110.30","110.28","1.61M","0.01%"
"2023- 04- 18","110.29","110.28","110.30","110.27","1.82M","0.02%"
"2023- 04- 17","110.27","110.27","110.27","110.26","1.94M","0.01%"
"2023- 04- 14","110.26","110.28","110.28","110.26","1.46M","-0.02%"
"2023- 04- 13","110.28","110.28","110.29","110.27","2.30M","0.05%"
"2023- 04- 12","110.22","110.24","110.24","110.22","1.88M","0.01%"
"2023- 04- 11","110.21","110.21","110.21","110.20","2.70M","0.02%"
"2023- 04- 10","110.19","110.20","110.20","110.18","3.31M","-0.01%"
"2023- 04- 06","110.20","110.22","110.23","110.20","2.21M","0.00%"
"2023- 04- 05","110.20","110.21","110.22","110.20","4.10M","0.05%"
"2023- 04- 04","110.14","110.12","110.17","110.12","2.69M","0.04%"
"2023- 04- 03","110.10","110.11","110.12","110.09","4.12M","-0.36%"
"2023- 03- 31","110.50","110.49","110.50","110.48","2.60M","0.01%"
"2023- 03- 30","110.49","110.49","110.50","110.48","2.77M","0.02%"
"2023- 03- 29","110.47","110.47","110.47","110.45","1.93M","0.01%"
"2023- 03- 28","110.46","110.46","110.47","110.45","4.80M","0.00%"
"2023- 03- 27","110.45","110.44","110.45","110.44","3.96M","0.00%"
"2023- 03- 24","110.45","110.48","110.49","110.45","3.14M","0.01%"
"2023- 03- 23","110.44","110.41","110.44","110.40","2.28M","0.06%"
"2023- 03- 22","110.37","110.34","110.37","110.33","1.81M","0.04%"
"2023- 03- 21","110.33","110.34","110.34","110.32","3.50M","-0.03%"
"2023- 03- 20","110.36","110.37","110.38","110.34","3.54M","-0.02%"
"2023- 03- 17","110.38","110.31","110.38","110.31","2.51M","0.07%"
"2023- 03- 16","110.30","110.35","110.35","110.29","4.02M","-0.01%"
"2023- 03- 15","110.31","110.32","110.33","110.29","5.12M","0.10%"
"2023- 03- 14","110.20","110.21","110.22","110.19","22.11M","-0.05%"
"2023- 03- 13","110.26","110.24","110.27","110.21","6.51M","0.12%"
"2023- 03- 10","110.13","110.10","110.13","110.10","3.79M","0.05%"
"2023- 03- 09","110.08","110.06","110.08","110.05","2.53M","0.05%"
"2023- 03- 08","110.02","110.03","110.03","110.01","2.50M","0.01%"
"2023- 03- 07","110.01","110.03","110.05","110.00","3.04M","-0.02%"
"2023- 03- 06","110.03","110.03","110.03","110.02","1.89M","0.01%"
"2023- 03- 03","110.02","110.01","110.02","110.00","2.28M","0.01%"
"2023- 03- 02","110.01","110.00","110.01","109.98","3.61M","0.05%"
"2023- 03- 01","109.96","109.97","109.97","109.95","4.16M","-0.24%"
"2023- 02- 28","110.23","110.24","110.24","110.23","2.28M","0.00%"
"2023- 02- 27","110.23","110.22","110.23","110.21","4.19M","0.02%"
"2023- 02- 24","110.21","110.20","110.21","110.19","3.54M","0.01%"
"2023- 02- 23","110.20","110.18","110.20","110.18","3.28M","0.04%"
"2023- 02- 22","110.16","110.14","110.16","110.14","12.70M","0.03%"
"2023- 02- 21","110.13","110.13","110.14","110.12","15.88M","0.00%"
"2023- 02- 17","110.13","110.13","110.13","110.11","3.31M","0.01%"
"2023- 02- 16","110.12","110.12","110.13","110.11","8.16M","0.05%"
"2023- 02- 15","110.07","110.05","110.07","110.05","5.31M","0.01%"
"2023- 02- 14","110.06","110.05","110.06","110.04","8.27M","0.00%"
"2023- 02- 13","110.06","110.05","110.06","110.04","4.79M","0.03%"
"2023- 02- 10","110.03","110.04","110.05","110.03","3.60M","0.00%"
"2023- 02- 09","110.03","110.03","110.04","110.02","2.55M","0.04%"
"2023- 02- 08","109.99","110.00","110.00","109.99","1.39M","0.02%"
"2023- 02- 07","109.97","109.98","109.99","109.97","4.22M","0.01%"
"2023- 02- 06","109.96","109.96","109.98","109.96","1.44M","0.00%"
"2023- 02- 03","109.96","109.97","109.98","109.96","3.70M","-0.02%"
"2023- 02- 02","109.98","109.98","109.99","109.97","4.20M","0.04%"
"2023- 02- 01","109.94","109.93","109.95","109.92","3.77M","-0.31%"
"2023- 01- 31","110.28","110.28","110.29","110.28","2.32M","0.01%"
"2023- 01- 30","110.27","110.27","110.27","110.26","1.54M","0.01%"
"2023- 01- 27","110.26","110.25","110.26","110.25","2.69M","0.01%"
"2023- 01- 26","110.25","110.25","110.25","110.24","2.60M","0.03%"
"2023- 01- 25","110.22","110.20","110.22","110.20","2.35M","0.04%"
"2023- 01- 24","110.18","110.19","110.19","110.18","1.50M","0.01%"
"2023- 01- 23","110.17","110.17","110.18","110.16","3.02M","0.00%"
"2023- 01- 20","110.17","110.15","110.17","110.15","2.65M","0.02%"
"2023- 01- 19","110.15","110.16","110.16","110.15","1.77M","0.03%"
"2023- 01- 18","110.12","110.11","110.13","110.11","1.58M","0.01%"
"2023- 01- 17","110.11","110.09","110.11","110.09","3.25M","0.03%"
"2023- 01- 13","110.08","110.09","110.09","110.08","1.53M","0.00%"
"2023- 01- 12","110.08","110.07","110.08","110.07","2.65M","0.05%"
"2023- 01- 11","110.02","110.00","110.02","110.00","2.88M","0.03%"
"2023- 01- 10","109.99","110.00","110.00","109.98","4.74M","-0.01%"
"2023- 01- 09","110.00","110.00","110.00","109.98","2.29M","0.01%"
"2023- 01- 06","109.99","109.97","109.99","109.97","2.68M","0.02%"
"2023- 01- 05","109.97","109.96","109.97","109.96","1.94M","0.02%"
"2023- 01- 04","109.95","109.95","109.95","109.94","2.46M","0.01%"
"2023- 01- 03","109.94","109.93","109.94","109.92","6.85M","0.02%"
"2022- 12- 30","109.92","109.93","109.93","109.91","4.05M","0.00%"
"2022- 12- 29","109.93","109.92","109.93","109.92","6.56M","0.05%"
"2022- 12- 28","109.87","109.87","109.88","109.87","1.75M","0.02%"
"2022- 12- 27","109.85","109.87","109.87","109.85","3.40M","0.00%"
"2022- 12- 23","109.85","109.86","109.86","109.85","1.35M","-0.01%"
"2022- 12- 22","109.86","109.84","109.86","109.84","2.72M","0.05%"
"2022- 12- 21","109.81","109.80","109.81","109.79","2.61M","0.02%"
"2022- 12- 20","109.79","109.78","109.79","109.77","7.14M","0.02%"
"2022- 12- 19","109.77","109.76","109.77","109.76","2.85M","0.01%"
"2022- 12- 16","109.76","109.75","109.76","109.74","5.76M","0.02%"
"2022- 12- 15","109.74","109.74","109.74","109.73","3.19M","-0.24%"
"2022- 12- 14","110.00","110.01","110.03","109.99","2.64M","-0.01%"
"2022- 12- 13","110.01","110.01","110.01","110.00","2.59M","0.04%"
"2022- 12- 12","109.97","109.98","109.98","109.97","1.09M","0.00%"
"2022- 12- 09","109.97","109.97","109.98","109.96","1.95M","0.00%"
"2022- 12- 08","109.97","109.95","109.97","109.95","2.18M","0.04%"
"2022- 12- 07","109.93","109.91","109.93","109.91","2.35M","0.04%"
"2022- 12- 06","109.89","109.88","109.90","109.88","2.46M","0.02%"
"2022- 12- 05","109.87","109.87","109.88","109.86","3.47M","0.01%"
"2022- 12- 02","109.86","109.85","109.88","109.85","2.27M","-0.01%"
"2022- 12- 01","109.87","109.84","109.87","109.84","4.82M","-0.21%"
"2022- 11- 30","110.10","110.08","110.10","110.08","2.66M","0.01%"
"2022- 11- 29","110.09","110.08","110.09","110.07","2.00M","0.03%"
"2022- 11- 28","110.06","110.06","110.07","110.05","1.94M","0.01%"
"2022- 11- 25","110.05","110.04","110.05","110.04","843.27K","0.01%"
"2022- 11- 23","110.04","110.03","110.04","110.02","1.59M","0.04%"
"2022- 11- 22","110.00","110.00","110.01","110.00","1.77M","0.03%"
"2022- 11- 21","109.97","109.99","109.99","109.97","1.95M","0.00%"
"2022- 11- 18","109.97","109.97","109.98","109.97","1.21M","0.01%"
"2022- 11- 17","109.96","109.96","109.98","109.96","1.73M","0.01%"
"2022- 11- 16","109.95","109.94","109.95","109.93","3.01M","0.01%"
"2022- 11- 15","109.94","109.93","109.94","109.93","2.75M","0.03%"
"2022- 11- 14","109.91","109.93","109.93","109.91","2.49M","-0.01%"
"2022- 11- 11","109.92","109.92","109.94","109.92","3.94M","-0.01%"
"2022- 11- 10","109.93","109.93","109.93","109.91","18.53M","0.05%"
"2022- 11- 09","109.88","109.89","109.90","109.88","2.36M","0.04%"
"2022- 11- 08","109.84","109.83","109.85","109.83","4.42M","0.01%"
"2022- 11- 07","109.83","109.83","109.83","109.81","3.30M","0.01%"
"2022- 11- 04","109.82","109.81","109.83","109.81","2.36M","0.01%"
"2022- 11- 03","109.81","109.80","109.81","109.79","3.00M","0.04%"
"2022- 11- 02","109.76","109.77","109.78","109.76","1.91M","0.00%"
"2022- 11- 01","109.76","109.76","109.78","109.75","21.54M","-0.19%"
"2022- 10- 31","109.97","110.01","110.01","109.97","3.15M","-0.02%"
"2022- 10- 28","109.99","110.01","110.01","109.99","22.09M","-0.01%"
"2022- 10- 27","110.00","110.00","110.01","109.99","2.99M","0.02%"
"2022- 10- 26","109.98","109.98","109.98","109.97","2.99M","0.01%"
"2022- 10- 25","109.97","109.96","109.97","109.96","3.61M","0.02%"
"2022- 10- 24","109.95","109.96","109.96","109.95","1.81M","0.00%"
"2022- 10- 21","109.95","109.94","109.96","109.94","3.97M","0.02%"
"2022- 10- 20","109.93","109.94","109.94","109.92","2.17M","0.02%"
"2022- 10- 19","109.91","109.92","109.92","109.91","2.58M","-0.01%"
"2022- 10- 18","109.92","109.92","109.93","109.91","3.32M","0.02%"
"2022- 10- 17","109.90","109.92","109.92","109.90","3.06M","-0.01%"
"2022- 10- 14","109.91","109.91","109.92","109.90","1.95M","0.00%"
"2022- 10- 13","109.91","109.91","109.91","109.89","3.12M","0.00%"
"2022- 10- 12","109.91","109.90","109.91","109.89","1.90M","0.01%"
"2022- 10- 11","109.90","109.89","109.90","109.88","2.71M","0.00%"
"2022- 10- 10","109.90","109.90","109.91","109.89","1.41M","0.01%"
"2022- 10- 07","109.89","109.89","109.89","109.88","2.16M","0.01%"
"2022- 10- 06","109.88","109.89","109.89","109.88","2.60M","0.01%"
"2022- 10- 05","109.87","109.86","109.87","109.85","3.37M","0.01%"
"2022- 10- 04","109.86","109.85","109.86","109.84","3.86M","0.03%"
"2022- 10- 03","109.83","109.84","109.85","109.83","4.20M","-0.15%"
"2022- 09- 30","110.00","110.03","110.04","110.00","3.14M","-0.04%"
"2022- 09- 29","110.04","110.03","110.04","110.01","4.13M","0.03%"
"2022- 09- 28","110.01","110.02","110.02","110.00","3.14M","0.04%"
"2022- 09- 27","109.97","110.00","110.00","109.97","5.47M","-0.01%"
"2022- 09- 26","109.98","109.98","109.98","109.96","3.71M","0.00%"
"2022- 09- 23","109.98","109.97","109.98","109.96","5.86M","0.01%"
"2022- 09- 22","109.97","109.96","109.98","109.96","3.53M","0.02%"
"2022- 09- 21","109.95","109.96","109.96","109.93","2.43M","0.00%"
"2022- 09- 20","109.95","109.94","109.95","109.94","2.55M","0.02%"
"2022- 09- 19","109.93","109.94","109.95","109.93","2.39M","-0.01%"
"2022- 09- 16","109.94","109.93","109.95","109.93","3.19M","0.01%"
"2022- 09- 15","109.93","109.94","109.94","109.93","2.02M","0.01%"
"2022- 09- 14","109.92","109.93","109.93","109.92","1.53M","0.00%"
"2022- 09- 13","109.92","109.94","109.95","109.92","2.97M","-0.05%"
"2022- 09- 12","109.98","109.99","109.99","109.97","3.73M","0.00%"
"2022- 09- 09","109.98","109.98","109.99","109.96","4.48M","0.00%"
"2022- 09- 08","109.98","109.99","110.00","109.98","2.12M","0.00%"
"2022- 09- 07","109.97","109.98","109.98","109.97","3.22M","0.00%"
"2022- 09- 06","109.98","109.98","109.99","109.96","16.10M","0.01%"
"2022- 09- 02","109.97","109.98","109.99","109.97","6.29M","0.00%"
"2022- 09- 01","109.97","109.97","109.98","109.96","4.75M","-0.15%"
"2022- 08- 31","110.13","110.12","110.13","110.12","3.84M","0.00%"
"2022- 08- 30","110.13","110.14","110.14","110.12","27.65M","0.02%"
"2022- 08- 29","110.11","110.11","110.12","110.10","3.78M","-0.01%"
"2022- 08- 26","110.12","110.12","110.12","110.11","1.44M","0.01%"
"2022- 08- 25","110.11","110.12","110.12","110.11","1.22M","0.02%"
"2022- 08- 24","110.09","110.10","110.11","110.09","3.99M","-0.01%"
"2022- 08- 23","110.10","110.09","110.11","110.08","3.30M","0.01%"
"2022- 08- 22","110.09","110.09","110.09","110.08","2.39M","0.00%"
"2022- 08- 19","110.09","110.08","110.10","110.08","3.32M","0.01%"
"2022- 08- 18","110.08","110.09","110.10","110.07","3.02M","0.03%"
"2022- 08- 17","110.05","110.06","110.06","110.04","7.65M","0.00%"
"2022- 08- 16","110.05","110.05","110.06","110.04","2.17M","0.01%"
"2022- 08- 15","110.04","110.04","110.05","110.04","4.11M","0.00%"
"2022- 08- 12","110.04","110.05","110.05","110.03","3.31M","0.01%"
"2022- 08- 11","110.03","110.03","110.05","110.02","2.42M","0.02%"
"2022- 08- 10","110.01","110.01","110.03","110.01","3.77M","0.03%"
"2022- 08- 09","109.98","109.98","109.99","109.97","2.75M","0.00%"
"2022- 08- 08","109.98","109.98","110.00","109.98","1.80M","0.00%"
"2022- 08- 05","109.98","110.00","110.00","109.97","1.33M","-0.02%"
"2022- 08- 04","110.00","110.01","110.02","110.00","2.34M","0.01%"
"2022- 08- 03","109.99","109.98","109.99","109.96","2.76M","0.03%"
"2022- 08- 02","109.96","109.99","110.00","109.96","2.36M","-0.01%"
"2022- 08- 01","109.97","109.97","109.99","109.97","3.94M","-0.14%"
"2022- 07- 29","110.12","110.11","110.12","110.10","2.91M","0.01%"
"2022- 07- 28","110.11","110.10","110.11","110.09","2.95M","0.03%"
"2022- 07- 27","110.08","110.06","110.09","110.05","1.52M","0.02%"
"2022- 07- 26","110.06","110.06","110.07","110.05","3.28M","0.02%"
"2022- 07- 25","110.04","110.06","110.06","110.04","2.53M","-0.02%"
"2022- 07- 22","110.06","110.04","110.08","110.04","4.12M","0.02%"
"2022- 07- 21","110.04","110.02","110.04","110.01","3.50M","0.03%"
"2022- 07- 20","110.01","110.01","110.02","110.00","2.47M","0.01%"
"2022- 07- 19","110.00","110.01","110.02","109.99","2.04M","0.00%"
"2022- 07- 18","110.00","110.01","110.02","109.99","1.67M","-0.01%"
"2022- 07- 15","110.01","110.01","110.02","110.00","1.40M","0.01%"
"2022- 07- 14","110.00","109.95","110.00","109.95","2.22M","0.03%"
"2022- 07- 13","109.97","110.00","110.00","109.96","2.19M","-0.02%"
"2022- 07- 12","109.99","110.01","110.02","109.99","3.35M","-0.01%"
"2022- 07- 11","110.00","110.03","110.03","110.00","8.50M","-0.02%"
"2022- 07- 08","110.02","110.02","110.02","110.01","1.85M","-0.02%"
"2022- 07- 07","110.04","110.03","110.04","110.02","8.85M","0.00%"
"2022- 07- 06","110.04","110.05","110.06","110.02","3.51M","0.01%"
"2022- 07- 05","110.03","110.03","110.05","110.03","4.43M","0.01%"
"2022- 07- 01","110.02","110.03","110.05","110.02","25.88M","-0.07%"
"2022- 06- 30","110.10","110.08","110.10","110.08","5.81M","0.03%"
"2022- 06- 29","110.07","110.06","110.07","110.06","2.66M","0.02%"
"2022- 06- 28","110.05","110.05","110.06","110.04","3.16M","0.05%"
"2022- 06- 27","110.00","110.06","110.07","110.00","3.11M","-0.05%"
"2022- 06- 24","110.06","110.05","110.07","110.05","2.42M","-0.01%"
"2022- 06- 23","110.07","110.06","110.09","110.06","3.02M","0.01%"
"2022- 06- 22","110.06","110.03","110.06","110.03","2.87M","0.04%"
"2022- 06- 21","110.02","110.01","110.03","110.01","11.52M","0.01%"
"2022- 06- 17","110.01","110.02","110.03","110.01","2.36M","0.00%"
"2022- 06- 16","110.01","110.01","110.02","109.99","3.41M","0.00%"
"2022- 06- 15","110.01","109.97","110.03","109.96","5.51M","0.05%"
"2022- 06- 14","109.96","109.96","109.98","109.95","8.14M","-0.05%"
"2022- 06- 13","110.01","110.06","110.07","110.01","31.41M","-0.08%"
"2022- 06- 10","110.10","110.14","110.14","110.10","3.00M","-0.05%"
"2022- 06- 09","110.15","110.17","110.17","110.15","1.17M","-0.01%"
"2022- 06- 08","110.16","110.17","110.17","110.15","2.05M","-0.01%"
"2022- 06- 07","110.17","110.16","110.18","110.16","1.81M","0.00%"
"2022- 06- 06","110.17","110.18","110.18","110.16","2.46M","-0.02%"
"2022- 06- 03","110.19","110.19","110.19","110.17","3.12M","0.02%"
"2022- 06- 02","110.17","110.18","110.18","110.17","2.74M","0.00%"
"2022- 06- 01","110.17","110.21","110.21","110.17","13.18M","-0.06%"
"2022- 05- 31","110.24","110.25","110.27","110.24","13.74M","-0.03%"
"2022- 05- 27","110.27","110.28","110.29","110.26","4.61M","-0.01%"
"2022- 05- 26","110.28","110.27","110.28","110.27","2.15M","0.01%"
"2022- 05- 25","110.27","110.27","110.27","110.26","1.25M","0.00%"
"2022- 05- 24","110.27","110.24","110.27","110.24","1.76M","0.04%"
"2022- 05- 23","110.23","110.23","110.24","110.23","2.90M","0.00%"
"2022- 05- 20","110.23","110.22","110.24","110.22","4.98M","0.00%"
"2022- 05- 19","110.22","110.23","110.23","110.22","4.17M","0.01%"
"2022- 05- 18","110.21","110.21","110.22","110.20","3.99M","0.00%"
"2022- 05- 17","110.21","110.19","110.21","110.19","2.70M","-0.01%"
"2022- 05- 16","110.22","110.21","110.22","110.21","1.62M","0.00%"
"2022- 05- 13","110.22","110.21","110.22","110.20","11.58M","0.01%"
"2022- 05- 12","110.21","110.22","110.22","110.21","2.12M","0.02%"
"2022- 05- 11","110.19","110.20","110.21","110.18","10.95M","-0.02%"
"2022- 05- 10","110.21","110.21","110.21","110.19","8.57M","0.00%"
"2022- 05- 09","110.21","110.19","110.21","110.18","3.55M","0.02%"
"2022- 05- 06","110.19","110.17","110.19","110.17","4.48M","0.03%"
"2022- 05- 05","110.16","110.17","110.18","110.16","2.86M","-0.02%"
"2022- 05- 04","110.18","110.14","110.18","110.12","3.28M","0.05%"
"2022- 05- 03","110.13","110.15","110.16","110.13","5.67M","-0.02%"
"2022- 05- 02","110.15","110.16","110.16","110.15","9.06M","-0.05%"
"2022- 04- 29","110.20","110.19","110.20","110.18","2.66M","0.01%"
