"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","7,050","7,115","7,115","7,045","9.06K","-0.70%"
"2023- 05- 24","7,100","7,095","7,130","7,075","9.82K","1.14%"
"2023- 05- 23","7,020","7,030","7,090","6,980","27.55K","1.23%"
"2023- 05- 22","6,935","6,980","6,980","6,930","9.41K","-1.07%"
"2023- 05- 19","7,010","7,015","7,050","6,970","14.52K","-0.64%"
"2023- 05- 18","7,055","7,120","7,120","7,045","17.01K","-1.74%"
"2023- 05- 17","7,180","7,260","7,260","7,180","12.40K","-1.91%"
"2023- 05- 16","7,320","7,300","7,350","7,300","6.61K","0.90%"
"2023- 05- 15","7,255","7,275","7,275","7,220","4.80K","-0.48%"
"2023- 05- 12","7,290","7,285","7,290","7,235","2.61K","-0.21%"
"2023- 05- 11","7,305","7,350","7,350","7,305","2.52K","-0.48%"
"2023- 05- 10","7,340","7,355","7,365","7,300","8.50K","-0.68%"
"2023- 05- 09","7,390","7,425","7,425","7,360","7.56K","-1.00%"
"2023- 05- 08","7,465","7,385","7,465","7,385","9.17K","2.68%"
"2023- 05- 04","7,270","7,220","7,355","7,220","24.69K","0.62%"
"2023- 05- 03","7,225","7,260","7,260","7,210","13.71K","-1.83%"
"2023- 05- 02","7,360","7,320","7,365","7,300","8.27K","0.89%"
"2023- 04- 28","7,295","7,370","7,370","7,255","6.31K","-1.68%"
"2023- 04- 27","7,420","7,475","7,475","7,400","2.05K","-1.40%"
"2023- 04- 26","7,525","7,510","7,525","7,430","6.17K","0.13%"
"2023- 04- 25","7,515","7,520","7,525","7,500","2.26K","-0.53%"
"2023- 04- 24","7,555","7,590","7,595","7,505","20.31K","-0.33%"
"2023- 04- 21","7,580","7,590","7,635","7,570","58.27K","-1.30%"
"2023- 04- 20","7,680","7,735","7,735","7,670","6.22K","-0.71%"
"2023- 04- 19","7,735","7,750","7,750","7,705","10.76K","0.06%"
"2023- 04- 18","7,730","7,680","7,730","7,680","18.60K","2.05%"
"2023- 04- 17","7,575","7,560","7,635","7,560","26.47K","0.93%"
"2023- 04- 14","7,505","7,570","7,570","7,495","8.42K","-0.92%"
"2023- 04- 13","7,575","7,620","7,620","7,565","5.87K","0.20%"
"2023- 04- 12","7,560","7,610","7,620","7,550","5.94K","-0.66%"
"2023- 04- 11","7,610","7,560","7,625","7,560","4.27K","1.13%"
"2023- 04- 10","7,525","7,560","7,570","7,500","18.29K","0.47%"
"2023- 04- 07","7,490","7,570","7,570","7,480","12.76K","-0.53%"
"2023- 04- 06","7,530","7,555","7,560","7,525","24.73K","-0.40%"
"2023- 04- 05","7,560","7,615","7,615","7,555","9.90K","-0.72%"
"2023- 04- 04","7,615","7,650","7,665","7,615","8.35K","-0.33%"
"2023- 04- 03","7,640","7,535","7,675","7,500","6.09K","2.00%"
"2023- 03- 31","7,490","7,465","7,510","7,465","7.39K","-0.33%"
"2023- 03- 30","7,515","7,520","7,520","7,500","10.01K","0.40%"
"2023- 03- 29","7,485","7,460","7,500","7,460","7.51K","0.67%"
"2023- 03- 28","7,435","7,445","7,455","7,425","4.14K","1.09%"
"2023- 03- 27","7,355","7,345","7,385","7,320","9.52K","1.45%"
