"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","13,615","13,630","13,630","13,595","5.65K","-1.20%"
"2023- 05- 24","13,780","13,725","13,780","13,715","22.50K","0.88%"
"2023- 05- 23","13,660","13,700","13,705","13,630","28.77K","-0.62%"
"2023- 05- 22","13,745","13,770","13,785","13,715","13.24K","0.48%"
"2023- 05- 19","13,680","13,630","13,680","13,590","21.64K","-0.73%"
"2023- 05- 18","13,780","13,980","13,980","13,755","28.88K","-0.43%"
"2023- 05- 17","13,840","13,855","13,880","13,835","17.31K","-0.93%"
"2023- 05- 16","13,970","14,020","14,055","13,970","49.79K","-0.46%"
"2023- 05- 15","14,035","14,000","14,055","13,985","33.26K","0.36%"
"2023- 05- 12","13,985","14,040","14,050","13,975","40.98K","-1.31%"
"2023- 05- 11","14,170","14,155","14,180","14,140","35.31K","0.28%"
"2023- 05- 10","14,130","14,180","14,200","14,125","25.12K","0.00%"
"2023- 05- 09","14,130","14,090","14,135","14,075","17.46K","0.25%"
"2023- 05- 08","14,095","14,055","14,120","14,050","15.11K","-0.91%"
"2023- 05- 04","14,225","14,305","14,345","14,220","69.01K","1.17%"
"2023- 05- 03","14,060","14,055","14,085","14,045","35.43K","1.55%"
"2023- 05- 02","13,845","13,815","13,845","13,815","33.32K","-0.11%"
"2023- 04- 28","13,860","13,860","13,890","13,840","16.51K","-0.75%"
"2023- 04- 27","13,965","13,900","13,975","13,880","63.23K","0.22%"
"2023- 04- 26","13,935","13,965","13,970","13,915","31.88K","-0.46%"
"2023- 04- 25","14,000","13,930","14,000","13,890","64.45K","1.30%"
"2023- 04- 24","13,820","13,840","13,845","13,790","41.30K","-0.79%"
"2023- 04- 21","13,930","14,000","14,000","13,915","69.98K","-0.11%"
"2023- 04- 20","13,945","13,910","13,945","13,900","62.83K","0.32%"
"2023- 04- 19","13,900","14,000","14,025","13,895","57.34K","-0.43%"
"2023- 04- 18","13,960","13,930","13,980","13,920","25.33K","-0.64%"
"2023- 04- 17","14,050","13,985","14,050","13,935","37.01K","-1.58%"
"2023- 04- 14","14,275","14,245","14,305","14,240","32.61K","1.13%"
"2023- 04- 13","14,115","14,105","14,115","14,085","20.79K","0.18%"
"2023- 04- 12","14,090","14,015","14,135","14,010","36.92K","0.75%"
"2023- 04- 11","13,985","13,930","13,990","13,900","34.44K","0.36%"
"2023- 04- 10","13,935","14,020","14,020","13,900","42.55K","-0.61%"
"2023- 04- 07","14,020","14,065","14,065","13,910","15.46K","-0.53%"
"2023- 04- 06","14,095","14,130","14,130","14,050","86.32K","-0.49%"
"2023- 04- 05","14,165","14,135","14,165","14,125","62.78K","2.24%"
"2023- 04- 04","13,855","13,875","13,890","13,840","31.72K","1.32%"
"2023- 04- 03","13,675","13,690","13,740","13,635","120.84K","-1.30%"
"2023- 03- 31","13,855","13,835","13,865","13,820","33.19K","0.76%"
"2023- 03- 30","13,750","13,740","13,765","13,685","37.49K","0.18%"
"2023- 03- 29","13,725","13,800","13,810","13,725","14.12K","0.33%"
"2023- 03- 28","13,680","13,705","13,735","13,670","26.48K","-0.69%"
"2023- 03- 27","13,775","13,840","13,850","13,765","21.89K","-1.04%"
"2023- 03- 24","13,920","13,950","13,980","13,920","26.35K","0.29%"
"2023- 03- 23","13,880","13,785","13,880","13,765","27.37K","2.21%"
"2023- 03- 22","13,580","13,605","13,630","13,560","33.90K","-1.98%"
"2023- 03- 21","13,855","13,855","13,905","13,840","36.55K","-0.57%"
"2023- 03- 20","13,935","13,835","13,955","13,790","54.22K","2.99%"
"2023- 03- 17","13,530","13,450","13,535","13,430","19.45K","0.82%"
"2023- 03- 16","13,420","13,450","13,475","13,360","23.86K","0.86%"
"2023- 03- 15","13,305","13,335","13,350","13,300","25.55K","-0.56%"
"2023- 03- 14","13,380","13,400","13,420","13,325","40.06K","1.56%"
"2023- 03- 13","13,175","13,155","13,240","13,135","31.30K","2.61%"
"2023- 03- 10","12,840","12,840","12,870","12,820","10.44K","0.94%"
"2023- 03- 09","12,720","12,720","12,735","12,700","10.30K","0.12%"
"2023- 03- 08","12,705","12,715","12,720","12,685","28.90K","-2.04%"
"2023- 03- 07","12,970","12,955","12,985","12,945","11.79K","-0.35%"
"2023- 03- 06","13,015","13,005","13,030","12,990","23.52K","0.70%"
"2023- 03- 03","12,925","12,910","12,925","12,895","16.78K","0.43%"
"2023- 03- 02","12,870","12,885","12,905","12,860","37.61K","0.98%"
"2023- 02- 28","12,745","12,760","12,780","12,725","30.66K","0.28%"
"2023- 02- 27","12,710","12,720","12,745","12,690","45.98K","-0.82%"
"2023- 02- 24","12,815","12,805","12,830","12,795","6.83K","-0.39%"
"2023- 02- 23","12,865","12,815","12,865","12,810","42.81K","-0.31%"
"2023- 02- 22","12,905","12,900","12,920","12,895","19.80K","-0.08%"
"2023- 02- 21","12,915","12,940","12,955","12,905","20.75K","-0.31%"
"2023- 02- 20","12,955","12,915","12,960","12,910","10.28K","1.05%"
"2023- 02- 17","12,820","12,895","12,895","12,820","41.84K","-0.58%"
"2023- 02- 16","12,895","12,915","12,950","12,895","33.53K","-0.62%"
"2023- 02- 15","12,975","13,035","13,075","12,970","62.29K","-0.80%"
"2023- 02- 14","13,080","13,040","13,080","13,035","11.51K","-0.04%"
"2023- 02- 13","13,085","13,085","13,100","13,055","19.06K","0.11%"
"2023- 02- 10","13,070","13,090","13,115","13,025","61.08K","-1.21%"
"2023- 02- 09","13,230","13,190","13,230","13,160","9.34K","0.11%"
"2023- 02- 08","13,215","13,180","13,215","13,175","11.95K","0.19%"
"2023- 02- 07","13,190","13,150","13,195","13,140","13.37K","-0.15%"
"2023- 02- 06","13,210","13,110","13,215","13,105","32.10K","-2.00%"
"2023- 02- 03","13,480","13,475","13,510","13,475","29.95K","-1.93%"
"2023- 02- 02","13,745","13,750","13,780","13,730","40.94K","1.29%"
"2023- 02- 01","13,570","13,575","13,580","13,545","39.60K","0.63%"
"2023- 01- 31","13,485","13,535","13,565","13,460","24.04K","-0.77%"
"2023- 01- 30","13,590","13,575","13,615","13,545","27.81K","0.22%"
"2023- 01- 27","13,560","13,600","13,625","13,525","33.60K","-1.20%"
"2023- 01- 26","13,725","13,740","13,740","13,680","26.19K","0.96%"
"2023- 01- 25","13,595","13,675","13,680","13,580","24.71K","0.07%"
"2023- 01- 20","13,585","13,600","13,630","13,555","69.11K","0.93%"
"2023- 01- 19","13,460","13,430","13,465","13,390","15.32K","0.41%"
"2023- 01- 18","13,405","13,465","13,465","13,370","46.81K","-0.48%"
