"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","13,220","13,365","13,390","13,185","28.07K","-0.60%"
"2023- 05- 24","13,300","13,410","13,410","13,215","179.42K","-0.89%"
"2023- 05- 23","13,420","13,260","13,480","13,260","118.82K","1.21%"
"2023- 05- 22","13,260","13,000","13,260","12,930","121.07K","1.73%"
"2023- 05- 19","13,035","12,975","13,055","12,895","70.44K","0.77%"
"2023- 05- 18","12,935","13,105","13,125","12,905","66.93K","-0.54%"
"2023- 05- 17","13,005","12,655","13,060","12,650","212.43K","2.73%"
"2023- 05- 16","12,660","12,625","12,755","12,560","74.42K","0.96%"
"2023- 05- 15","12,540","12,775","12,775","12,350","92.26K","-0.63%"
"2023- 05- 12","12,620","12,715","12,800","12,550","32.52K","-0.24%"
"2023- 05- 11","12,650","12,840","13,040","12,610","74.16K","-1.48%"
"2023- 05- 10","12,840","12,850","13,000","12,805","13.99K","-0.96%"
"2023- 05- 09","12,965","13,130","13,130","12,845","70.98K","-1.33%"
"2023- 05- 08","13,140","13,250","13,435","13,135","24.03K","-0.76%"
"2023- 05- 04","13,240","13,100","13,310","13,060","111.83K","0.91%"
"2023- 05- 03","13,120","13,500","13,500","13,080","98.74K","-2.96%"
"2023- 05- 02","13,520","13,350","13,545","13,250","84.05K","1.54%"
"2023- 04- 28","13,315","13,500","13,640","13,240","68.47K","-0.30%"
"2023- 04- 27","13,355","12,915","13,395","12,765","142.80K","3.45%"
"2023- 04- 26","12,910","12,915","13,175","12,835","703.84K","-0.31%"
"2023- 04- 25","12,950","13,150","13,195","12,805","77.16K","-1.37%"
"2023- 04- 24","13,130","13,395","13,395","13,080","169.68K","-1.98%"
"2023- 04- 21","13,395","13,520","13,660","13,365","311.12K","-2.01%"
"2023- 04- 20","13,670","14,095","14,095","13,610","240.54K","-3.02%"
"2023- 04- 19","14,095","14,170","14,185","14,085","20.53K","-0.53%"
"2023- 04- 18","14,170","14,145","14,215","14,025","86.84K","-0.18%"
"2023- 04- 17","14,195","14,175","14,220","14,010","66.95K","0.14%"
"2023- 04- 14","14,175","14,050","14,260","13,990","77.85K","1.36%"
"2023- 04- 13","13,985","13,780","14,055","13,740","84.94K","0.07%"
"2023- 04- 12","13,975","14,305","14,305","13,975","136.09K","-2.24%"
"2023- 04- 11","14,295","14,165","14,370","13,925","146.35K","1.71%"
"2023- 04- 10","14,055","13,625","14,135","13,625","734.90K","3.16%"
