"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 25","13,710","13,660","13,715","13,660","629.58K","0.22%"
"2023- 05- 24","13,680","13,760","13,760","13,650","914.64K","-0.80%"
"2023- 05- 23","13,790","13,825","13,840","13,775","619.10K","-0.25%"
"2023- 05- 22","13,825","13,935","13,935","13,800","763.88K","-1.00%"
"2023- 05- 19","13,965","14,000","14,065","13,955","1.37M","0.68%"
"2023- 05- 18","13,870","13,900","13,920","13,830","1.19M","0.76%"
"2023- 05- 17","13,765","13,805","13,830","13,765","544.36K","-0.29%"
"2023- 05- 16","13,805","13,815","13,825","13,785","944.88K","-0.07%"
"2023- 05- 15","13,815","13,825","13,835","13,780","844.52K","-0.07%"
"2023- 05- 14","13,825","13,825","13,825","13,825","","0.00%"
"2023- 05- 12","13,825","13,785","13,845","13,760","570.60K","0.58%"
"2023- 05- 11","13,745","13,745","13,745","13,645","1.21M","0.48%"
"2023- 05- 10","13,680","13,665","13,680","13,650","428.82K","-0.11%"
"2023- 05- 09","13,695","13,670","13,725","13,660","385.39K","0.33%"
"2023- 05- 08","13,650","13,630","13,700","13,630","671.19K","0.70%"
"2023- 05- 04","13,555","13,630","13,630","13,530","1.17M","-1.88%"
"2023- 05- 03","13,815","13,920","13,920","13,780","1.01M","-1.07%"
"2023- 05- 02","13,965","13,910","13,975","13,900","1.22M","0.98%"
"2023- 05- 01","13,830","13,830","13,830","13,830","","0.00%"
"2023- 04- 28","13,830","13,815","13,865","13,805","1.12M","1.54%"
"2023- 04- 27","13,620","13,595","13,650","13,580","1.14M","-0.62%"
"2023- 04- 26","13,705","13,725","13,765","13,000","1.66M","-0.69%"
"2023- 04- 25","13,800","13,820","13,870","13,790","1.06M","0.04%"
"2023- 04- 24","13,795","13,800","13,835","13,765","801.68K","0.18%"
"2023- 04- 23","13,770","13,770","13,770","13,770","","0.00%"
"2023- 04- 21","13,770","13,750","13,805","13,715","670.93K","0.07%"
"2023- 04- 20","13,760","13,810","13,870","13,725","774.34K","-0.15%"
"2023- 04- 19","13,780","13,745","13,780","13,700","831.44K","0.25%"
"2023- 04- 18","13,745","13,705","13,765","13,700","1.12M","0.73%"
"2023- 04- 17","13,645","13,565","13,675","13,565","1.44M","0.92%"
"2023- 04- 16","13,520","13,520","13,520","13,520","","0.00%"
"2023- 04- 14","13,520","13,550","13,570","13,480","983.82K","0.19%"
"2023- 04- 13","13,495","13,650","13,650","13,455","1.15M","-1.28%"
"2023- 04- 12","13,670","13,660","13,685","13,620","663.24K","0.07%"
"2023- 04- 11","13,660","13,615","13,660","13,600","810.97K","0.59%"
"2023- 04- 10","13,580","13,560","13,635","13,560","665.59K","0.15%"
"2023- 04- 09","13,560","13,560","13,560","13,560","","0.00%"
"2023- 04- 07","13,560","13,565","13,585","13,535","506.40K","0.30%"
"2023- 04- 06","13,520","13,455","13,550","13,455","850.05K","0.22%"
"2023- 04- 05","13,490","13,575","13,575","13,460","881.26K","-0.95%"
"2023- 04- 04","13,620","13,525","13,620","13,495","1.19M","0.70%"
"2023- 04- 03","13,525","13,410","13,570","13,410","2.01M","2.19%"
"2023- 04- 02","13,235","13,235","13,235","13,235","","0.00%"
"2023- 03- 31","13,235","13,170","13,240","13,135","938.73K","0.61%"
"2023- 03- 30","13,155","13,210","13,210","13,140","804.95K","0.65%"
"2023- 03- 29","13,070","12,990","13,075","12,935","1.90M","0.62%"
"2023- 03- 28","12,990","12,985","12,995","12,930","462.70K","-0.46%"
"2023- 03- 27","13,050","12,965","13,050","12,950","990.93K","1.71%"
"2023- 03- 24","12,830","12,725","12,830","12,725","689.77K","0.90%"
