"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 30","48.05","47.55","48.05","47.54","2.33K","1.69%"
"2023- 05- 26","47.25","47.02","47.29","46.87","3.84K","0.14%"
"2023- 05- 25","47.19","47.71","47.72","47.19","2.49K","-1.38%"
"2023- 05- 24","47.84","48.08","48.11","47.81","1.23K","-0.49%"
"2023- 05- 23","48.08","47.80","48.10","47.80","3.86K","0.32%"
"2023- 05- 22","47.93","48.20","48.20","47.92","2.15K","-0.39%"
"2023- 05- 19","48.12","48.12","48.46","48.05","138.59K","-0.98%"
"2023- 05- 18","48.59","48.73","48.88","48.49","17.78K","-1.13%"
"2023- 05- 17","49.14","49.57","49.57","49.13","45.95K","-0.59%"
"2023- 05- 16","49.44","49.35","49.46","49.29","2.64K","-0.73%"
"2023- 05- 15","49.80","49.74","49.82","49.71","1.72K","-0.37%"
"2023- 05- 12","49.98","50.49","50.49","49.97","1.72K","-1.23%"
"2023- 05- 11","50.61","50.94","50.94","50.51","25.71K","0.79%"
"2023- 05- 10","50.21","50.18","50.48","50.16","21.88K","1.26%"
"2023- 05- 09","49.59","49.71","49.71","49.59","18.66K","-0.25%"
"2023- 05- 08","49.71","49.84","49.89","49.71","30.56K","-1.10%"
"2023- 05- 05","50.26","50.38","50.38","50.16","2.66K","-1.33%"
"2023- 05- 04","50.94","50.77","51.31","50.77","2.86K","-0.03%"
"2023- 05- 03","50.95","50.72","50.96","50.56","79.11K","1.37%"
"2023- 05- 02","50.26","49.35","50.26","49.35","1.04K","2.64%"
"2023- 05- 01","48.97","49.79","49.90","48.97","2.91K","-2.29%"
"2023- 04- 28","50.12","50.04","50.14","49.91","2.88K","1.46%"
"2023- 04- 27","49.40","49.63","49.64","49.35","3.53K","-1.42%"
"2023- 04- 26","50.11","50.60","50.60","50.06","1.64K","-0.75%"
"2023- 04- 25","50.49","50.08","50.52","50.08","3.96K","1.91%"
"2023- 04- 24","49.54","49.48","49.57","49.48","14.49K","0.91%"
"2023- 04- 21","49.10","49.14","49.18","49.08","3.28K","-0.41%"
"2023- 04- 20","49.30","49.37","49.37","49.30","0.20K","0.99%"
"2023- 04- 19","48.81","48.80","48.89","48.71","0.76K","-0.62%"
"2023- 04- 18","49.12","48.95","49.44","48.95","1.36K","0.45%"
"2023- 04- 17","48.90","49.16","49.16","48.84","114.67K","-1.19%"
"2023- 04- 14","49.49","49.40","49.49","49.40","0.95K","-1.02%"
"2023- 04- 13","50.00","50.68","50.69","50.00","1.33K","-0.60%"
"2023- 04- 12","50.30","50.31","50.31","50.30","0.73K","0.50%"
"2023- 04- 11","50.05","50.00","50.05","49.90","31.86K","-0.20%"
"2023- 04- 10","50.15","50.39","50.39","50.08","86.96K","-2.02%"
"2023- 04- 06","51.18","51.18","51.18","51.18","0.41K","-0.04%"
"2023- 04- 05","51.21","51.13","51.37","51.05","2.01K","1.01%"
"2023- 04- 04","50.69","49.77","50.84","49.77","45.63K","1.14%"
"2023- 04- 03","50.12","49.54","50.30","49.54","127.90K","1.04%"
"2023- 03- 31","49.60","49.24","49.63","49.12","44.20K","1.03%"
"2023- 03- 30","49.10","48.85","49.10","48.85","6.65K","0.18%"
"2023- 03- 29","49.01","49.10","49.10","49.01","0.66K","-0.38%"
"2023- 03- 28","49.20","49.00","49.20","48.98","0.41K","0.04%"
"2023- 03- 27","49.18","49.15","49.18","49.15","0.74K","-2.55%"
