"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2023","52.62","52.65","52.69","52.24","2.88M","-0.94%"
"05/30/2023","53.12","53.51","53.52","52.94","1.96M","-1.02%"
"05/26/2023","53.67","53.31","53.71","53.31","1.71M","1.21%"
"05/25/2023","53.03","53.16","53.16","52.84","2.00M","-0.13%"
"05/24/2023","53.10","53.38","53.41","53.08","2.54M","-1.25%"
"05/23/2023","53.77","54.12","54.19","53.76","1.68M","-1.43%"
"05/22/2023","54.55","54.51","54.67","54.51","1.94M","0.22%"
"05/19/2023","54.43","54.42","54.57","54.33","2.33M","0.35%"
"05/18/2023","54.24","54.23","54.25","53.95","3.09M","-0.28%"
"05/17/2023","54.39","54.21","54.40","53.98","1.50M","0.54%"
"05/16/2023","54.10","54.35","54.44","54.10","1.32M","-0.95%"
"05/15/2023","54.62","54.34","54.63","54.24","1.91M","1.07%"
"05/12/2023","54.04","54.28","54.28","53.88","1.41M","-0.46%"
"05/11/2023","54.29","54.12","54.29","53.90","2.13M","-0.35%"
"05/10/2023","54.48","54.62","54.62","54.14","2.41M","-0.15%"
"05/09/2023","54.56","54.33","54.60","54.28","1.29M","-0.40%"
"05/08/2023","54.78","54.90","54.90","54.67","1.25M","0.07%"
"05/05/2023","54.74","54.25","54.82","54.19","1.41M","1.46%"
"05/04/2023","53.95","53.92","54.12","53.81","1.86M","0.13%"
"05/03/2023","53.88","53.92","54.27","53.87","1.75M","0.11%"
"05/02/2023","53.82","53.97","53.97","53.51","2.28M","-0.99%"
"05/01/2023","54.36","54.46","54.67","54.35","2.16M","-0.22%"
"04/28/2023","54.48","54.09","54.48","54.07","2.03M","0.18%"
"04/27/2023","54.38","54.01","54.41","53.91","1.28M","1.23%"
"04/26/2023","53.72","54.03","54.06","53.65","2.09M","0.11%"
"04/25/2023","53.66","54.11","54.13","53.65","1.54M","-1.54%"
"04/24/2023","54.50","54.43","54.51","54.34","2.56M","0.11%"
"04/21/2023","54.44","54.36","54.47","54.09","2.17M","0.02%"
"04/20/2023","54.43","54.30","54.59","54.28","4.08M","0.04%"
"04/19/2023","54.41","54.37","54.50","54.33","1.06M","-0.60%"
"04/18/2023","54.74","54.75","54.83","54.59","1.30M","0.35%"
"04/17/2023","54.55","54.46","54.55","54.28","2.79M","0.06%"
"04/14/2023","54.52","54.66","54.84","54.30","1.69M","-0.42%"
"04/13/2023","54.75","54.52","54.80","54.49","1.39M","1.28%"
"04/12/2023","54.06","54.30","54.36","53.94","1.86M","0.30%"
"04/11/2023","53.90","53.85","54.00","53.83","1.55M","0.43%"
"04/10/2023","53.67","53.35","53.67","53.31","1.18M","0.04%"
"04/06/2023","53.65","53.40","53.78","53.33","1.21M","0.32%"
"04/05/2023","53.48","53.64","53.71","53.28","1.79M","-0.69%"
"04/04/2023","53.85","53.82","54.00","53.67","1.42M","-0.02%"
"04/03/2023","53.86","53.59","53.87","53.51","1.87M","0.73%"
"03/31/2023","53.47","53.41","53.56","53.33","2.07M","0.30%"
"03/30/2023","53.31","53.26","53.37","53.17","2.56M","1.18%"
"03/29/2023","52.69","52.61","52.74","52.53","2.78M","0.84%"
"03/28/2023","52.25","52.09","52.30","52.06","1.21M","0.46%"
"03/27/2023","52.01","51.90","52.06","51.75","2.00M","0.52%"
"03/24/2023","51.74","51.50","51.77","51.28","2.30M","-0.29%"
"03/23/2023","51.89","52.30","52.59","51.65","3.11M","0.37%"
"03/22/2023","51.70","51.94","52.57","51.66","2.52M","-0.15%"
"03/21/2023","51.78","51.78","51.89","51.51","1.85M","1.15%"
"03/20/2023","51.19","50.90","51.29","50.83","2.25M","1.01%"
"03/17/2023","50.68","50.91","50.95","50.49","2.92M","-1.03%"
"03/16/2023","51.21","50.25","51.21","50.18","5.50M","1.57%"
"03/15/2023","50.42","50.18","50.48","49.85","5.52M","-2.65%"
"03/14/2023","51.79","51.66","51.85","51.47","4.17M","0.86%"
"03/13/2023","51.35","51.16","51.74","51.04","6.46M","-0.39%"
"03/10/2023","51.55","52.06","52.22","51.53","4.71M","-0.88%"
"03/09/2023","52.01","52.61","52.74","51.97","3.06M","-1.23%"
"03/08/2023","52.66","52.51","52.81","52.44","2.40M","0.50%"
"03/07/2023","52.40","53.21","53.21","52.34","3.48M","-1.76%"
"03/06/2023","53.34","53.38","53.56","53.27","1.63M","-0.24%"
"03/03/2023","53.47","53.02","53.49","52.93","1.56M","1.27%"
"03/02/2023","52.80","52.34","52.85","52.28","1.68M","0.27%"
"03/01/2023","52.66","52.76","52.85","52.49","3.10M","1.06%"
"02/28/2023","52.11","52.34","52.47","52.11","2.29M","-0.74%"
"02/27/2023","52.50","52.51","52.65","52.38","1.83M","0.88%"
"02/24/2023","52.04","51.99","52.15","51.80","2.76M","-1.66%"
"02/23/2023","52.92","53.00","53.07","52.49","2.33M","0.47%"
"02/22/2023","52.67","52.89","52.95","52.54","1.93M","-0.53%"
"02/21/2023","52.95","53.20","53.37","52.92","1.92M","-1.19%"
"02/17/2023","53.59","53.33","53.62","53.19","1.94M","-0.15%"
"02/16/2023","53.67","53.46","53.96","53.38","2.46M","-0.43%"
"02/15/2023","53.90","53.45","53.90","53.42","1.75M","-0.48%"
