"날짜","종가","시가","고가","저가","변동 %"
"2023년 06월 09일","9.85","9.85","9.85","9.85","-0.20%"
"2023년 06월 08일","9.87","9.87","9.87","9.87","0.10%"
"2023년 06월 07일","9.86","9.86","9.86","9.86","-0.10%"
"2023년 06월 06일","9.87","9.87","9.87","9.87","-0.10%"
"2023년 06월 05일","9.88","9.88","9.88","9.88","0.10%"
"2023년 06월 02일","9.87","9.87","9.87","9.87","-0.30%"
"2023년 06월 01일","9.90","9.90","9.90","9.90","0.10%"
"2023년 05월 31일","9.89","9.89","9.89","9.89","0.10%"
"2023년 05월 30일","9.88","9.88","9.88","9.88","0.30%"
"2023년 05월 26일","9.85","9.85","9.85","9.85","-0.10%"
"2023년 05월 25일","9.86","9.86","9.86","9.86","-0.30%"
"2023년 05월 24일","9.89","9.89","9.89","9.89","-0.20%"
"2023년 05월 23일","9.91","9.91","9.91","9.91","0.00%"
"2023년 05월 22일","9.91","9.91","9.91","9.91","0.00%"
"2023년 05월 19일","9.91","9.91","9.91","9.91","-0.10%"
"2023년 05월 18일","9.92","9.92","9.92","9.92","-0.30%"
"2023년 05월 17일","9.95","9.95","9.95","9.95","-0.20%"
"2023년 05월 16일","9.97","9.97","9.97","9.97","-0.10%"
"2023년 05월 15일","9.98","9.98","9.98","9.98","0.00%"
"2023년 05월 12일","9.98","9.98","9.98","9.98","-0.30%"
"2023년 05월 11일","10.01","10.01","10.01","10.01","0.10%"
"2023년 05월 10일","10.00","10.00","10.00","10.00","0.20%"
"2023년 05월 09일","9.98","9.98","9.98","9.98","0.00%"
"2023년 05월 08일","9.98","9.98","9.98","9.98","-0.20%"
"2023년 05월 05일","10.00","10.00","10.00","10.00","-0.30%"
"2023년 05월 04일","10.03","10.03","10.03","10.03","0.20%"
"2023년 05월 03일","10.01","10.01","10.01","10.01","0.20%"
"2023년 05월 02일","9.99","9.99","9.99","9.99","0.40%"
"2023년 05월 01일","9.95","9.95","9.95","9.95","-0.20%"
"2023년 04월 28일","9.97","9.97","9.97","9.97","0.10%"
"2023년 04월 27일","9.96","9.96","9.96","9.96","-0.30%"
"2023년 04월 26일","9.99","9.99","9.99","9.99","-0.20%"
"2023년 04월 25일","10.01","10.01","10.01","10.01","0.50%"
"2023년 04월 24일","9.96","9.96","9.96","9.96","0.20%"
"2023년 04월 21일","9.94","9.94","9.94","9.94","-0.10%"
"2023년 04월 20일","9.95","9.95","9.95","9.95","0.20%"
"2023년 04월 19일","9.93","9.93","9.93","9.93","-0.10%"
"2023년 04월 18일","9.94","9.94","9.94","9.94","0.00%"
"2023년 04월 17일","9.94","9.94","9.94","9.94","-0.20%"
"2023년 04월 14일","9.96","9.96","9.96","9.96","-0.30%"
"2023년 04월 13일","9.99","9.99","9.99","9.99","0.00%"
"2023년 04월 12일","9.99","9.99","9.99","9.99","0.10%"
"2023년 04월 11일","9.98","9.98","9.98","9.98","-0.10%"
"2023년 04월 10일","9.99","9.99","9.99","9.99","-0.40%"
"2023년 04월 06일","10.03","10.03","10.03","10.03","0.00%"
"2023년 04월 05일","10.03","10.03","10.03","10.03","0.10%"
"2023년 04월 04일","10.02","10.02","10.02","10.02","0.30%"
"2023년 04월 03일","9.99","9.99","9.99","9.99","0.10%"
"2023년 03월 31일","9.98","9.98","9.98","9.98","0.20%"
"2023년 03월 30일","9.96","9.96","9.96","9.96","0.00%"
"2023년 03월 29일","9.96","9.96","9.96","9.96","-0.10%"
"2023년 03월 28일","9.97","9.97","9.97","9.97","-0.10%"
"2023년 03월 27일","9.98","9.98","9.98","9.98","-0.50%"
"2023년 03월 24일","10.03","10.03","10.03","10.03","0.00%"
"2023년 03월 23일","10.03","10.03","10.03","10.03","0.30%"
"2023년 03월 22일","10.00","10.00","10.00","10.00","0.60%"
"2023년 03월 21일","9.94","9.94","9.94","9.94","-0.50%"
"2023년 03월 20일","9.99","9.99","9.99","9.99","-0.10%"
"2023년 03월 17일","10.00","10.00","10.00","10.00","0.50%"
"2023년 03월 16일","9.95","9.95","9.95","9.95","-0.50%"
"2023년 03월 15일","10.00","10.00","10.00","10.00","0.60%"
"2023년 03월 14일","9.94","9.94","9.94","9.94","-0.40%"
"2023년 03월 13일","9.98","9.98","9.98","9.98","0.91%"
"2023년 03월 10일","9.89","9.89","9.89","9.89","0.61%"
"2023년 03월 09일","9.83","9.83","9.83","9.83","0.41%"
"2023년 03월 08일","9.79","9.79","9.79","9.79","-0.20%"
"2023년 03월 07일","9.81","9.81","9.81","9.81","-0.20%"
"2023년 03월 06일","9.83","9.83","9.83","9.83","0.00%"
"2023년 03월 03일","9.83","9.83","9.83","9.83","0.10%"
"2023년 03월 02일","9.82","9.82","9.82","9.82","-0.10%"
"2023년 03월 01일","9.83","9.83","9.83","9.83","-0.20%"
"2023년 02월 28일","9.85","9.85","9.85","9.85","0.00%"
"2023년 02월 27일","9.85","9.85","9.85","9.85","0.00%"
"2023년 02월 24일","9.85","9.85","9.85","9.85","-0.20%"
"2023년 02월 23일","9.87","9.87","9.87","9.87","0.00%"
"2023년 02월 22일","9.87","9.87","9.87","9.87","0.10%"
"2023년 02월 21일","9.86","9.86","9.86","9.86","-0.40%"
"2023년 02월 17일","9.90","9.90","9.90","9.90","0.10%"
"2023년 02월 16일","9.89","9.89","9.89","9.89","0.00%"
"2023년 02월 15일","9.89","9.89","9.89","9.89","0.00%"
"2023년 02월 14일","9.89","9.89","9.89","9.89","-0.30%"
"2023년 02월 13일","9.92","9.92","9.92","9.92","0.00%"
"2023년 02월 10일","9.92","9.92","9.92","9.92","-0.10%"
"2023년 02월 09일","9.93","9.93","9.93","9.93","-0.20%"
"2023년 02월 08일","9.95","9.95","9.95","9.95","0.10%"
"2023년 02월 07일","9.94","9.94","9.94","9.94","0.10%"
"2023년 02월 06일","9.93","9.93","9.93","9.93","-0.50%"
"2023년 02월 03일","9.98","9.98","9.98","9.98","-0.40%"
"2023년 02월 02일","10.02","10.02","10.02","10.02","-0.10%"
"2023년 02월 01일","10.03","10.03","10.03","10.03","0.30%"
"2023년 01월 31일","10.00","10.00","10.00","10.00","0.20%"
"2023년 01월 30일","9.98","9.98","9.98","9.98","-0.10%"
"2023년 01월 27일","9.99","9.99","9.99","9.99","-0.10%"
"2023년 01월 26일","10.00","10.00","10.00","10.00","-0.10%"
"2023년 01월 25일","10.01","10.01","10.01","10.01","0.10%"
"2023년 01월 24일","10.00","10.00","10.00","10.00","0.00%"
"2023년 01월 23일","10.00","10.00","10.00","10.00","-0.10%"
"2023년 01월 20일","10.01","10.01","10.01","10.01","-0.10%"
"2023년 01월 19일","10.02","10.02","10.02","10.02","-0.10%"
"2023년 01월 18일","10.03","10.03","10.03","10.03","0.30%"
"2023년 01월 17일","10.00","10.00","10.00","10.00","0.00%"
"2023년 01월 13일","10.00","10.00","10.00","10.00","-0.20%"
"2023년 01월 12일","10.02","10.02","10.02","10.02","0.30%"
"2023년 01월 11일","9.99","9.99","9.99","9.99","0.00%"
"2023년 01월 10일","9.99","9.99","9.99","9.99","0.00%"
"2023년 01월 09일","9.99","9.99","9.99","9.99","0.10%"
"2023년 01월 06일","9.98","9.98","9.98","9.98","0.40%"
"2023년 01월 05일","9.94","9.94","9.94","9.94","-0.20%"
"2023년 01월 04일","9.96","9.96","9.96","9.96","0.20%"
"2023년 01월 03일","9.94","9.94","9.94","9.94","0.10%"
"2022년 12월 30일","9.93","9.93","9.93","9.93","-0.10%"
"2022년 12월 29일","9.94","9.94","9.94","9.94","0.00%"
"2022년 12월 28일","9.94","9.94","9.94","9.94","0.00%"
"2022년 12월 27일","9.94","9.94","9.94","9.94","-0.20%"
"2022년 12월 23일","9.96","9.96","9.96","9.96","-0.10%"
"2022년 12월 22일","9.97","9.97","9.97","9.97","-0.10%"
"2022년 12월 21일","9.98","9.98","9.98","9.98","0.10%"
"2022년 12월 20일","9.97","9.97","9.97","9.97","0.00%"
"2022년 12월 19일","9.97","9.97","9.97","9.97","-0.20%"
"2022년 12월 16일","9.99","9.99","9.99","9.99","0.10%"
"2022년 12월 15일","9.98","9.98","9.98","9.98","-0.10%"
"2022년 12월 14일","9.99","9.99","9.99","9.99","0.10%"
"2022년 12월 13일","9.98","9.98","9.98","9.98","0.40%"
"2022년 12월 12일","9.94","9.94","9.94","9.94","-0.10%"
"2022년 12월 09일","9.95","9.95","9.95","9.95","-0.10%"
"2022년 12월 08일","9.96","9.96","9.96","9.96","-0.20%"
"2022년 12월 07일","9.98","9.98","9.98","9.98","0.30%"
"2022년 12월 06일","9.95","9.95","9.95","9.95","0.10%"
"2022년 12월 05일","9.94","9.94","9.94","9.94","-0.40%"
"2022년 12월 02일","9.98","9.98","9.98","9.98","0.00%"
"2022년 12월 01일","9.98","9.98","9.98","9.98","0.20%"
"2022년 11월 30일","9.96","9.96","9.96","9.96","0.40%"
"2022년 11월 29일","9.92","9.92","9.92","9.92","-0.10%"
"2022년 11월 28일","9.93","9.93","9.93","9.93","0.10%"
"2022년 11월 25일","9.92","9.92","9.92","9.92","0.00%"
"2022년 11월 23일","9.92","9.92","9.92","9.92","0.10%"
"2022년 11월 22일","9.91","9.91","9.91","9.91","0.00%"
"2022년 11월 21일","9.91","9.91","9.91","9.91","0.00%"
"2022년 11월 18일","9.91","9.91","9.91","9.91","-0.20%"
"2022년 11월 17일","9.93","9.93","9.93","9.93","-0.20%"
"2022년 11월 16일","9.95","9.95","9.95","9.95","0.10%"
"2022년 11월 15일","9.94","9.94","9.94","9.94","0.10%"
"2022년 11월 14일","9.93","9.93","9.93","9.93","-0.10%"
"2022년 11월 11일","9.94","9.94","9.94","9.94","0.00%"
"2022년 11월 10일","9.94","9.94","9.94","9.94","0.51%"
"2022년 11월 09일","9.89","9.89","9.89","9.89","0.20%"
"2022년 11월 08일","9.87","9.87","9.87","9.87","0.10%"
"2022년 11월 07일","9.86","9.86","9.86","9.86","-0.10%"
"2022년 11월 04일","9.87","9.87","9.87","9.87","0.10%"
"2022년 11월 03일","9.86","9.86","9.86","9.86","-0.20%"
"2022년 11월 02일","9.88","9.88","9.88","9.88","-0.10%"
"2022년 11월 01일","9.89","9.89","9.89","9.89","-0.20%"
"2022년 10월 31일","9.91","9.91","9.91","9.91","-0.10%"
"2022년 10월 28일","9.92","9.92","9.92","9.92","-0.20%"
"2022년 10월 27일","9.94","9.94","9.94","9.94","0.30%"
"2022년 10월 26일","9.91","9.91","9.91","9.91","0.00%"
"2022년 10월 25일","9.91","9.91","9.91","9.91","0.20%"
"2022년 10월 24일","9.89","9.89","9.89","9.89","-0.10%"
"2022년 10월 21일","9.90","9.90","9.90","9.90","0.30%"
"2022년 10월 20일","9.87","9.87","9.87","9.87","-0.10%"
"2022년 10월 19일","9.88","9.88","9.88","9.88","-0.30%"
"2022년 10월 18일","9.91","9.91","9.91","9.91","0.10%"
"2022년 10월 17일","9.90","9.90","9.90","9.90","0.10%"
"2022년 10월 14일","9.89","9.89","9.89","9.89","-0.20%"
"2022년 10월 13일","9.91","9.91","9.91","9.91","-0.30%"
"2022년 10월 12일","9.94","9.94","9.94","9.94","0.10%"
"2022년 10월 11일","9.93","9.93","9.93","9.93","0.00%"
"2022년 10월 10일","9.93","9.93","9.93","9.93","0.00%"
"2022년 10월 07일","9.93","9.93","9.93","9.93","-0.20%"
"2022년 10월 06일","9.95","9.95","9.95","9.95","-0.20%"
"2022년 10월 05일","9.97","9.97","9.97","9.97","-0.10%"
"2022년 10월 04일","9.98","9.98","9.98","9.98","0.00%"
"2022년 10월 03일","9.98","9.98","9.98","9.98","0.30%"
"2022년 09월 30일","9.95","9.95","9.95","9.95","-0.10%"
"2022년 09월 29일","9.96","9.96","9.96","9.96","-0.10%"
"2022년 09월 28일","9.97","9.97","9.97","9.97","0.50%"
"2022년 09월 27일","9.92","9.92","9.92","9.92","-0.10%"
"2022년 09월 26일","9.93","9.93","9.93","9.93","-0.30%"
"2022년 09월 23일","9.96","9.96","9.96","9.96","-0.10%"
"2022년 09월 22일","9.97","9.97","9.97","9.97","-0.30%"
"2022년 09월 21일","10.00","10.00","10.00","10.00","-0.10%"
"2022년 09월 20일","10.01","10.01","10.01","10.01","-0.10%"
