"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2023","60.87","61.34","61.41","60.70","2.70M","-1.04%"
"05/26/2023","61.51","61.17","61.57","61.15","2.50M","1.10%"
"05/25/2023","60.84","60.92","60.96","60.60","3.53M","-0.26%"
"05/24/2023","61.00","61.33","61.33","60.96","3.01M","-1.57%"
"05/23/2023","61.97","62.50","62.54","61.95","2.31M","-1.46%"
"05/22/2023","62.89","62.83","63.01","62.77","2.32M","-0.13%"
"05/19/2023","62.97","62.87","63.15","62.81","2.56M","0.74%"
"05/18/2023","62.51","62.45","62.54","62.17","3.89M","-0.19%"
"05/17/2023","62.63","62.42","62.67","62.10","2.69M","0.43%"
"05/16/2023","62.36","62.68","62.75","62.36","2.63M","-1.05%"
"05/15/2023","63.02","62.74","63.02","62.67","1.54M","0.75%"
"05/12/2023","62.55","62.74","62.81","62.33","1.51M","-0.27%"
"05/11/2023","62.72","62.50","62.75","62.24","2.10M","-0.43%"
"05/10/2023","62.99","63.20","63.20","62.56","2.51M","-0.13%"
"05/09/2023","63.07","62.78","63.17","62.74","2.32M","-0.79%"
"05/08/2023","63.57","63.77","63.77","63.48","2.34M","0.02%"
"05/05/2023","63.56","62.93","63.64","62.85","2.36M","1.50%"
"05/04/2023","62.62","62.64","62.88","62.40","3.02M","-0.51%"
"05/03/2023","62.94","62.98","63.44","62.89","3.12M","0.32%"
"05/02/2023","62.74","62.84","62.84","62.36","2.88M","-1.17%"
"05/01/2023","63.48","63.61","63.77","63.42","3.49M","0.02%"
"04/28/2023","63.47","62.99","63.56","62.97","2.62M","0.14%"
"04/27/2023","63.38","62.93","63.39","62.79","2.31M","1.17%"
"04/26/2023","62.65","63.08","63.12","62.57","2.20M","0.08%"
"04/25/2023","62.60","63.28","63.29","62.60","2.38M","-1.68%"
"04/24/2023","63.67","63.51","63.67","63.46","1.81M","0.41%"
"04/21/2023","63.41","63.06","63.42","62.82","2.25M","0.75%"
"04/20/2023","62.94","62.79","63.11","62.78","1.91M","-0.14%"
"04/19/2023","63.03","62.90","63.09","62.88","1.48M","-0.22%"
"04/18/2023","63.17","63.06","63.18","62.96","1.93M","0.69%"
"04/17/2023","62.74","62.74","62.82","62.44","1.95M","-0.48%"
"04/14/2023","63.04","63.19","63.33","62.75","1.86M","-0.16%"
"04/13/2023","63.14","62.87","63.17","62.76","5.75M","1.35%"
"04/12/2023","62.30","62.41","62.61","62.08","5.51M","0.79%"
"04/11/2023","61.81","61.71","61.91","61.67","2.17M","0.39%"
"04/10/2023","61.57","61.19","61.59","61.08","2.29M","0.00%"
"04/06/2023","61.57","61.16","61.73","61.15","2.88M","0.85%"
