"날짜","종가","시가","고가","저가","거래량","변동 %"
"2003- 12- 31","53.23","53.49","53.58","53.23","286.20K","-0.28%"
"2003- 12- 30","53.38","53.28","53.45","53.25","200.80K","0.15%"
"2003- 12- 29","53.30","52.98","53.42","52.88","331.60K","1.23%"
"2003- 12- 26","52.65","52.72","52.83","52.65","131.00K","0.00%"
"2003- 12- 24","52.65","52.58","52.70","52.51","92.00K","-0.09%"
"2003- 12- 23","52.70","52.52","52.73","52.48","241.60K","0.38%"
"2003- 12- 22","52.50","52.18","52.50","52.18","217.60K","0.15%"
"2003- 12- 19","52.42","52.60","52.61","52.30","272.40K","-0.15%"
"2003- 12- 18","52.50","52.05","52.55","51.95","245.20K","1.06%"
"2003- 12- 17","51.95","51.87","51.95","51.62","353.40K","0.29%"
"2003- 12- 16","51.80","51.66","51.90","51.45","157.20K","0.50%"
"2003- 12- 15","51.54","52.42","52.42","51.54","978.20K","-0.79%"
"2003- 12- 12","51.95","51.90","51.96","51.55","187.00K","0.33%"
"2003- 12- 11","51.78","51.22","51.90","51.19","298.80K","1.33%"
"2003- 12- 10","51.10","51.28","51.37","50.84","575.20K","-0.27%"
"2003- 12- 09","51.24","51.90","51.90","51.20","128.00K","-1.06%"
"2003- 12- 08","51.79","51.40","51.79","51.30","233.60K","0.82%"
"2003- 12- 05","51.37","51.67","51.71","51.30","259.60K","-0.83%"
"2003- 12- 04","51.80","51.70","51.80","51.40","197.80K","0.37%"
"2003- 12- 03","51.61","52.07","52.12","51.61","202.80K","-0.37%"
"2003- 12- 02","51.80","51.85","52.03","51.74","332.60K","-0.23%"
"2003- 12- 01","51.92","51.65","52.05","51.58","343.40K","1.01%"
"2003- 11- 28","51.40","51.20","51.45","51.20","54.60K","0.23%"
"2003- 11- 26","51.28","51.30","51.31","50.85","180.20K","0.55%"
"2003- 11- 25","51.00","50.95","51.27","50.84","166.60K","0.24%"
"2003- 11- 24","50.88","50.48","50.88","50.45","191.20K","1.74%"
"2003- 11- 21","50.01","50.15","50.19","49.88","130.80K","0.06%"
"2003- 11- 20","49.98","50.16","50.59","49.91","187.60K","-0.73%"
"2003- 11- 19","50.35","51.00","51.00","49.94","141.60K","0.72%"
"2003- 11- 18","49.99","50.59","50.70","49.99","200.20K","-0.85%"
"2003- 11- 17","50.42","50.45","50.53","50.02","281.40K","-0.79%"
"2003- 11- 14","50.82","51.27","51.47","50.73","175.20K","-0.78%"
"2003- 11- 13","51.22","51.08","51.27","50.95","250.60K","0.18%"
"2003- 11- 12","51.13","50.62","51.20","50.62","238.40K","1.21%"
"2003- 11- 11","50.52","51.48","51.48","50.37","180.00K","-0.20%"
"2003- 11- 10","50.62","50.99","51.00","50.56","196.20K","-0.51%"
"2003- 11- 07","50.88","51.33","51.39","50.88","367.40K","-0.43%"
"2003- 11- 06","51.10","50.84","51.20","50.62","252.20K","0.41%"
"2003- 11- 05","50.89","50.82","50.94","50.48","158.20K","0.18%"
"2003- 11- 04","50.80","50.99","51.08","50.79","188.45K","-0.29%"
"2003- 11- 03","50.95","50.90","51.17","50.76","231.76K","0.61%"
"2003- 10- 31","50.64","50.70","50.74","50.55","121.00K","0.46%"
"2003- 10- 30","50.41","50.82","50.83","50.38","316.20K","-0.28%"
"2003- 10- 29","50.55","50.30","50.59","50.20","154.00K","0.42%"
"2003- 10- 28","50.34","49.80","50.38","49.80","499.40K","1.33%"
"2003- 10- 27","49.68","49.62","49.89","49.53","121.40K","0.57%"
"2003- 10- 24","49.40","49.27","49.46","48.98","170.20K","-0.54%"
"2003- 10- 23","49.67","49.26","49.76","49.26","216.20K","0.14%"
"2003- 10- 22","49.60","49.90","49.90","49.40","247.60K","-1.27%"
