"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 06","213.12","212.00","213.37","211.64","2.21M","0.46%"
"2023- 06- 05","212.15","212.74","213.36","207.46","2.21M","-0.26%"
"2023- 06- 02","212.71","210.68","213.09","210.50","3.02M","1.65%"
"2023- 06- 01","209.25","207.30","209.80","206.65","2.64M","1.00%"
"2023- 05- 31","207.18","207.49","207.98","206.30","2.20M","-0.60%"
"2023- 05- 30","208.43","209.63","209.68","207.69","2.75M","0.03%"
"2023- 05- 26","208.36","206.00","208.72","205.97","2.35M","1.32%"
"2023- 05- 25","205.65","205.87","206.32","204.53","2.21M","0.68%"
"2023- 05- 24","204.26","205.00","205.13","203.69","2.08M","-0.77%"
"2023- 05- 23","205.85","207.30","207.99","205.64","2.38M","-1.06%"
"2023- 05- 22","208.05","207.68","208.81","207.20","2.21M","0.17%"
"2023- 05- 19","207.69","208.64","208.84","207.07","2.68M","-0.24%"
"2023- 05- 18","208.19","206.00","208.37","205.82","2.34M","0.99%"
"2023- 05- 17","206.14","204.46","206.45","203.65","2.65M","1.30%"
"2023- 05- 16","203.50","204.41","204.81","203.47","1.88M","-0.78%"
"2023- 05- 15","205.09","204.17","205.38","203.71","3.22M","0.43%"
"2023- 05- 12","204.22","205.04","205.28","202.93","2.25M","-0.23%"
"2023- 05- 11","204.70","204.47","204.70","203.49","2.11M","-0.13%"
"2023- 05- 10","204.97","205.62","205.94","203.05","2.66M","0.44%"
"2023- 05- 09","204.07","204.03","204.63","203.80","1.80M","-0.41%"
"2023- 05- 08","204.91","204.93","205.10","204.12","2.63M","0.11%"
"2023- 05- 05","204.69","202.85","205.27","202.79","1.94M","1.85%"
"2023- 05- 04","200.98","201.84","202.02","200.20","2.58M","-0.75%"
"2023- 05- 03","202.49","203.85","205.49","202.35","2.13M","-0.58%"
"2023- 05- 02","203.68","205.62","205.90","202.07","2.66M","-1.22%"
"2023- 05- 01","206.20","206.00","207.18","205.99","2.84M","-0.05%"
"2023- 04- 28","206.30","204.00","206.30","204.00","2.31M","0.87%"
"2023- 04- 27","204.52","201.86","204.69","201.83","2.25M","1.88%"
"2023- 04- 26","200.75","202.16","202.51","200.41","2.74M","-0.45%"
"2023- 04- 25","201.66","204.02","204.23","201.62","2.60M","-1.67%"
"2023- 04- 24","205.08","204.90","205.44","204.10","3.70M","0.04%"
"2023- 04- 21","205.00","204.96","205.24","203.92","2.34M","0.09%"
"2023- 04- 20","204.82","204.46","205.77","204.07","2.33M","-0.62%"
"2023- 04- 19","206.10","205.03","206.48","204.97","2.44M","0.05%"
"2023- 04- 18","206.00","206.68","206.83","205.30","2.33M","0.05%"
"2023- 04- 17","205.90","205.03","205.91","204.45","2.78M","0.40%"
"2023- 04- 14","205.08","205.33","206.50","203.81","4.14M","-0.28%"
"2023- 04- 13","205.65","203.53","205.80","203.34","2.18M","1.30%"
"2023- 04- 12","203.01","205.00","205.26","202.71","2.36M","-0.42%"
"2023- 04- 11","203.87","203.87","204.64","203.40","3.32M","0.10%"
"2023- 04- 10","203.66","202.00","203.68","201.65","2.53M","0.23%"
"2023- 04- 06","203.20","202.24","203.34","201.45","1.99M","0.33%"
"2023- 04- 05","202.53","202.69","203.16","201.58","3.10M","-0.36%"
"2023- 04- 04","203.27","205.00","205.06","202.53","2.88M","-0.67%"
"2023- 04- 03","204.64","203.72","204.99","203.33","3.07M","0.26%"
"2023- 03- 31","204.10","201.57","204.19","201.57","2.99M","1.51%"
"2023- 03- 30","201.07","201.27","201.59","200.12","2.26M","0.54%"
"2023- 03- 29","199.99","199.09","200.09","198.61","3.48M","1.44%"
"2023- 03- 28","197.15","197.20","197.65","196.14","3.68M","-0.14%"
"2023- 03- 27","197.43","198.27","198.60","196.92","2.42M","0.25%"
"2023- 03- 24","196.93","194.88","196.97","193.65","2.32M","0.63%"
"2023- 03- 23","195.70","196.85","198.95","194.25","2.63M","-0.22%"
"2023- 03- 22","196.13","199.85","201.40","196.12","2.18M","-1.79%"
"2023- 03- 21","199.70","198.76","200.05","198.23","2.42M","1.43%"
"2023- 03- 20","196.89","195.75","197.38","195.29","2.90M","0.87%"
"2023- 03- 17","195.19","197.25","197.43","194.38","2.90M","-1.29%"
"2023- 03- 16","197.74","193.33","197.91","192.80","3.18M","1.73%"
"2023- 03- 15","194.38","192.63","194.40","191.53","3.77M","-0.77%"
"2023- 03- 14","195.89","195.50","196.95","193.57","4.47M","1.78%"
"2023- 03- 13","192.46","190.90","195.16","190.18","6.25M","-0.41%"
"2023- 03- 10","193.26","196.25","197.00","192.26","6.31M","-1.68%"
"2023- 03- 09","196.57","200.80","201.75","196.12","2.89M","-1.97%"
