"날짜","종가","시가","고가","저가","변동 %"
"2023- 05- 25","3.588","3.527","3.615","3.505","2.51%"
"2023- 05- 24","3.500","3.474","3.500","3.440","0.92%"
"2023- 05- 23","3.468","3.411","3.469","3.409","2.03%"
"2023- 05- 22","3.399","3.423","3.423","3.379","-0.47%"
"2023- 05- 21","3.415","3.415","3.415","3.415","0.00%"
"2023- 05- 20","3.415","3.415","3.415","3.415","-0.15%"
"2023- 05- 19","3.420","3.426","3.442","3.418","1.54%"
"2023- 05- 18","3.368","3.352","3.383","3.332","1.51%"
"2023- 05- 17","3.318","3.327","3.344","3.309","0.39%"
"2023- 05- 16","3.305","3.344","3.349","3.302","-0.81%"
"2023- 05- 15","3.332","3.321","3.335","3.304","1.52%"
"2023- 05- 14","3.282","3.282","3.282","3.282","0.00%"
"2023- 05- 13","3.282","3.282","3.282","3.282","0.34%"
"2023- 05- 12","3.271","3.281","3.281","3.243","-0.55%"
"2023- 05- 11","3.289","3.301","3.310","3.283","-1.64%"
"2023- 05- 10","3.344","3.330","3.348","3.318","1.06%"
"2023- 05- 09","3.309","3.336","3.361","3.307","0.03%"
"2023- 05- 08","3.308","3.309","3.315","3.291","0.95%"
"2023- 05- 07","3.277","3.277","3.277","3.277","0.00%"
"2023- 05- 06","3.277","3.277","3.277","3.277","0.00%"
"2023- 05- 05","3.277","3.277","3.277","3.277","-0.09%"
"2023- 05- 04","3.280","3.264","3.300","3.264","-1.47%"
"2023- 05- 03","3.329","3.340","3.345","3.313","-1.28%"
"2023- 05- 02","3.372","3.396","3.409","3.372","0.15%"
"2023- 05- 01","3.367","3.367","3.367","3.367","0.00%"
"2023- 04- 30","3.367","3.367","3.367","3.367","0.00%"
"2023- 04- 29","3.367","3.367","3.367","3.367","0.36%"
"2023- 04- 28","3.355","3.400","3.417","3.355","0.42%"
"2023- 04- 27","3.341","3.307","3.344","3.297","0.97%"
"2023- 04- 26","3.309","3.274","3.310","3.262","-0.39%"
"2023- 04- 25","3.322","3.275","3.327","3.275","0.48%"
"2023- 04- 24","3.306","3.300","3.347","3.300","-0.36%"
"2023- 04- 23","3.318","3.318","3.318","3.318","0.00%"
"2023- 04- 22","3.318","3.318","3.318","3.318","-0.81%"
"2023- 04- 21","3.345","3.411","3.411","3.335","-2.11%"
"2023- 04- 20","3.417","3.383","3.457","3.383","1.39%"
"2023- 04- 19","3.370","3.377","3.391","3.335","0.54%"
"2023- 04- 18","3.352","3.382","3.399","3.345","0.12%"
"2023- 04- 17","3.348","3.345","3.354","3.314","1.76%"
"2023- 04- 16","3.290","3.290","3.290","3.290","0.00%"
"2023- 04- 15","3.290","3.290","3.290","3.290","0.18%"
"2023- 04- 14","3.284","3.308","3.324","3.268","0.52%"
"2023- 04- 13","3.267","3.257","3.305","3.257","0.28%"
"2023- 04- 12","3.258","3.245","3.280","3.245","-0.15%"
"2023- 04- 11","3.263","3.230","3.274","3.200","0.59%"
"2023- 04- 10","3.244","3.313","3.331","3.240","-1.46%"
"2023- 04- 09","3.292","3.292","3.292","3.292","0.00%"
"2023- 04- 08","3.292","3.292","3.292","3.292","0.12%"
"2023- 04- 07","3.288","3.272","3.326","3.271","0.31%"
"2023- 04- 06","3.278","3.295","3.315","3.249","-1.47%"
"2023- 04- 05","3.327","3.268","3.327","3.268","0.33%"
"2023- 04- 04","3.316","3.326","3.336","3.302","-2.24%"
"2023- 04- 03","3.392","3.350","3.398","3.348","0.95%"
"2023- 04- 02","3.360","3.360","3.360","3.360","0.00%"
"2023- 04- 01","3.360","3.360","3.360","3.360","0.81%"
"2023- 03- 31","3.333","3.340","3.350","3.309","0.91%"
"2023- 03- 30","3.303","3.283","3.342","3.270","0.49%"
"2023- 03- 29","3.287","3.291","3.342","3.270","0.18%"
"2023- 03- 28","3.281","3.279","3.290","3.244","0.74%"
"2023- 03- 27","3.257","3.209","3.278","3.161","1.09%"
"2023- 03- 26","3.222","3.222","3.222","3.222","0.00%"
"2023- 03- 25","3.222","3.222","3.222","3.222","0.44%"
"2023- 03- 24","3.208","3.251","3.251","3.194","-1.66%"
"2023- 03- 23","3.262","3.270","3.311","3.253","-1.00%"
"2023- 03- 22","3.295","3.299","3.336","3.288","-0.27%"
"2023- 03- 21","3.304","3.334","3.339","3.238","-0.03%"
"2023- 03- 20","3.305","3.390","3.402","3.276","-2.94%"
"2023- 03- 19","3.405","3.405","3.405","3.405","0.00%"
"2023- 03- 18","3.405","3.405","3.405","3.405","-0.06%"
"2023- 03- 17","3.407","3.440","3.447","3.395","0.44%"
"2023- 03- 16","3.392","3.309","3.396","3.290","-0.76%"
"2023- 03- 15","3.418","3.386","3.436","3.367","3.48%"
"2023- 03- 14","3.303","3.301","3.378","3.228","-2.80%"
"2023- 03- 13","3.398","3.482","3.524","3.372","-5.14%"
"2023- 03- 12","3.582","3.582","3.582","3.582","0.00%"
"2023- 03- 11","3.582","3.582","3.582","3.582","-0.03%"
"2023- 03- 10","3.583","3.659","3.659","3.580","-4.25%"
"2023- 03- 09","3.742","3.707","3.767","3.698","0.51%"
"2023- 03- 08","3.723","3.701","3.734","3.695","1.67%"
"2023- 03- 07","3.662","3.720","3.738","3.660","-2.11%"
"2023- 03- 06","3.741","3.722","3.758","3.681","-0.82%"
"2023- 03- 05","3.772","3.772","3.772","3.772","0.00%"
"2023- 03- 04","3.772","3.772","3.772","3.772","-0.13%"
"2023- 03- 03","3.777","3.882","3.895","3.775","-1.64%"
"2023- 03- 02","3.840","3.760","3.859","3.760","2.13%"
"2023- 03- 01","3.760","3.760","3.760","3.760","0.24%"
"2023- 02- 28","3.751","3.625","3.773","3.625","3.96%"
"2023- 02- 27","3.608","3.579","3.627","3.575","2.50%"
"2023- 02- 26","3.520","3.520","3.520","3.520","0.00%"
"2023- 02- 25","3.520","3.520","3.520","3.520","-0.40%"
"2023- 02- 24","3.534","3.570","3.582","3.534","-1.51%"
"2023- 02- 23","3.588","3.641","3.676","3.588","-1.59%"
"2023- 02- 22","3.646","3.689","3.695","3.631","1.28%"
"2023- 02- 21","3.600","3.628","3.672","3.597","-0.58%"
"2023- 02- 20","3.621","3.583","3.626","3.571","0.06%"
"2023- 02- 19","3.619","3.619","3.619","3.619","0.00%"
"2023- 02- 18","3.619","3.619","3.619","3.619","-0.22%"
"2023- 02- 17","3.627","3.550","3.666","3.550","4.34%"
"2023- 02- 16","3.476","3.498","3.535","3.413","0.40%"
"2023- 02- 15","3.462","3.421","3.468","3.417","1.88%"
"2023- 02- 14","3.398","3.399","3.423","3.376","-1.02%"
"2023- 02- 13","3.433","3.414","3.461","3.409","2.32%"
"2023- 02- 12","3.355","3.355","3.355","3.355","0.00%"
"2023- 02- 11","3.355","3.355","3.355","3.355","-0.39%"
"2023- 02- 10","3.368","3.391","3.404","3.345","0.18%"
"2023- 02- 09","3.362","3.313","3.376","3.313","1.20%"
"2023- 02- 08","3.322","3.292","3.347","3.290","0.58%"
"2023- 02- 07","3.303","3.360","3.360","3.295","0.67%"
"2023- 02- 06","3.281","3.296","3.310","3.273","3.99%"
"2023- 02- 05","3.155","3.155","3.155","3.155","0.00%"
"2023- 02- 04","3.155","3.155","3.155","3.155","0.22%"
"2023- 02- 03","3.148","3.230","3.230","3.128","-1.84%"
"2023- 02- 02","3.207","3.205","3.233","3.189","-0.99%"
"2023- 02- 01","3.239","3.273","3.275","3.233","-2.38%"
"2023- 01- 31","3.318","3.270","3.318","3.238","2.44%"
"2023- 01- 30","3.239","3.302","3.327","3.239","-1.46%"
"2023- 01- 29","3.287","3.287","3.287","3.287","0.00%"
"2023- 01- 28","3.287","3.287","3.287","3.287","0.12%"
"2023- 01- 27","3.283","3.272","3.299","3.266","1.61%"
"2023- 01- 26","3.231","3.214","3.247","3.214","0.03%"
"2023- 01- 25","3.230","3.279","3.285","3.223","-1.28%"
"2023- 01- 24","3.272","3.272","3.272","3.272","0.00%"
"2023- 01- 23","3.272","3.272","3.272","3.272","0.00%"
"2023- 01- 22","3.272","3.272","3.272","3.272","0.00%"
"2023- 01- 21","3.272","3.272","3.272","3.272","-0.24%"
"2023- 01- 20","3.280","3.274","3.289","3.253","2.09%"
"2023- 01- 19","3.213","3.260","3.276","3.190","-3.89%"
"2023- 01- 18","3.343","3.421","3.444","3.317","-2.93%"
"2023- 01- 17","3.444","3.352","3.444","3.335","1.74%"
"2023- 01- 16","3.385","3.340","3.385","3.314","2.73%"
"2023- 01- 15","3.295","3.295","3.295","3.295","0.00%"
"2023- 01- 14","3.295","3.295","3.295","3.295","-0.18%"
"2023- 01- 13","3.301","3.347","3.378","3.270","-3.28%"
"2023- 01- 12","3.413","3.398","3.421","3.342","-0.41%"
"2023- 01- 11","3.427","3.471","3.471","3.427","-1.01%"
"2023- 01- 10","3.462","3.468","3.485","3.438","-0.46%"
"2023- 01- 09","3.478","3.470","3.492","3.453","-2.71%"
"2023- 01- 08","3.575","3.575","3.575","3.575","0.00%"
"2023- 01- 07","3.575","3.575","3.575","3.575","0.06%"
"2023- 01- 06","3.573","3.579","3.592","3.554","0.08%"
"2023- 01- 05","3.570","3.583","3.606","3.558","-0.78%"
"2023- 01- 04","3.598","3.659","3.659","3.585","-1.72%"
"2023- 01- 03","3.661","3.752","3.752","3.655","-3.99%"
"2023- 01- 02","3.813","3.794","3.831","3.788","2.09%"
"2023- 01- 01","3.735","3.735","3.735","3.735","0.00%"
"2022- 12- 31","3.735","3.735","3.735","3.735","0.00%"
"2022- 12- 30","3.735","3.735","3.735","3.735","0.32%"
"2022- 12- 29","3.723","3.729","3.761","3.723","1.31%"
"2022- 12- 28","3.675","3.707","3.739","3.669","1.74%"
"2022- 12- 27","3.612","3.620","3.640","3.595","-0.77%"
"2022- 12- 26","3.640","3.574","3.642","3.545","2.51%"
"2022- 12- 25","3.551","3.551","3.551","3.551","0.00%"
"2022- 12- 24","3.551","3.551","3.551","3.551","-0.03%"
"2022- 12- 23","3.552","3.508","3.561","3.503","1.51%"
"2022- 12- 22","3.499","3.545","3.554","3.494","-1.91%"
"2022- 12- 21","3.567","3.598","3.607","3.560","-0.47%"
"2022- 12- 20","3.584","3.458","3.601","3.435","5.72%"
"2022- 12- 19","3.390","3.358","3.402","3.358","1.19%"
"2022- 12- 18","3.350","3.350","3.350","3.350","0.00%"
"2022- 12- 17","3.350","3.350","3.350","3.350","-0.36%"
"2022- 12- 16","3.362","3.398","3.398","3.352","-1.09%"
"2022- 12- 15","3.399","3.426","3.440","3.395","-0.23%"
"2022- 12- 14","3.407","3.456","3.463","3.399","-1.79%"
"2022- 12- 13","3.469","3.460","3.474","3.450","0.58%"
"2022- 12- 12","3.449","3.507","3.511","3.440","0.12%"
"2022- 12- 11","3.445","3.445","3.445","3.445","0.00%"
"2022- 12- 10","3.445","3.445","3.445","3.445","0.00%"
"2022- 12- 09","3.445","3.523","3.527","3.445","-2.32%"
"2022- 12- 08","3.527","3.498","3.541","3.489","0.48%"
"2022- 12- 07","3.510","3.527","3.558","3.498","0.20%"
"2022- 12- 06","3.503","3.567","3.571","3.503","-1.71%"
