"날짜","종가","시가","고가","저가","변동 %"
"2023- 05- 25","3.491","3.429","3.530","3.406","2.92%"
"2023- 05- 24","3.392","3.389","3.392","3.347","0.33%"
"2023- 05- 23","3.381","3.337","3.381","3.336","1.78%"
"2023- 05- 22","3.322","3.336","3.344","3.309","-0.21%"
"2023- 05- 21","3.329","3.329","3.329","3.329","0.00%"
"2023- 05- 20","3.329","3.329","3.329","3.329","-0.15%"
"2023- 05- 19","3.334","3.360","3.366","3.334","1.21%"
"2023- 05- 18","3.294","3.282","3.309","3.270","1.79%"
"2023- 05- 17","3.236","3.234","3.254","3.228","0.62%"
"2023- 05- 16","3.216","3.253","3.261","3.210","-1.20%"
"2023- 05- 15","3.255","3.254","3.256","3.243","1.56%"
"2023- 05- 14","3.205","3.205","3.205","3.205","0.00%"
"2023- 05- 13","3.205","3.205","3.205","3.205","0.19%"
"2023- 05- 12","3.199","3.205","3.208","3.176","-0.19%"
"2023- 05- 11","3.205","3.212","3.225","3.205","-1.69%"
"2023- 05- 10","3.260","3.241","3.266","3.236","0.87%"
"2023- 05- 09","3.232","3.256","3.287","3.232","-0.22%"
"2023- 05- 08","3.239","3.241","3.241","3.222","1.22%"
"2023- 05- 07","3.200","3.200","3.200","3.200","0.00%"
"2023- 05- 06","3.200","3.200","3.200","3.200","0.00%"
"2023- 05- 05","3.200","3.200","3.200","3.200","0.25%"
"2023- 05- 04","3.192","3.208","3.226","3.181","-2.44%"
"2023- 05- 03","3.272","3.282","3.282","3.253","-1.77%"
"2023- 05- 02","3.331","3.326","3.352","3.322","0.94%"
"2023- 05- 01","3.300","3.300","3.300","3.300","0.00%"
"2023- 04- 30","3.300","3.300","3.300","3.300","0.00%"
"2023- 04- 29","3.300","3.300","3.300","3.300","0.36%"
"2023- 04- 28","3.288","3.341","3.352","3.288","0.49%"
"2023- 04- 27","3.272","3.255","3.279","3.248","0.40%"
"2023- 04- 26","3.259","3.222","3.259","3.219","-0.37%"
"2023- 04- 25","3.271","3.227","3.274","3.227","0.58%"
